id	start_time	duration	norm_pos_x	norm_pos_y
0	0.332	0.168	0.597	0.646
1	0.800	0.668	0.563	0.545
2	1.532	0.300	0.530	0.575
3	1.868	0.700	0.623	0.549
4	2.600	0.332	0.525	0.576
5	3.000	0.168	0.349	0.546
6	3.600	0.368	0.654	0.546
7	4.000	0.168	0.635	0.580
8	4.200	0.632	0.335	0.520
9	5.200	0.200	0.606	0.525
10	5.432	1.236	0.644	0.543
11	6.700	0.432	0.369	0.507
12	7.400	0.732	0.342	0.524
13	8.368	0.300	0.504	0.536
14	8.700	0.968	0.352	0.548
15	9.700	0.369	0.661	0.555
16	10.551	0.900	0.350	0.513
17	11.531	0.831	0.680	0.550
18	12.400	2.084	0.320	0.582
19	14.554	0.509	0.374	0.474
20	15.140	1.460	0.317	0.586
21	16.632	0.300	0.324	0.566
22	16.964	1.200	0.328	0.568
23	18.200	0.264	0.661	0.535
24	18.500	0.832	0.690	0.571
25	19.364	1.668	0.667	0.499
26	21.264	0.500	0.862	0.464
27	21.832	0.268	1.202	0.444
28	22.164	0.936	0.671	0.487
29	23.132	1.632	0.649	0.513
30	25.164	1.836	0.319	0.519
31	27.032	0.232	0.288	0.480
32	27.300	1.000	0.307	0.537
33	28.332	0.168	0.656	0.512
34	28.632	0.632	0.330	0.507
35	29.532	0.200	0.547	0.558
36	29.964	2.100	0.315	0.528
37	32.264	3.336	0.671	0.541
38	35.900	0.164	0.626	0.493
39	36.100	0.432	0.670	0.564
40	36.600	1.900	0.353	0.558
41	38.732	0.332	0.622	0.548
42	39.100	1.296	0.626	0.577
43	40.764	2.468	0.328	0.565
44	43.296	0.700	0.646	0.540
45	44.032	4.732	0.322	0.578
46	49.164	3.000	0.320	0.552
47	52.232	1.000	0.672	0.586
48	53.264	0.732	0.684	0.577
49	54.032	6.564	0.669	0.521
50	61.064	1.700	0.323	0.527
51	62.796	2.436	0.294	0.533
52	65.264	3.864	0.320	0.546
53	69.164	0.400	0.628	0.503
54	69.596	1.332	0.327	0.525
55	70.996	1.568	0.661	0.529
56	72.596	0.300	0.644	0.487
57	72.928	0.400	0.631	0.532
58	73.364	1.132	0.688	0.540
59	74.796	0.900	0.661	0.526
60	75.728	0.336	0.657	0.519
61	76.096	2.068	0.671	0.553
62	78.196	1.000	0.325	0.522
63	79.228	0.836	0.301	0.520
64	80.096	1.400	0.309	0.581
65	81.528	0.336	0.302	0.503
66	81.896	3.068	0.315	0.550
67	84.996	1.832	0.673	0.515
68	87.128	0.768	0.668	0.534
69	87.928	0.336	0.648	0.532
70	88.296	0.472	0.678	0.539
71	88.796	4.132	0.692	0.560
72	93.228	2.668	0.325	0.553
73	95.928	0.336	0.301	0.536
74	96.296	1.864	0.319	0.559
75	98.178	2.384	0.665	0.558
76	100.775	0.385	0.696	0.514
77	101.232	0.549	0.725	0.435
78	102.368	0.367	0.678	0.571
79	102.797	0.338	0.665	0.545
80	103.228	1.109	0.678	0.492
81	104.421	0.807	0.671	0.548
82	105.296	5.664	0.324	0.572
83	111.028	3.600	0.668	0.569
84	114.928	0.732	0.661	0.570
85	115.696	0.264	0.661	0.540
86	115.996	2.764	0.659	0.575
87	118.796	0.300	0.714	0.548
88	119.360	0.468	0.673	0.557
89	120.096	0.900	0.317	0.566
90	121.260	0.800	0.643	0.549
91	122.128	5.132	0.313	0.522
92	127.292	0.268	0.306	0.507
93	127.592	0.468	0.316	0.552
94	128.092	0.568	0.662	0.532
95	128.692	0.268	0.635	0.514
96	128.992	0.668	0.658	0.550
97	129.692	0.464	0.657	0.542
98	130.230	2.938	0.668	0.496
99	133.239	1.889	0.317	0.551
100	135.160	0.268	0.316	0.502
101	135.460	5.232	0.320	0.538
102	140.860	1.232	0.313	0.568
103	142.160	2.332	0.660	0.566
104	144.792	1.968	0.325	0.538
105	147.028	1.000	0.644	0.559
106	148.060	0.332	0.669	0.543
107	148.692	0.400	0.281	0.558
108	149.128	0.264	0.281	0.533
109	149.428	3.132	0.309	0.568
110	152.592	0.168	0.321	0.492
111	152.792	1.200	0.319	0.571
112	154.028	1.864	0.655	0.549
113	155.924	0.436	0.659	0.469
114	156.392	1.432	0.645	0.571
115	158.124	1.100	0.658	0.550
116	159.260	0.332	0.627	0.523
117	159.624	3.400	0.661	0.527
118	163.092	1.768	0.303	0.563
119	164.892	0.300	0.303	0.513
120	165.224	0.736	0.335	0.556
121	166.292	2.868	0.311	0.549
122	169.460	0.700	0.636	0.568
123	170.660	0.500	0.633	0.525
124	171.192	1.168	0.684	0.547
125	172.392	1.300	0.631	0.543
126	173.724	2.376	0.666	0.517
127	176.378	1.346	0.655	0.520
128	177.992	0.668	0.646	0.541
129	178.692	0.200	0.374	0.506
130	178.924	0.768	0.667	0.545
131	179.792	9.032	0.301	0.602
132	189.024	0.468	0.675	0.543
133	189.524	0.357	0.689	0.595
134	189.942	0.985	0.647	0.563
135	190.992	0.759	0.709	0.602
136	192.166	0.873	0.696	0.591
137	193.232	2.314	0.302	0.559
138	195.792	3.000	0.322	0.573
139	198.824	0.332	0.295	0.525
140	199.192	0.832	0.327	0.584
141	200.092	0.974	0.676	0.601
142	201.348	0.508	0.631	0.559
143	201.992	0.264	0.647	0.516
144	202.292	2.964	0.684	0.567
145	205.692	0.432	0.615	0.568
146	206.192	2.932	0.324	0.564
147	209.156	0.368	0.353	0.571
148	209.792	0.464	0.313	0.570
149	210.292	0.264	0.362	0.607
150	210.592	0.332	0.599	0.564
151	210.956	0.300	0.671	0.575
152	212.056	0.468	0.641	0.575
153	212.592	0.764	0.324	0.522
154	213.424	2.800	0.654	0.573
155	216.256	0.700	0.687	0.555
156	217.256	2.268	0.686	0.585
157	219.556	2.000	0.681	0.570
158	221.588	0.236	0.435	0.556
159	221.856	0.232	0.427	0.560
160	222.388	0.500	0.643	0.564
161	223.388	0.668	0.306	0.582
162	224.088	0.468	0.662	0.567
163	224.588	1.036	0.589	0.583
164	225.656	0.300	0.661	0.601
165	226.056	1.200	0.327	0.552
166	227.324	0.664	0.672	0.597
167	228.188	0.436	0.319	0.587
168	228.656	0.332	0.315	0.547
169	229.024	6.100	0.326	0.578
170	235.188	0.868	0.656	0.578
171	236.088	0.268	0.626	0.529
172	236.388	2.400	0.663	0.580
173	239.156	0.400	0.623	0.592
174	239.588	0.500	0.673	0.590
175	240.124	1.629	0.677	0.576
176	242.130	2.992	0.681	0.580
177	245.255	4.801	0.336	0.579
178	250.120	0.368	0.654	0.565
179	250.520	0.300	0.631	0.528
180	250.856	1.100	0.654	0.579
181	251.988	0.458	0.380	0.550
182	252.551	0.454	0.633	0.537
183	253.078	5.274	0.668	0.549
184	258.420	5.568	0.325	0.587
185	264.020	1.200	0.346	0.518
186	265.256	1.032	0.308	0.549
187	266.356	2.900	0.665	0.554
188	269.520	1.136	0.681	0.573
189	270.688	0.232	0.661	0.507
190	270.956	0.564	0.662	0.557
191	271.820	0.336	0.654	0.542
192	272.388	0.400	0.664	0.546
193	273.120	0.632	0.658	0.563
194	274.252	3.368	0.318	0.569
195	278.188	1.564	0.349	0.574
196	279.788	0.732	0.303	0.552
197	280.820	0.500	0.663	0.601
198	281.388	0.832	0.321	0.546
199	282.488	0.664	0.664	0.544
200	283.188	0.400	0.629	0.550
201	283.620	0.832	0.650	0.552
202	284.488	0.332	0.653	0.484
203	284.852	2.868	0.654	0.559
204	287.788	0.200	0.696	0.599
205	288.152	4.000	0.323	0.553
206	292.420	0.632	0.627	0.529
207	293.088	3.364	0.673	0.601
208	296.488	0.832	0.668	0.558
209	297.352	1.100	0.695	0.554
210	298.852	0.436	0.673	0.575
211	299.352	1.868	0.324	0.570
212	301.252	0.832	0.317	0.553
213	302.120	0.464	0.331	0.583
214	302.620	0.232	0.320	0.518
215	302.884	0.236	0.348	0.576
216	303.152	0.632	0.496	0.577
217	303.820	0.232	0.470	0.510
218	304.120	1.164	0.496	0.560
219	305.320	0.364	0.508	0.552
220	305.720	1.132	0.511	0.663
