time	x_norm	y_norm
0.000	0.577	0.520
0.068	0.580	0.525
0.100	0.527	0.509
0.132	0.515	0.509
0.168	0.517	0.506
0.200	0.516	0.504
0.232	0.515	0.508
0.268	0.516	0.515
0.300	0.518	0.516
0.332	0.519	0.522
0.400	0.471	0.521
0.432	0.473	0.523
0.468	0.471	0.524
0.500	0.470	0.527
0.532	0.468	0.527
0.568	0.469	0.531
0.600	0.469	0.531
0.668	0.423	0.526
0.700	0.426	0.531
0.732	0.422	0.530
0.768	0.421	0.527
0.800	0.421	0.525
0.832	0.538	0.527
0.868	0.599	0.527
0.932	0.607	0.526
0.968	0.609	0.532
1.000	0.610	0.536
1.032	0.613	0.540
1.068	0.615	0.544
1.100	0.653	0.531
1.132	0.646	0.539
1.168	0.645	0.541
1.200	0.644	0.528
1.232	0.641	0.529
1.268	0.643	0.517
1.400	0.973	0.068
1.432	0.966	0.076
1.468	0.966	0.075
1.500	0.962	0.081
1.568	0.958	0.080
1.600	0.958	0.078
1.632	0.959	0.079
1.668	0.958	0.077
1.700	0.920	0.094
1.900	0.639	0.458
1.932	0.642	0.452
1.968	0.647	0.448
2.000	0.652	0.441
2.032	0.653	0.443
2.068	0.648	0.447
2.132	0.588	0.488
2.168	0.589	0.481
2.200	0.591	0.482
2.232	0.593	0.479
2.268	0.595	0.472
2.300	0.593	0.470
2.332	0.597	0.468
2.368	0.597	0.466
2.400	0.600	0.469
2.432	0.600	0.468
2.500	0.562	0.455
2.532	0.561	0.459
2.568	0.557	0.453
2.600	0.557	0.456
2.632	0.557	0.453
2.664	0.556	0.447
2.700	0.555	0.448
2.764	0.500	0.439
2.800	0.510	0.449
2.832	0.519	0.456
2.864	0.519	0.469
2.900	0.510	0.480
2.932	0.512	0.481
2.964	0.510	0.483
3.000	0.510	0.477
3.032	0.508	0.474
3.064	0.507	0.475
3.100	0.509	0.477
3.132	0.506	0.474
3.164	0.509	0.473
3.200	0.509	0.470
3.232	0.510	0.468
3.264	0.511	0.472
3.300	0.507	0.475
3.332	0.505	0.475
3.364	0.508	0.479
3.400	0.507	0.481
3.432	0.506	0.484
3.464	0.507	0.485
3.500	0.508	0.481
3.532	0.556	0.451
3.564	0.647	0.455
3.632	0.652	0.464
3.664	0.653	0.468
3.700	0.648	0.462
3.732	0.609	0.430
3.900	0.617	0.500
3.932	0.628	0.506
3.964	0.634	0.503
4.000	0.639	0.500
4.032	0.643	0.497
4.064	0.646	0.497
4.100	0.649	0.491
4.132	0.650	0.491
4.164	0.651	0.490
4.200	0.653	0.486
4.232	0.656	0.485
4.264	0.658	0.487
4.300	0.661	0.488
4.332	0.662	0.482
4.364	0.663	0.476
4.400	0.662	0.473
4.432	0.660	0.474
4.464	0.661	0.472
4.500	0.661	0.476
4.532	0.662	0.474
4.564	0.665	0.476
4.600	0.666	0.478
4.664	0.675	0.405
4.700	0.675	0.406
4.732	0.673	0.404
4.764	0.670	0.404
4.800	0.669	0.401
4.832	0.667	0.403
4.864	0.667	0.404
4.900	0.669	0.407
4.932	0.672	0.407
4.964	0.672	0.408
5.000	0.672	0.405
5.032	0.648	0.435
5.064	0.629	0.461
5.100	0.631	0.464
5.132	0.633	0.474
5.164	0.636	0.476
5.200	0.636	0.478
5.232	0.630	0.480
5.264	0.605	0.469
5.464	0.310	0.508
5.532	0.324	0.502
5.564	0.328	0.496
5.600	0.326	0.496
5.632	0.326	0.492
5.664	0.325	0.487
5.700	0.326	0.486
5.732	0.325	0.487
5.764	0.325	0.485
5.800	0.325	0.486
5.832	0.296	0.483
5.864	0.296	0.480
5.900	0.298	0.483
5.932	0.297	0.486
5.964	0.300	0.486
6.000	0.300	0.488
6.032	0.303	0.482
6.064	0.303	0.484
6.100	0.303	0.482
6.132	0.305	0.477
6.164	0.345	0.489
6.200	0.346	0.483
6.232	0.343	0.481
6.264	0.346	0.485
6.300	0.347	0.484
6.332	0.594	0.505
6.364	0.640	0.508
6.432	0.643	0.502
6.464	0.648	0.508
6.500	0.649	0.508
6.532	0.652	0.509
6.564	0.653	0.513
6.600	0.652	0.514
6.632	0.652	0.516
6.664	0.653	0.514
6.700	0.656	0.518
6.732	0.656	0.517
6.764	0.656	0.513
6.800	0.656	0.515
6.832	0.658	0.513
6.864	0.657	0.511
6.900	0.657	0.513
6.932	0.659	0.510
6.964	0.659	0.514
7.000	0.658	0.512
7.032	0.661	0.511
7.064	0.663	0.512
7.100	0.663	0.514
7.132	0.663	0.515
7.164	0.662	0.518
7.200	0.661	0.519
7.232	0.661	0.515
7.264	0.663	0.519
7.300	0.661	0.513
7.332	0.653	0.508
7.364	0.520	0.590
7.500	0.278	0.501
7.532	0.285	0.498
7.564	0.291	0.497
7.600	0.297	0.495
7.632	0.299	0.493
7.664	0.299	0.493
7.700	0.298	0.494
7.732	0.299	0.494
7.764	0.298	0.490
7.800	0.298	0.489
7.832	0.299	0.481
7.864	0.304	0.489
7.900	0.305	0.496
7.932	0.307	0.500
7.964	0.306	0.502
8.000	0.308	0.499
8.032	0.309	0.502
8.064	0.310	0.499
8.100	0.310	0.501
8.132	0.310	0.503
8.164	0.309	0.502
8.200	0.323	0.514
8.264	0.326	0.509
8.300	0.329	0.507
8.332	0.332	0.511
8.364	0.332	0.513
8.432	0.329	0.516
8.464	0.329	0.520
8.500	0.332	0.520
8.532	0.333	0.521
8.564	0.334	0.520
8.600	0.335	0.519
8.632	0.334	0.521
8.664	0.332	0.519
8.700	0.333	0.521
8.732	0.333	0.523
8.764	0.333	0.521
8.800	0.332	0.522
8.832	0.329	0.522
8.864	0.331	0.518
8.900	0.329	0.516
8.932	0.326	0.516
8.964	0.328	0.521
9.000	0.328	0.517
9.032	0.327	0.518
9.064	0.325	0.516
9.100	0.325	0.511
9.132	0.323	0.509
9.164	0.313	0.499
9.364	0.645	0.577
9.400	0.653	0.571
9.432	0.654	0.565
9.464	0.658	0.565
9.500	0.658	0.562
9.532	0.659	0.560
9.564	0.660	0.557
9.600	0.663	0.559
9.632	0.664	0.556
9.664	0.666	0.555
9.700	0.666	0.551
9.764	0.698	0.531
9.832	0.703	0.520
9.864	0.708	0.518
9.900	0.707	0.520
9.932	0.707	0.529
9.964	0.706	0.529
10.000	0.706	0.529
10.032	0.706	0.524
10.064	0.704	0.521
10.100	0.705	0.525
10.132	0.702	0.529
10.164	0.704	0.524
10.200	0.702	0.523
10.232	0.702	0.523
10.264	0.702	0.520
10.300	0.704	0.521
10.332	0.706	0.513
10.364	0.704	0.515
10.400	0.701	0.514
10.432	0.701	0.514
10.464	0.698	0.515
10.500	0.702	0.517
10.532	0.700	0.516
10.564	0.698	0.516
10.600	0.698	0.517
10.632	0.698	0.514
10.664	0.696	0.516
10.700	0.697	0.511
10.732	0.696	0.512
10.764	0.695	0.509
10.800	0.690	0.507
10.832	0.689	0.504
