id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.500	0.514	0.518
1	0.532	0.268	0.440	0.535
2	0.832	0.300	0.614	0.530
3	1.400	0.300	0.961	0.075
4	1.900	0.800	0.593	0.450
5	2.764	0.768	0.513	0.509
6	3.564	1.700	0.647	0.462
7	5.464	0.836	0.323	0.493
8	6.332	1.000	0.655	0.510
9	7.500	1.664	0.320	0.511
10	9.364	1.500	0.689	0.528
11	10.932	1.732	0.301	0.480
12	12.864	2.036	0.685	0.556
13	14.932	0.700	0.656	0.570
14	15.664	2.268	0.642	0.557
15	17.964	0.500	0.703	0.498
16	18.664	1.868	0.639	0.598
17	20.564	1.636	0.334	0.545
18	22.464	5.336	0.664	0.575
19	27.832	1.032	0.326	0.521
20	28.900	1.900	0.354	0.560
21	31.000	3.232	0.631	0.601
22	34.296	1.700	0.326	0.525
23	36.032	0.164	0.671	0.536
24	36.232	3.232	0.705	0.575
25	39.532	0.332	0.720	0.237
26	39.896	0.200	0.703	0.433
27	40.364	0.800	0.675	0.568
28	41.196	0.736	0.602	0.570
29	41.964	1.632	0.679	0.609
30	43.632	1.132	0.336	0.532
31	44.796	2.000	0.323	0.537
32	47.232	1.800	0.682	0.574
33	49.064	0.368	0.757	0.671
34	49.732	1.364	0.691	0.608
35	51.132	2.362	0.718	0.562
36	53.722	1.142	0.346	0.496
37	54.996	6.168	0.676	0.601
38	61.396	5.568	0.344	0.538
39	66.996	5.132	0.679	0.567
40	72.164	1.164	0.692	0.568
41	73.396	2.868	0.322	0.463
42	76.296	0.532	0.442	0.552
43	76.864	1.700	0.322	0.493
44	78.596	1.430	0.678	0.540
45	80.107	1.038	0.686	0.494
46	81.379	1.914	0.676	0.621
47	83.477	0.587	0.631	0.606
48	84.096	0.268	0.701	0.544
49	84.428	0.736	0.346	0.507
50	85.364	2.664	0.667	0.591
51	88.296	2.932	0.346	0.601
52	91.528	0.400	0.690	0.589
53	91.960	0.436	0.393	0.571
54	92.428	0.868	0.311	0.564
55	93.628	1.468	0.708	0.586
56	95.428	1.932	0.327	0.587
57	97.396	0.232	0.369	0.445
58	97.660	0.568	0.358	0.374
59	98.396	0.364	0.631	0.502
60	99.028	0.468	0.386	0.513
61	99.628	0.832	0.623	0.510
62	100.728	0.600	0.460	0.552
63	101.360	1.409	0.651	0.564
64	102.853	0.475	0.327	0.514
65	103.560	2.468	0.684	0.603
66	106.296	0.500	0.606	0.533
67	106.996	0.632	0.362	0.488
68	107.728	0.700	0.653	0.595
69	108.628	0.400	0.557	0.642
70	109.060	0.400	0.338	0.471
71	109.660	1.568	0.686	0.619
72	111.260	0.368	0.707	0.652
73	111.896	1.164	0.635	0.624
74	113.096	0.264	0.485	0.561
75	113.396	0.100	0.401	0.530
76	113.728	0.268	0.563	0.635
77	114.028	0.532	0.683	0.593
78	114.828	2.032	0.674	0.587
79	117.128	0.700	0.414	0.589
80	117.860	0.100	0.551	0.609
81	118.028	0.468	0.711	0.587
82	118.660	4.332	0.318	0.515
83	123.028	0.432	0.336	0.563
84	123.728	0.400	0.680	0.562
85	124.392	2.168	0.346	0.604
86	126.628	0.432	0.368	0.598
87	127.292	2.236	0.688	0.604
88	129.560	0.468	0.645	0.610
89	130.060	0.868	0.744	0.591
90	130.960	0.232	0.675	0.537
91	131.228	1.332	0.706	0.575
92	132.828	0.800	0.626	0.569
93	133.660	0.832	0.687	0.684
94	134.528	1.332	0.670	0.502
95	136.092	0.468	0.590	0.532
96	136.760	1.532	0.327	0.500
97	138.328	0.132	0.573	0.519
98	138.492	1.168	0.644	0.580
99	139.692	4.068	0.664	0.543
100	143.992	3.536	0.338	0.553
101	147.592	1.700	0.630	0.510
102	149.324	0.268	0.584	0.512
