time	event_type	event	left	right	bottom	top
47.501591798	stimulus	1a	0.283	0.384	0.412	0.582
60.501591798	stimulus	1b	0.616	0.718	0.412	0.582
67.501591798	stimulus	2a	0.283	0.384	0.412	0.582
74.501591798	stimulus	2b	0.616	0.718	0.412	0.582
78.501591798	stimulus	1a	0.283	0.384	0.412	0.582
82.501591798	stimulus	1b	0.616	0.718	0.412	0.582
89.501591798	stimulus	2a	0.283	0.384	0.412	0.582
95.501591798	stimulus	2b	0.616	0.718	0.412	0.582
101.501591798	stimulus	1a	0.283	0.384	0.412	0.582
110.501591798	stimulus	1b	0.616	0.718	0.412	0.582
121.501591798	stimulus	2a	0.283	0.384	0.412	0.582
127.501591798	stimulus	2b	0.616	0.718	0.412	0.582
133.501591798	stimulus	1a	0.283	0.384	0.412	0.582
138.501591798	stimulus	1b	0.616	0.718	0.412	0.582
144.501591798	stimulus	2a	0.283	0.384	0.412	0.582
152.501591798	stimulus	2b	0.616	0.718	0.412	0.582
158.501591798	stimulus	1a	0.283	0.384	0.412	0.582
167.501591798	stimulus	1b	0.616	0.718	0.412	0.582
177.501591798	stimulus	2a	0.283	0.384	0.412	0.582
185.501591798	stimulus	2b	0.616	0.718	0.412	0.582
194.501591798	stimulus	1a	0.283	0.384	0.412	0.582
203.501591798	stimulus	1b	0.616	0.718	0.412	0.582
211.501591798	stimulus	2a	0.283	0.384	0.412	0.582
218.501591798	stimulus	2b	0.616	0.718	0.412	0.582
222.501591798	stimulus	1a	0.283	0.384	0.412	0.582
228.501591798	stimulus	1b	0.616	0.718	0.412	0.582
237.501591798	stimulus	2a	0.283	0.384	0.412	0.582
247.501591798	stimulus	2b	0.616	0.718	0.412	0.582
254.501591798	stimulus	1a	0.283	0.384	0.412	0.582
258.501591798	stimulus	1b	0.616	0.718	0.412	0.582
265.501591798	stimulus	2a	0.283	0.384	0.412	0.582
270.501591798	stimulus	2b	0.616	0.718	0.412	0.582
276.501591798	stimulus	1a	0.283	0.384	0.412	0.582
282.501591798	stimulus	1b	0.616	0.718	0.412	0.582
292.501591798	stimulus	2a	0.283	0.384	0.412	0.582
300.501591798	stimulus	2b	0.616	0.718	0.412	0.582
306.501591798	stimulus	1a	0.283	0.384	0.412	0.582
317.501591798	stimulus	1b	0.616	0.718	0.412	0.582
324.501591798	stimulus	2a	0.283	0.384	0.412	0.582
334.501591798	stimulus	2b	0.616	0.718	0.412	0.582
341.501591798	stimulus	1a	0.283	0.384	0.412	0.582
347.501591798	stimulus	1b	0.616	0.718	0.412	0.582
47.501591798	virtual	S	NA	NA	NA	NA
111.496004398	response	R	NA	NA	NA	NA
119.528043298	response	R	NA	NA	NA	NA
124.028005198	response	R	NA	NA	NA	NA
128.559990398	response	R	NA	NA	NA	NA
134.559999598	response	R	NA	NA	NA	NA
138.028019998	response	R	NA	NA	NA	NA
139.628002098	response	R	NA	NA	NA	NA
141.928007698	response	R	NA	NA	NA	NA
145.391998098	response	R	NA	NA	NA	NA
148.760006598	response	R	NA	NA	NA	NA
151.728005698	response	R	NA	NA	NA	NA
153.292003098	response	R	NA	NA	NA	NA
155.224023798	response	R	NA	NA	NA	NA
157.724015298	response	R	NA	NA	NA	NA
159.859999498	response	R	NA	NA	NA	NA
162.460015398	response	R	NA	NA	NA	NA
165.024034098	response	R	NA	NA	NA	NA
167.060022498	response	R	NA	NA	NA	NA
168.524013498	response	R	NA	NA	NA	NA
170.084405498	response	R	NA	NA	NA	NA
171.656457898	response	R	NA	NA	NA	NA
173.792023098	response	R	NA	NA	NA	NA
175.292004998	response	R	NA	NA	NA	NA
176.992034198	response	R	NA	NA	NA	NA
178.360011598	response	R	NA	NA	NA	NA
179.824011098	response	R	NA	NA	NA	NA
181.360023498	response	R	NA	NA	NA	NA
183.192024498	response	R	NA	NA	NA	NA
185.656015898	response	R	NA	NA	NA	NA
