time	event_type	event	left	right	bottom	top
6.799967918	stimulus	1a	0.283	0.384	0.412	0.582
13.799967918	stimulus	1b	0.616	0.718	0.412	0.582
23.799967918	stimulus	2a	0.283	0.384	0.412	0.582
28.799967918	stimulus	2b	0.616	0.718	0.412	0.582
37.799967918	stimulus	1a	0.283	0.384	0.412	0.582
49.799967918	stimulus	1b	0.616	0.718	0.412	0.582
55.799967918	stimulus	2a	0.283	0.384	0.412	0.582
65.799967918	stimulus	2b	0.616	0.718	0.412	0.582
71.799967918	stimulus	1a	0.283	0.384	0.412	0.582
80.799967918	stimulus	1b	0.616	0.718	0.412	0.582
85.799967918	stimulus	2a	0.283	0.384	0.412	0.582
92.799967918	stimulus	2b	0.616	0.718	0.412	0.582
104.799967918	stimulus	1a	0.283	0.384	0.412	0.582
109.799967918	stimulus	1b	0.616	0.718	0.412	0.582
116.799967918	stimulus	2a	0.283	0.384	0.412	0.582
129.799967918	stimulus	2b	0.616	0.718	0.412	0.582
136.799967918	stimulus	1a	0.283	0.384	0.412	0.582
142.799967918	stimulus	1b	0.616	0.718	0.412	0.582
147.799967918	stimulus	2a	0.283	0.384	0.412	0.582
153.799967918	stimulus	2b	0.616	0.718	0.412	0.582
161.799967918	stimulus	1a	0.283	0.384	0.412	0.582
167.799967918	stimulus	1b	0.616	0.718	0.412	0.582
174.799967918	stimulus	2a	0.283	0.384	0.412	0.582
183.799967918	stimulus	2b	0.616	0.718	0.412	0.582
194.799967918	stimulus	1a	0.283	0.384	0.412	0.582
204.799967918	stimulus	1b	0.616	0.718	0.412	0.582
210.799967918	stimulus	2a	0.283	0.384	0.412	0.582
215.799967918	stimulus	2b	0.616	0.718	0.412	0.582
224.799967918	stimulus	1a	0.283	0.384	0.412	0.582
230.799967918	stimulus	1b	0.616	0.718	0.412	0.582
237.799967918	stimulus	2a	0.283	0.384	0.412	0.582
244.799967918	stimulus	2b	0.616	0.718	0.412	0.582
253.799967918	stimulus	1a	0.283	0.384	0.412	0.582
263.799967918	stimulus	1b	0.616	0.718	0.412	0.582
272.799967918	stimulus	2a	0.283	0.384	0.412	0.582
281.799967918	stimulus	2b	0.616	0.718	0.412	0.582
292.799967918	stimulus	1a	0.283	0.384	0.412	0.582
306.799967918	stimulus	1b	0.616	0.718	0.412	0.582
6.799967918	virtual	S	NA	NA	NA	NA
8.735982668	response	R	NA	NA	NA	NA
9.299933128	response	R	NA	NA	NA	NA
9.599987118	response	R	NA	NA	NA	NA
9.835972468	response	R	NA	NA	NA	NA
10.067971298	response	R	NA	NA	NA	NA
10.268003158	response	R	NA	NA	NA	NA
10.800011968	response	R	NA	NA	NA	NA
10.968002908	response	R	NA	NA	NA	NA
11.168001068	response	R	NA	NA	NA	NA
11.367998358	response	R	NA	NA	NA	NA
11.535997468	response	R	NA	NA	NA	NA
11.599973898	response	R	NA	NA	NA	NA
11.735973308	response	R	NA	NA	NA	NA
11.899969788	response	R	NA	NA	NA	NA
12.100015828	response	R	NA	NA	NA	NA
12.268001838	response	R	NA	NA	NA	NA
12.467939868	response	R	NA	NA	NA	NA
12.700022298	response	R	NA	NA	NA	NA
12.868014588	response	R	NA	NA	NA	NA
13.067994528	response	R	NA	NA	NA	NA
13.268005728	response	R	NA	NA	NA	NA
13.467997028	response	R	NA	NA	NA	NA
13.667975718	response	R	NA	NA	NA	NA
13.967986998	response	R	NA	NA	NA	NA
14.068018988	response	R	NA	NA	NA	NA
14.267959528	response	R	NA	NA	NA	NA
14.467978128	response	R	NA	NA	NA	NA
14.768006928	response	R	NA	NA	NA	NA
