time	x_norm	y_norm
0.000	0.396	0.359
0.036	0.301	0.300
0.068	0.304	0.298
0.100	0.305	0.298
0.136	0.305	0.300
0.168	0.304	0.302
0.200	0.305	0.299
0.236	0.306	0.298
0.268	0.308	0.295
0.300	0.306	0.299
0.336	0.308	0.302
0.368	0.306	0.301
0.400	0.305	0.300
0.436	0.305	0.301
0.468	0.305	0.302
0.500	0.303	0.303
0.536	0.304	0.303
0.568	0.306	0.303
0.600	0.306	0.305
0.636	0.308	0.301
0.668	0.318	0.293
0.868	0.553	0.416
0.900	0.548	0.415
0.936	0.541	0.416
0.968	0.536	0.417
1.000	0.531	0.415
1.068	0.311	0.211
1.100	0.307	0.209
1.136	0.307	0.207
1.168	0.308	0.209
1.200	0.137	-0.088
1.236	0.120	-0.133
1.300	0.119	-0.132
1.336	0.119	-0.132
1.368	0.117	-0.133
1.400	0.117	-0.132
1.436	0.117	-0.133
1.468	0.116	-0.133
1.500	0.116	-0.134
1.536	0.115	-0.132
1.568	0.115	-0.131
1.600	0.114	-0.129
1.636	0.307	0.102
1.668	0.512	0.426
1.700	0.515	0.427
1.736	0.518	0.434
1.768	0.519	0.441
1.800	0.520	0.446
1.836	0.520	0.452
1.868	0.521	0.451
1.900	0.524	0.452
1.936	0.528	0.461
1.968	0.531	0.468
2.000	0.531	0.472
2.036	0.531	0.476
2.068	0.533	0.478
2.100	0.532	0.478
2.136	0.533	0.478
2.168	0.528	0.486
2.200	0.527	0.489
2.236	0.527	0.489
2.268	0.526	0.489
2.300	0.525	0.487
2.336	0.545	0.470
2.568	0.558	0.521
2.600	0.553	0.516
2.636	0.550	0.517
2.668	0.546	0.515
2.700	0.543	0.515
2.736	0.543	0.510
2.768	0.453	0.424
2.801	0.446	0.424
2.836	0.445	0.428
2.868	0.444	0.426
2.900	0.444	0.427
2.936	0.437	0.417
2.968	0.219	0.118
3.000	0.207	0.103
3.036	0.209	0.102
3.068	0.210	0.105
3.100	0.211	0.106
3.136	0.210	0.113
3.168	0.372	0.271
3.200	0.520	0.443
3.236	0.519	0.448
3.268	0.519	0.454
3.300	0.520	0.461
3.336	0.521	0.467
3.368	0.521	0.467
3.400	0.519	0.470
3.436	0.518	0.472
3.468	0.549	0.487
3.500	0.551	0.482
3.536	0.551	0.487
3.568	0.551	0.485
3.600	0.554	0.487
3.636	0.552	0.491
3.668	0.554	0.491
3.700	0.555	0.493
3.736	0.555	0.494
3.768	0.555	0.495
3.800	0.579	0.488
3.836	0.582	0.485
3.868	0.583	0.484
3.900	0.585	0.485
