id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.202	0.378	0.392
1	0.340	0.260	0.515	0.397
2	0.800	0.168	0.434	0.406
3	1.000	0.568	0.491	0.401
4	1.600	0.368	0.304	0.390
5	2.100	0.168	0.583	0.362
6	2.343	0.225	0.289	0.370
7	2.640	0.260	0.582	0.347
8	3.041	0.495	0.294	0.331
9	3.568	0.332	0.569	0.331
10	3.955	0.313	0.308	0.358
11	4.310	0.258	0.585	0.364
12	4.600	0.336	0.341	0.357
13	4.968	0.268	0.565	0.334
14	5.308	0.392	0.275	0.362
15	5.788	0.221	0.591	0.361
16	6.036	0.169	0.296	0.372
17	6.286	0.214	0.582	0.365
18	6.586	0.282	0.281	0.387
19	6.900	0.300	0.594	0.362
20	7.278	0.212	0.303	0.391
21	7.521	2.915	0.291	0.412
22	10.600	2.068	0.257	0.379
23	12.700	2.168	0.595	0.373
24	15.082	0.186	0.277	0.374
25	15.300	0.268	0.571	0.383
26	15.650	0.193	0.280	0.404
27	15.977	0.159	0.583	0.401
28	16.519	0.249	0.523	0.385
29	16.800	0.768	0.279	0.394
30	17.914	1.687	0.269	0.381
31	19.636	0.232	0.597	0.340
32	19.934	0.166	0.291	0.338
33	20.209	0.359	0.516	0.342
34	20.849	0.219	0.693	0.224
35	21.368	0.200	0.726	0.183
36	21.600	0.332	0.376	0.143
37	21.980	0.188	0.678	0.206
38	22.240	0.160	0.364	0.204
39	22.615	0.217	0.611	0.261
40	22.909	0.691	0.290	0.278
41	23.769	0.331	0.560	0.305
42	24.147	0.291	0.308	0.328
43	24.468	0.264	0.625	0.319
44	24.768	0.464	0.321	0.338
45	25.268	0.364	0.279	0.354
46	25.668	0.500	0.529	0.346
47	26.200	0.300	0.327	0.343
48	26.532	0.436	0.273	0.360
49	27.038	0.394	0.556	0.330
50	27.468	0.366	0.291	0.343
51	28.132	0.200	0.266	0.369
52	28.409	6.623	0.588	0.367
53	35.114	1.418	0.287	0.396
54	36.568	1.200	0.282	0.353
55	37.800	1.700	0.285	0.337
56	39.674	4.026	0.267	0.356
57	43.732	1.800	0.620	0.392
58	45.568	0.264	0.539	0.392
59	45.868	0.264	0.269	0.395
60	46.500	0.268	0.472	0.387
61	46.800	0.232	0.290	0.384
62	47.111	0.189	0.580	0.372
63	47.368	0.832	0.269	0.374
64	48.232	0.268	0.423	0.371
65	48.532	0.300	0.301	0.369
66	48.905	0.295	0.552	0.350
67	49.374	0.158	0.495	0.293
68	49.564	0.300	0.575	0.339
69	49.900	0.364	0.327	0.370
70	50.340	1.092	0.273	0.385
71	51.464	0.300	0.569	0.368
72	51.806	1.194	0.290	0.390
73	53.066	0.366	0.565	0.379
74	53.464	0.300	0.260	0.397
75	53.846	0.186	0.554	0.374
76	54.102	0.330	0.276	0.402
77	54.610	0.190	0.373	0.401
