id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.332	0.585	0.443
1	0.364	0.468	0.621	0.410
2	0.864	0.336	0.512	0.426
3	1.564	0.568	0.647	0.427
4	2.164	0.236	0.496	0.443
5	2.432	0.232	0.418	0.419
6	2.864	0.168	0.533	0.697
7	3.264	0.236	0.535	0.587
8	3.832	0.400	0.419	0.741
9	4.664	0.668	0.550	0.478
10	5.364	0.168	0.615	0.423
11	5.600	0.200	0.345	0.689
12	6.200	0.500	0.594	0.427
13	6.732	0.700	0.661	0.419
14	7.632	0.500	0.635	0.391
15	8.464	0.168	1.786	-0.426
16	8.832	0.332	0.684	0.260
17	9.200	0.361	0.691	0.321
18	9.576	0.956	0.669	0.345
19	10.564	0.200	0.589	0.365
20	10.964	0.168	0.601	0.377
21	11.164	0.368	0.480	0.385
22	11.564	0.200	0.343	0.396
23	11.800	0.200	0.663	0.334
24	12.200	0.332	0.495	0.356
25	12.564	0.236	0.393	0.369
26	12.832	0.164	0.332	0.386
27	13.032	0.164	0.551	0.315
28	13.232	0.500	0.450	0.345
29	13.764	0.300	0.518	0.328
30	14.096	0.936	0.627	0.406
31	15.064	0.368	0.671	0.393
32	15.464	0.368	0.566	0.394
33	15.864	0.200	0.650	0.393
34	16.096	0.336	0.569	0.404
35	16.464	0.632	0.468	0.408
36	17.132	0.200	0.408	0.468
37	17.596	0.300	0.317	0.487
38	17.964	0.300	0.672	0.398
39	18.296	0.268	0.580	0.398
40	18.596	0.200	0.483	0.409
41	18.832	0.264	0.319	0.445
42	19.164	0.168	0.499	0.365
43	19.564	0.532	0.334	0.389
44	20.132	0.400	0.618	0.430
45	20.564	0.500	0.673	0.442
46	21.396	0.168	0.653	0.427
47	21.596	0.468	0.527	0.421
48	22.096	0.200	0.451	0.431
49	22.332	0.200	0.380	0.443
50	22.564	0.432	0.322	0.460
51	23.032	0.264	0.662	0.378
52	23.396	0.200	0.607	0.390
53	23.632	0.164	0.553	0.405
54	23.864	0.232	0.480	0.401
55	24.132	0.332	0.359	0.413
56	24.496	0.200	0.264	0.397
57	24.896	0.200	0.256	0.402
58	25.164	0.332	0.487	0.340
59	25.532	0.232	0.597	0.435
60	25.796	0.536	0.442	0.379
61	26.464	0.200	0.558	0.431
62	26.832	0.600	0.439	0.440
63	27.464	0.832	0.563	0.435
64	28.332	0.600	0.518	0.438
65	28.996	0.200	0.286	0.845
66	29.596	0.336	0.478	0.415
67	29.996	0.236	0.372	0.441
68	30.264	0.800	0.535	0.423
69	31.132	0.200	0.705	0.760
70	31.564	0.432	0.472	0.424
71	32.032	0.864	0.528	0.443
72	33.496	0.468	0.463	0.469
73	33.996	0.700	0.551	0.479
74	34.896	0.268	0.634	0.446
75	35.196	0.368	0.577	0.428
76	35.596	0.468	0.538	0.445
77	36.096	0.236	0.442	0.472
78	36.496	0.600	0.467	0.506
79	37.364	0.200	0.466	0.465
80	37.596	0.536	0.564	0.436
81	38.164	0.432	0.596	0.426
82	38.964	0.768	0.536	0.455
83	39.764	0.200	0.580	0.427
84	39.996	0.200	0.463	0.415
85	40.232	0.932	0.552	0.396
86	41.196	0.200	0.424	0.397
87	41.428	0.200	0.583	0.431
88	41.664	1.036	0.510	0.383
89	43.606	0.347	0.501	0.364
90	44.036	1.158	0.574	0.394
91	45.258	0.209	0.508	0.427
92	45.535	0.229	0.431	0.419
93	47.363	0.173	0.538	0.412
94	48.907	0.155	0.505	0.320
95	49.141	0.668	0.595	0.511
96	49.895	0.218	0.598	0.571
97	50.340	0.245	0.611	0.523
98	50.758	1.048	0.528	0.436
99	51.883	0.285	0.566	0.497
100	52.261	0.227	0.427	0.508
101	52.810	0.165	0.880	0.948
102	53.413	0.645	0.540	0.532
103	54.501	0.242	0.602	0.536
104	54.813	0.279	0.582	0.593
105	56.073	0.153	0.490	0.458
106	56.317	0.319	0.453	0.431
107	57.032	0.435	0.540	0.383
108	57.555	0.528	0.471	0.508
109	58.144	0.547	0.406	0.454
110	58.844	0.165	0.571	0.537
111	59.393	0.336	0.526	0.501
112	59.983	0.359	0.550	0.495
113	60.762	0.166	0.892	0.959
114	60.996	0.200	0.932	0.025
115	62.764	0.200	0.886	0.848
116	63.296	0.568	0.602	0.521
117	63.896	0.332	0.529	0.524
118	65.828	0.336	0.644	0.349
119	66.228	0.168	0.289	0.661
120	66.564	0.200	0.564	0.347
121	66.842	0.154	0.359	-0.000
122	68.264	0.264	0.706	0.458
123	68.564	0.600	0.654	0.410
124	69.196	0.663	0.593	0.469
125	70.268	0.208	0.714	0.347
126	70.962	0.215	0.688	0.299
127	71.198	0.630	0.661	0.438
128	71.860	0.400	0.596	0.447
129	72.460	0.300	0.758	0.481
