id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.164	0.953	1.008
1	0.232	0.168	0.565	0.603
2	1.064	0.236	0.548	0.616
3	1.332	0.468	0.644	0.594
4	1.832	0.632	0.554	0.605
5	2.500	0.400	0.465	0.584
6	2.932	0.432	0.516	0.596
7	3.400	0.464	0.595	0.590
8	3.900	0.232	0.530	0.588
9	4.164	0.300	0.369	0.574
10	4.500	0.300	0.624	0.576
11	4.832	0.232	0.620	0.570
12	5.132	1.900	0.661	0.604
13	7.096	0.768	0.349	0.549
14	8.164	1.868	0.621	0.559
15	10.064	0.998	0.333	0.599
16	11.129	1.461	0.322	0.586
17	12.927	2.805	0.305	0.573
18	15.764	1.929	0.345	0.641
19	17.854	0.510	0.632	0.602
20	18.698	0.692	0.373	0.616
21	19.453	4.536	0.647	0.585
22	24.053	2.451	0.688	0.603
23	26.572	0.486	0.362	0.587
24	27.396	0.155	0.263	0.557
25	27.629	8.202	0.336	0.620
26	36.284	2.165	0.331	0.609
27	38.523	1.773	0.689	0.616
28	40.596	2.368	0.652	0.654
29	42.996	0.232	0.687	0.496
30	43.264	0.764	0.651	0.598
31	44.064	0.800	0.676	0.600
32	45.228	2.600	0.669	0.640
33	47.864	0.664	0.676	0.515
34	48.564	0.264	0.654	0.631
35	49.064	0.532	0.665	0.648
36	49.628	1.400	0.359	0.605
37	51.064	2.900	0.332	0.609
38	53.996	0.332	0.332	0.553
39	54.364	2.764	0.333	0.627
40	57.164	0.400	0.681	0.616
41	57.864	1.332	0.688	0.643
42	59.464	1.200	0.699	0.630
43	60.696	1.032	0.689	0.621
44	61.764	0.232	0.708	0.623
45	62.328	2.568	0.704	0.626
46	64.928	0.268	0.660	0.605
47	65.360	1.136	0.333	0.634
48	66.528	0.268	0.336	0.619
49	66.828	3.532	0.338	0.616
50	70.428	0.200	0.644	0.587
51	70.660	1.000	0.715	0.622
52	71.696	0.264	0.669	0.537
53	71.996	1.500	0.699	0.615
54	73.528	0.300	0.661	0.575
55	73.860	5.200	0.682	0.616
56	79.096	3.000	0.351	0.633
57	82.128	1.032	0.342	0.598
58	83.196	3.032	0.344	0.624
59	86.260	0.268	0.671	0.624
60	86.560	2.800	0.699	0.618
61	89.660	0.468	0.674	0.624
62	90.428	2.732	0.699	0.621
63	93.260	2.300	0.348	0.616
64	95.860	1.400	0.321	0.622
65	97.492	0.568	0.704	0.594
66	98.260	1.232	0.321	0.606
67	99.528	1.600	0.351	0.608
68	101.192	1.036	0.673	0.611
69	102.260	0.268	0.670	0.553
70	102.560	1.868	0.688	0.616
71	104.692	1.636	0.697	0.626
72	106.360	0.268	0.683	0.585
73	106.660	0.600	0.704	0.633
74	107.528	0.800	0.666	0.625
75	108.360	0.332	0.331	0.606
76	108.728	0.264	0.339	0.586
77	109.028	1.200	0.349	0.600
78	110.260	0.268	0.327	0.562
79	110.560	4.668	0.334	0.604
80	115.292	3.300	0.677	0.590
81	118.628	0.300	0.655	0.571
82	118.960	3.032	0.673	0.593
83	122.028	0.296	0.638	0.564
84	122.360	0.764	0.658	0.617
85	123.160	0.464	0.332	0.591
86	123.660	3.264	0.334	0.603
87	127.224	0.600	0.680	0.611
88	127.860	0.732	0.696	0.640
89	128.624	0.268	0.662	0.574
90	128.924	3.200	0.688	0.613
91	132.192	0.732	0.382	0.589
92	132.960	3.400	0.644	0.611
93	136.424	0.468	0.689	0.624
94	137.160	2.064	0.667	0.602
95	139.292	0.432	0.338	0.597
96	140.024	2.600	0.331	0.623
97	142.892	1.432	0.347	0.626
98	144.360	1.100	0.322	0.587
99	145.492	1.232	0.330	0.594
100	146.792	0.568	0.679	0.581
101	147.724	0.700	0.661	0.633
102	148.624	0.268	0.660	0.531
103	148.924	2.932	0.665	0.581
104	151.892	0.900	0.684	0.565
105	152.824	0.232	0.700	0.629
106	153.392	0.732	0.649	0.639
107	154.192	0.500	0.330	0.630
108	154.724	0.532	0.305	0.632
109	155.292	1.832	0.319	0.635
110	157.524	0.768	0.312	0.548
111	158.356	0.200	0.659	0.567
112	158.592	0.564	0.708	0.594
113	159.456	2.536	0.679	0.552
114	162.324	1.732	0.669	0.595
115	164.092	0.264	0.658	0.584
116	164.392	1.400	0.676	0.606
117	165.824	0.400	0.328	0.573
118	166.256	0.300	0.327	0.596
119	166.856	0.636	0.661	0.598
120	167.524	0.568	0.330	0.577
121	168.124	3.200	0.303	0.608
122	171.356	0.900	0.324	0.675
123	172.292	0.732	0.678	0.639
124	173.056	1.700	0.687	0.623
125	174.792	0.364	0.708	0.517
126	175.492	1.364	0.676	0.626
127	176.892	0.432	0.640	0.597
128	177.356	1.768	0.670	0.595
129	179.192	3.632	0.328	0.612
130	182.856	0.300	0.308	0.562
131	183.188	1.368	0.308	0.599
132	184.588	0.400	0.300	0.544
133	185.024	1.432	0.310	0.579
134	186.488	0.268	0.316	0.546
135	186.788	0.268	0.329	0.582
136	187.324	0.932	0.308	0.611
137	188.524	0.564	0.669	0.591
138	189.356	4.772	0.660	0.607
139	194.295	10.693	0.323	0.605
140	205.156	0.200	0.703	0.601
141	205.588	0.668	0.671	0.636
142	206.288	5.000	0.683	0.615
143	211.356	0.364	0.345	0.593
144	211.756	0.300	0.316	0.576
145	212.088	4.732	0.334	0.615
146	216.856	4.332	0.317	0.606
147	221.220	1.000	0.646	0.608
148	222.256	0.400	0.702	0.620
149	222.956	1.200	0.676	0.598
150	224.188	0.332	0.648	0.553
151	224.556	1.700	0.660	0.595
152	226.320	0.600	0.686	0.652
153	226.956	0.364	0.683	0.552
154	227.356	1.332	0.674	0.635
155	228.988	0.732	0.667	0.619
156	229.756	0.400	0.686	0.622
157	230.188	0.832	0.328	0.614
158	231.056	1.500	0.344	0.604
159	232.956	0.500	0.290	0.580
160	233.488	4.006	0.335	0.598
161	237.566	2.187	0.691	0.605
162	240.215	1.861	0.673	0.595
163	242.401	0.296	0.640	0.648
164	242.869	0.751	0.353	0.608
165	243.687	2.225	0.331	0.609
166	245.970	1.649	0.315	0.602
167	247.678	1.008	0.309	0.631
168	249.038	0.726	0.317	0.601
169	249.897	0.248	0.390	0.531
170	250.757	2.796	0.674	0.594
171	253.964	1.313	0.655	0.595
172	255.338	0.480	0.681	0.514
173	255.884	0.681	0.682	0.652
174	256.887	2.001	0.666	0.668
175	259.188	1.932	0.638	0.673
176	261.152	0.200	0.365	0.586
177	261.388	0.232	0.307	0.626
178	261.652	0.236	0.300	0.588
179	261.920	0.632	0.317	0.643
180	262.888	3.164	0.322	0.620
181	266.088	0.532	0.327	0.522
182	266.920	1.200	0.347	0.621
183	268.152	0.300	0.336	0.581
184	268.484	1.668	0.352	0.624
185	270.184	1.200	0.661	0.621
186	271.420	0.964	0.717	0.649
187	272.420	0.264	0.677	0.594
188	272.720	0.364	0.665	0.651
189	273.120	3.132	0.712	0.614
190	276.320	0.332	0.322	0.615
191	276.684	0.300	0.297	0.613
192	277.020	2.219	0.343	0.623
193	279.303	0.909	0.358	0.565
194	280.272	7.518	0.328	0.644
195	287.927	3.515	0.693	0.638
196	291.511	0.385	0.721	0.625
197	292.213	1.025	0.688	0.626
198	293.376	4.120	0.323	0.605
199	297.840	2.401	0.347	0.633
200	300.297	1.284	0.676	0.645
201	301.645	2.667	0.705	0.645
202	304.386	0.910	0.541	0.617
