time	event_type	event	left	right	bottom	top
113.992109534	response	R	NA	NA	NA	NA
114.528109294	response	R	NA	NA	NA	NA
114.992114424	response	R	NA	NA	NA	NA
115.528109224	response	R	NA	NA	NA	NA
116.060095184	response	R	NA	NA	NA	NA
116.460101794	response	R	NA	NA	NA	NA
116.928092174	response	R	NA	NA	NA	NA
117.660120084	response	R	NA	NA	NA	NA
118.260124634	response	R	NA	NA	NA	NA
118.728108594	response	R	NA	NA	NA	NA
119.260112884	response	R	NA	NA	NA	NA
119.792113864	response	R	NA	NA	NA	NA
120.792072024	response	R	NA	NA	NA	NA
135.924083284	response	R	NA	NA	NA	NA
136.324072944	response	R	NA	NA	NA	NA
136.692108184	response	R	NA	NA	NA	NA
136.992118234	response	R	NA	NA	NA	NA
137.360122834	response	R	NA	NA	NA	NA
137.724039484	response	R	NA	NA	NA	NA
138.060085114	response	R	NA	NA	NA	NA
138.460070114	response	R	NA	NA	NA	NA
138.892046034	response	R	NA	NA	NA	NA
139.560123254	response	R	NA	NA	NA	NA
140.092069514	response	R	NA	NA	NA	NA
140.524111034	response	R	NA	NA	NA	NA
141.024079614	response	R	NA	NA	NA	NA
141.560083344	response	R	NA	NA	NA	NA
142.024049204	response	R	NA	NA	NA	NA
142.524073274	response	R	NA	NA	NA	NA
143.192067714	response	R	NA	NA	NA	NA
143.592090264	response	R	NA	NA	NA	NA
144.260077974	response	R	NA	NA	NA	NA
144.660079104	response	R	NA	NA	NA	NA
145.124095144	response	R	NA	NA	NA	NA
145.660097994	response	R	NA	NA	NA	NA
146.160078954	response	R	NA	NA	NA	NA
146.724092964	response	R	NA	NA	NA	NA
147.492086744	response	R	NA	NA	NA	NA
147.924129894	response	R	NA	NA	NA	NA
148.360093934	response	R	NA	NA	NA	NA
148.792099844	response	R	NA	NA	NA	NA
149.224071834	response	R	NA	NA	NA	NA
149.692049084	response	R	NA	NA	NA	NA
150.124069974	response	R	NA	NA	NA	NA
150.660038734	response	R	NA	NA	NA	NA
151.224107944	response	R	NA	NA	NA	NA
151.692122574	response	R	NA	NA	NA	NA
152.192106534	response	R	NA	NA	NA	NA
152.692104564	response	R	NA	NA	NA	NA
153.160083164	response	R	NA	NA	NA	NA
153.592058144	response	R	NA	NA	NA	NA
154.324085174	response	R	NA	NA	NA	NA
167.024096704	response	R	NA	NA	NA	NA
167.592107354	response	R	NA	NA	NA	NA
167.992108494	response	R	NA	NA	NA	NA
168.392096964	response	R	NA	NA	NA	NA
168.792104914	response	R	NA	NA	NA	NA
169.256094944	response	R	NA	NA	NA	NA
169.556121704	response	R	NA	NA	NA	NA
169.824122314	response	R	NA	NA	NA	NA
170.092105304	response	R	NA	NA	NA	NA
171.856089794	response	R	NA	NA	NA	NA
173.092105194	response	R	NA	NA	NA	NA
174.324073344	response	R	NA	NA	NA	NA
174.892109384	response	R	NA	NA	NA	NA
175.256111054	response	R	NA	NA	NA	NA
175.656081014	response	R	NA	NA	NA	NA
176.092107924	response	R	NA	NA	NA	NA
176.492116034	response	R	NA	NA	NA	NA
177.292105814	response	R	NA	NA	NA	NA
177.992103274	response	R	NA	NA	NA	NA
178.492096704	response	R	NA	NA	NA	NA
178.924080394	response	R	NA	NA	NA	NA
179.356120114	response	R	NA	NA	NA	NA
179.756123244	response	R	NA	NA	NA	NA
180.292108954	response	R	NA	NA	NA	NA
180.724107154	response	R	NA	NA	NA	NA
181.092105074	response	R	NA	NA	NA	NA
181.556085354	response	R	NA	NA	NA	NA
182.088121424	response	R	NA	NA	NA	NA
191.988078144	response	R	NA	NA	NA	NA
199.188103214	response	R	NA	NA	NA	NA
199.624148794	response	R	NA	NA	NA	NA
200.288094384	response	R	NA	NA	NA	NA
200.724151724	response	R	NA	NA	NA	NA
201.188123974	response	R	NA	NA	NA	NA
201.588087354	response	R	NA	NA	NA	NA
202.024112384	response	R	NA	NA	NA	NA
202.488115064	response	R	NA	NA	NA	NA
202.924133224	response	R	NA	NA	NA	NA
203.388158364	response	R	NA	NA	NA	NA
203.824178164	response	R	NA	NA	NA	NA
204.356112344	response	R	NA	NA	NA	NA
204.824148644	response	R	NA	NA	NA	NA
205.424115684	response	R	NA	NA	NA	NA
205.924100564	response	R	NA	NA	NA	NA
206.356118614	response	R	NA	NA	NA	NA
206.888124364	response	R	NA	NA	NA	NA
207.356162644	response	R	NA	NA	NA	NA
207.788169734	response	R	NA	NA	NA	NA
208.256161794	response	R	NA	NA	NA	NA
208.624157984	response	R	NA	NA	NA	NA
209.124151474	response	R	NA	NA	NA	NA
209.688160004	response	R	NA	NA	NA	NA
210.224157904	response	R	NA	NA	NA	NA
210.756157914	response	R	NA	NA	NA	NA
211.088162044	response	R	NA	NA	NA	NA
211.820125584	response	R	NA	NA	NA	NA
212.320162874	response	R	NA	NA	NA	NA
212.620098494	response	R	NA	NA	NA	NA
213.088167574	response	R	NA	NA	NA	NA
213.520177114	response	R	NA	NA	NA	NA
214.088161334	response	R	NA	NA	NA	NA
214.588167204	response	R	NA	NA	NA	NA
215.056161374	response	R	NA	NA	NA	NA
215.556162554	response	R	NA	NA	NA	NA
215.988159974	response	R	NA	NA	NA	NA
216.456157764	response	R	NA	NA	NA	NA
216.956168274	response	R	NA	NA	NA	NA
217.420168864	response	R	NA	NA	NA	NA
218.056170624	response	R	NA	NA	NA	NA
236.288166424	response	R	NA	NA	NA	NA
236.756167784	response	R	NA	NA	NA	NA
237.156166264	response	R	NA	NA	NA	NA
237.520166494	response	R	NA	NA	NA	NA
237.988149544	response	R	NA	NA	NA	NA
238.420179614	response	R	NA	NA	NA	NA
238.888169984	response	R	NA	NA	NA	NA
239.320170034	response	R	NA	NA	NA	NA
239.820167504	response	R	NA	NA	NA	NA
240.320130574	response	R	NA	NA	NA	NA
241.420177864	response	R	NA	NA	NA	NA
241.688172394	response	R	NA	NA	NA	NA
241.988168044	response	R	NA	NA	NA	NA
242.752202794	response	R	NA	NA	NA	NA
243.852162614	response	R	NA	NA	NA	NA
244.420170444	response	R	NA	NA	NA	NA
244.788175754	response	R	NA	NA	NA	NA
245.352179044	response	R	NA	NA	NA	NA
245.788117634	response	R	NA	NA	NA	NA
246.220169564	response	R	NA	NA	NA	NA
246.820114014	response	R	NA	NA	NA	NA
247.452179774	response	R	NA	NA	NA	NA
247.952182994	response	R	NA	NA	NA	NA
248.620180044	response	R	NA	NA	NA	NA
249.320116604	response	R	NA	NA	NA	NA
265.852108394	response	R	NA	NA	NA	NA
266.588144154	response	R	NA	NA	NA	NA
266.820148764	response	R	NA	NA	NA	NA
267.220141344	response	R	NA	NA	NA	NA
267.588139014	response	R	NA	NA	NA	NA
267.888179604	response	R	NA	NA	NA	NA
268.252124554	response	R	NA	NA	NA	NA
268.720131144	response	R	NA	NA	NA	NA
269.252104174	response	R	NA	NA	NA	NA
269.720188644	response	R	NA	NA	NA	NA
270.252187284	response	R	NA	NA	NA	NA
270.752080554	response	R	NA	NA	NA	NA
271.352143394	response	R	NA	NA	NA	NA
271.852134994	response	R	NA	NA	NA	NA
272.252104774	response	R	NA	NA	NA	NA
272.784094564	response	R	NA	NA	NA	NA
273.352140044	response	R	NA	NA	NA	NA
273.820159324	response	R	NA	NA	NA	NA
274.684115864	response	R	NA	NA	NA	NA
274.784109784	response	R	NA	NA	NA	NA
275.352163004	response	R	NA	NA	NA	NA
275.884152114	response	R	NA	NA	NA	NA
276.252175484	response	R	NA	NA	NA	NA
276.620171784	response	R	NA	NA	NA	NA
277.552130524	response	R	NA	NA	NA	NA
278.052190104	response	R	NA	NA	NA	NA
278.084194214	response	R	NA	NA	NA	NA
278.520160244	response	R	NA	NA	NA	NA
279.020146334	response	R	NA	NA	NA	NA
279.452197334	response	R	NA	NA	NA	NA
279.920171224	response	R	NA	NA	NA	NA
280.420166384	response	R	NA	NA	NA	NA
280.852153094	response	R	NA	NA	NA	NA
281.320153484	response	R	NA	NA	NA	NA
281.820167954	response	R	NA	NA	NA	NA
282.252196264	response	R	NA	NA	NA	NA
282.720151044	response	R	NA	NA	NA	NA
283.152151404	response	R	NA	NA	NA	NA
284.352186654	response	R	NA	NA	NA	NA
284.684152254	response	R	NA	NA	NA	NA
284.852185124	response	R	NA	NA	NA	NA
285.084196654	response	R	NA	NA	NA	NA
304.216171874	virtual	E	NA	NA	NA	NA
