time	x_norm	y_norm
0.000	0.500	0.564
0.032	0.499	0.564
0.068	0.500	0.566
0.100	0.500	0.567
0.132	0.499	0.569
0.168	0.499	0.568
0.200	0.499	0.565
0.232	0.498	0.566
0.268	0.493	0.568
0.300	0.381	0.574
0.332	0.380	0.575
0.368	0.378	0.576
0.400	0.379	0.577
0.432	0.378	0.575
0.468	0.376	0.573
0.500	0.388	0.512
0.532	0.435	0.140
0.568	0.458	0.077
0.600	0.461	0.080
0.632	0.466	0.083
0.668	0.468	0.084
0.700	0.464	0.027
0.732	0.467	0.025
0.768	0.469	0.025
0.800	0.469	0.024
0.832	0.469	0.024
0.868	0.468	0.025
0.900	0.469	0.027
0.932	0.429	0.029
1.000	0.419	0.031
1.032	0.420	0.032
1.068	0.419	0.033
1.100	0.419	0.032
1.132	0.418	0.036
1.168	0.420	0.039
1.200	0.417	0.038
1.232	0.421	0.037
1.268	0.503	0.028
1.300	0.506	0.027
1.332	0.506	0.030
1.368	0.506	0.029
1.400	0.505	0.031
1.432	0.509	0.031
1.468	0.542	0.039
1.500	0.543	0.038
1.532	0.544	0.043
1.568	0.545	0.048
1.600	0.546	0.044
1.632	0.546	0.042
1.700	0.449	0.466
1.732	0.451	0.474
1.768	0.454	0.479
1.800	0.457	0.479
1.832	0.457	0.478
1.868	0.439	0.545
1.900	0.439	0.547
1.932	0.441	0.553
1.968	0.442	0.552
2.000	0.443	0.553
2.032	0.441	0.555
2.068	0.442	0.554
2.100	0.441	0.556
2.132	0.443	0.552
2.168	0.443	0.556
2.200	0.412	0.554
2.232	0.364	0.561
2.268	0.364	0.561
2.300	0.366	0.562
2.332	0.366	0.564
2.368	0.368	0.566
2.400	0.366	0.568
2.432	0.368	0.565
2.468	0.366	0.569
2.500	0.366	0.566
2.532	0.367	0.566
2.568	0.367	0.568
2.600	0.368	0.564
2.632	0.367	0.563
2.668	0.369	0.567
2.700	0.406	0.530
2.832	0.428	0.616
2.868	0.420	0.614
2.900	0.416	0.608
2.932	0.410	0.598
2.968	0.407	0.589
3.000	0.403	0.584
3.032	0.400	0.575
3.068	0.390	0.572
3.100	0.363	0.564
3.132	0.361	0.562
3.168	0.360	0.561
3.200	0.359	0.563
3.232	0.358	0.562
3.268	0.358	0.560
3.300	0.359	0.562
3.332	0.359	0.561
3.368	0.359	0.563
3.400	0.358	0.566
3.432	0.361	0.563
3.468	0.360	0.566
3.500	0.488	0.537
3.532	0.526	0.537
3.568	0.526	0.541
3.600	0.527	0.539
3.632	0.526	0.536
3.668	0.525	0.539
3.700	0.525	0.538
3.732	0.524	0.540
3.768	0.526	0.538
3.800	0.525	0.538
3.832	0.524	0.539
3.868	0.524	0.539
3.900	0.522	0.539
3.932	0.523	0.537
3.968	0.524	0.536
4.000	0.381	0.544
4.068	0.371	0.552
4.100	0.373	0.557
4.132	0.371	0.555
4.168	0.372	0.552
4.200	0.371	0.550
4.232	0.369	0.549
4.268	0.368	0.553
4.300	0.369	0.553
4.332	0.369	0.553
4.368	0.370	0.548
4.400	0.369	0.552
4.432	0.350	0.533
4.468	0.350	0.532
4.500	0.353	0.534
4.532	0.355	0.535
4.568	0.355	0.531
4.600	0.356	0.531
4.632	0.350	0.531
4.668	0.343	0.536
4.700	0.340	0.539
4.732	0.342	0.541
4.768	0.342	0.541
4.800	0.344	0.537
4.832	0.345	0.539
4.868	0.346	0.540
4.900	0.344	0.541
4.932	0.344	0.539
5.000	0.411	0.508
5.032	0.410	0.509
5.068	0.408	0.515
5.100	0.408	0.510
5.132	0.409	0.512
5.168	0.410	0.512
5.200	0.410	0.511
5.232	0.409	0.511
5.268	0.408	0.509
5.300	0.409	0.507
5.332	0.407	0.507
5.368	0.410	0.511
5.400	0.471	0.516
5.432	0.527	0.516
5.468	0.530	0.518
5.500	0.528	0.520
5.532	0.527	0.520
5.568	0.529	0.521
5.600	0.529	0.520
5.632	0.530	0.521
5.668	0.531	0.522
5.700	0.529	0.521
5.732	0.530	0.522
5.768	0.531	0.517
5.800	0.530	0.521
5.832	0.531	0.520
5.932	0.457	0.505
5.968	0.457	0.503
6.000	0.457	0.507
6.032	0.456	0.506
6.068	0.452	0.504
6.100	0.453	0.504
6.132	0.453	0.504
6.168	0.454	0.505
6.200	0.453	0.502
6.232	0.452	0.502
6.268	0.452	0.505
6.300	0.453	0.505
6.332	0.453	0.506
6.368	0.374	0.510
6.432	0.371	0.513
6.468	0.370	0.518
6.500	0.371	0.516
6.532	0.370	0.518
6.568	0.371	0.517
6.600	0.372	0.516
6.632	0.370	0.514
6.732	0.369	0.518
6.768	0.367	0.520
6.832	0.367	0.523
6.868	0.367	0.531
6.900	0.367	0.537
6.932	0.370	0.538
6.968	0.371	0.539
7.000	0.371	0.542
7.032	0.371	0.541
7.068	0.372	0.540
7.100	0.373	0.537
7.132	0.373	0.535
7.168	0.374	0.533
7.200	0.376	0.532
7.232	0.377	0.530
7.268	0.375	0.529
7.300	0.375	0.526
7.332	0.376	0.523
7.368	0.378	0.523
7.400	0.444	0.512
8.332	0.578	0.497
8.368	0.555	0.474
8.400	0.551	0.469
8.432	0.549	0.458
8.468	0.552	0.462
