id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.265	0.506	0.396
1	0.465	0.172	0.346	0.407
2	0.811	0.554	0.505	0.410
3	1.433	0.164	0.307	0.400
4	1.675	0.158	0.580	0.383
5	1.908	0.189	0.316	0.386
6	2.244	0.253	0.518	0.372
7	2.533	0.232	0.286	0.395
8	2.797	0.200	0.493	0.382
9	3.029	0.400	0.311	0.397
10	3.465	0.200	0.539	0.379
11	3.771	0.626	0.295	0.387
12	4.429	0.236	0.539	0.377
13	4.697	0.368	0.272	0.369
14	5.141	0.256	0.538	0.360
15	5.429	1.468	0.289	0.369
16	7.024	0.205	0.486	0.367
17	7.265	0.232	0.565	0.382
18	7.529	0.300	0.308	0.354
19	7.965	0.700	0.295	0.399
20	8.723	0.206	0.574	0.396
21	9.133	1.832	0.292	0.409
22	11.107	0.290	0.458	0.404
23	11.470	0.259	0.284	0.383
24	11.765	0.264	0.484	0.386
25	12.065	0.205	0.559	0.381
26	12.325	0.228	0.287	0.392
27	12.579	0.286	0.519	0.358
28	12.929	0.168	0.279	0.379
29	13.177	0.188	0.573	0.351
30	13.397	0.332	0.256	0.387
31	13.874	0.155	0.478	0.400
32	14.065	5.332	0.267	0.405
33	19.434	1.895	0.272	0.385
34	21.413	0.716	0.523	0.370
35	22.167	0.362	0.467	0.389
36	22.565	0.264	0.333	0.399
37	22.865	6.164	0.587	0.386
38	29.065	1.200	0.537	0.419
39	30.297	0.232	0.314	0.413
40	30.565	3.232	0.280	0.413
41	33.829	3.500	0.264	0.404
42	37.361	0.300	0.524	0.404
43	37.697	1.164	0.553	0.418
44	38.897	0.200	0.441	0.419
45	39.129	3.102	0.581	0.428
46	42.261	1.468	0.563	0.444
47	43.761	1.268	0.616	0.438
48	45.072	3.425	0.543	0.418
49	48.532	0.265	0.282	0.420
50	48.829	5.332	0.278	0.446
51	54.197	1.364	0.263	0.424
52	55.597	1.532	0.555	0.411
53	57.161	3.700	0.607	0.400
54	60.897	0.264	0.550	0.367
55	61.193	0.801	0.586	0.375
56	62.029	0.632	0.538	0.388
57	62.693	0.700	0.592	0.432
58	63.429	2.832	0.555	0.415
59	66.351	0.542	0.276	0.444
60	67.093	5.300	0.274	0.445
61	72.429	0.464	0.558	0.419
62	72.929	2.832	0.571	0.436
63	75.793	4.568	0.546	0.435
64	80.393	5.468	0.264	0.453
65	85.893	4.336	0.249	0.438
66	90.304	0.421	0.556	0.422
67	90.761	7.400	0.594	0.430
68	98.193	2.232	0.562	0.413
69	100.462	0.831	0.252	0.437
70	101.325	2.168	0.272	0.471
71	103.525	2.100	0.279	0.464
72	105.661	1.064	0.266	0.431
73	106.865	3.628	0.244	0.423
74	110.792	5.669	0.618	0.456
75	116.505	6.952	0.263	0.468
76	123.501	6.631	0.604	0.441
77	130.161	4.832	0.615	0.443
78	135.025	0.400	0.568	0.417
79	135.479	6.146	0.261	0.455
80	141.657	0.800	0.235	0.469
81	142.493	0.764	0.252	0.484
82	143.293	1.332	0.593	0.445
83	144.657	4.700	0.602	0.445
84	149.430	3.327	0.272	0.472
85	152.837	6.552	0.239	0.474
86	159.425	0.432	0.578	0.419
87	159.889	0.200	0.332	0.434
88	160.207	1.818	0.612	0.373
89	162.133	0.824	0.634	0.367
90	162.989	0.600	0.590	0.455
91	163.664	6.693	0.248	0.418
92	170.390	6.000	0.598	0.418
93	176.467	2.190	0.257	0.461
94	178.835	0.255	0.264	0.488
95	179.121	5.236	0.254	0.442
96	184.389	0.368	0.545	0.421
97	184.789	0.632	0.604	0.444
98	185.457	1.807	0.551	0.431
99	187.290	4.099	0.590	0.443
100	191.510	10.711	0.264	0.468
101	202.293	0.264	0.518	0.439
102	202.657	0.800	0.609	0.449
103	203.521	2.768	0.589	0.443
104	206.321	2.100	0.616	0.454
105	208.525	1.628	0.254	0.479
106	210.189	0.532	0.308	0.450
107	210.753	2.936	0.255	0.445
108	213.721	0.206	0.230	0.452
109	213.953	3.468	0.255	0.459
110	217.472	4.481	0.579	0.426
111	221.989	3.664	0.566	0.422
112	225.689	0.700	0.531	0.438
113	226.498	3.024	0.251	0.464
114	229.553	1.392	0.236	0.475
115	231.077	0.212	0.282	0.514
116	231.621	7.800	0.608	0.489
117	239.537	7.684	0.257	0.482
118	247.253	0.200	0.397	0.453
119	247.492	2.361	0.585	0.446
120	249.885	3.600	0.610	0.435
121	253.521	0.200	0.307	0.450
122	253.753	5.132	0.257	0.478
123	258.921	1.432	0.257	0.483
124	260.432	0.289	0.570	0.439
125	260.753	6.664	0.602	0.466
126	267.495	4.890	0.259	0.489
127	272.419	0.998	0.245	0.466
128	273.492	3.925	0.616	0.467
129	277.453	0.600	0.611	0.457
130	278.085	6.200	0.622	0.428
131	284.320	0.797	0.593	0.490
132	285.153	1.064	0.621	0.393
133	286.253	0.232	0.512	0.415
134	286.517	6.900	0.274	0.456
135	293.453	2.932	0.586	0.483
136	296.423	5.194	0.620	0.477
137	301.649	0.568	0.626	0.476
138	302.298	0.652	0.447	0.491
139	303.125	0.224	0.567	0.486
