time	event_type	event	left	right	bottom	top
49.367995081	stimulus	1a	0.283	0.384	0.412	0.582
56.367995081	stimulus	1b	0.616	0.718	0.412	0.582
63.367995081	stimulus	2a	0.283	0.384	0.412	0.582
72.367995081	stimulus	2b	0.616	0.718	0.412	0.582
82.367995081	stimulus	1a	0.283	0.384	0.412	0.582
91.367995081	stimulus	1b	0.616	0.718	0.412	0.582
98.367995081	stimulus	2a	0.283	0.384	0.412	0.582
106.367995081	stimulus	2b	0.616	0.718	0.412	0.582
110.367995081	stimulus	1a	0.283	0.384	0.412	0.582
116.367995081	stimulus	1b	0.616	0.718	0.412	0.582
123.367995081	stimulus	2a	0.283	0.384	0.412	0.582
133.367995081	stimulus	2b	0.616	0.718	0.412	0.582
141.367995081	stimulus	1a	0.283	0.384	0.412	0.582
151.367995081	stimulus	1b	0.616	0.718	0.412	0.582
159.367995081	stimulus	2a	0.283	0.384	0.412	0.582
167.367995081	stimulus	2b	0.616	0.718	0.412	0.582
175.367995081	stimulus	1a	0.283	0.384	0.412	0.582
184.367995081	stimulus	1b	0.616	0.718	0.412	0.582
190.367995081	stimulus	2a	0.283	0.384	0.412	0.582
197.367995081	stimulus	2b	0.616	0.718	0.412	0.582
203.367995081	stimulus	1a	0.283	0.384	0.412	0.582
212.367995081	stimulus	1b	0.616	0.718	0.412	0.582
217.367995081	stimulus	2a	0.283	0.384	0.412	0.582
226.367995081	stimulus	2b	0.616	0.718	0.412	0.582
235.367995081	stimulus	1a	0.283	0.384	0.412	0.582
240.367995081	stimulus	1b	0.616	0.718	0.412	0.582
249.367995081	stimulus	2a	0.283	0.384	0.412	0.582
258.367995081	stimulus	2b	0.616	0.718	0.412	0.582
265.367995081	stimulus	1a	0.283	0.384	0.412	0.582
272.367995081	stimulus	1b	0.616	0.718	0.412	0.582
278.367995081	stimulus	2a	0.283	0.384	0.412	0.582
291.367995081	stimulus	2b	0.616	0.718	0.412	0.582
298.367995081	stimulus	1a	0.283	0.384	0.412	0.582
307.367995081	stimulus	1b	0.616	0.718	0.412	0.582
318.367995081	stimulus	2a	0.283	0.384	0.412	0.582
324.367995081	stimulus	2b	0.616	0.718	0.412	0.582
335.367995081	stimulus	1a	0.283	0.384	0.412	0.582
349.367995081	stimulus	1b	0.616	0.718	0.412	0.582
49.367995081	virtual	S	NA	NA	NA	NA
79.664075101	response	R	NA	NA	NA	NA
92.796050651	response	R	NA	NA	NA	NA
106.632106671	response	R	NA	NA	NA	NA
108.464056541	response	R	NA	NA	NA	NA
111.228044481	response	R	NA	NA	NA	NA
117.196098461	response	R	NA	NA	NA	NA
125.128134091	response	R	NA	NA	NA	NA
126.564058381	response	R	NA	NA	NA	NA
128.164109201	response	R	NA	NA	NA	NA
129.364099161	response	R	NA	NA	NA	NA
130.396104261	response	R	NA	NA	NA	NA
131.328067941	response	R	NA	NA	NA	NA
132.128101961	response	R	NA	NA	NA	NA
132.928072151	response	R	NA	NA	NA	NA
133.728116031	response	R	NA	NA	NA	NA
134.664063071	response	R	NA	NA	NA	NA
135.528099671	response	R	NA	NA	NA	NA
136.328100591	response	R	NA	NA	NA	NA
137.096110311	response	R	NA	NA	NA	NA
137.728107041	response	R	NA	NA	NA	NA
138.396101531	response	R	NA	NA	NA	NA
139.096231481	response	R	NA	NA	NA	NA
139.796104471	response	R	NA	NA	NA	NA
140.428112681	response	R	NA	NA	NA	NA
141.028111891	response	R	NA	NA	NA	NA
141.360116861	response	R	NA	NA	NA	NA
141.628071981	response	R	NA	NA	NA	NA
141.828109331	response	R	NA	NA	NA	NA
142.896101461	response	R	NA	NA	NA	NA
143.660103681	response	R	NA	NA	NA	NA
144.560111041	response	R	NA	NA	NA	NA
145.328112871	response	R	NA	NA	NA	NA
146.160109691	response	R	NA	NA	NA	NA
146.960109221	response	R	NA	NA	NA	NA
147.228107771	response	R	NA	NA	NA	NA
147.560119571	response	R	NA	NA	NA	NA
148.196037091	response	R	NA	NA	NA	NA
148.528110491	response	R	NA	NA	NA	NA
148.860110701	response	R	NA	NA	NA	NA
148.896117671	response	R	NA	NA	NA	NA
149.328103011	response	R	NA	NA	NA	NA
149.660101061	response	R	NA	NA	NA	NA
150.028105871	response	R	NA	NA	NA	NA
150.360105321	response	R	NA	NA	NA	NA
150.760124091	response	R	NA	NA	NA	NA
151.096110091	response	R	NA	NA	NA	NA
151.496111171	response	R	NA	NA	NA	NA
151.960108621	response	R	NA	NA	NA	NA
152.660117891	response	R	NA	NA	NA	NA
153.528122511	response	R	NA	NA	NA	NA
154.460113051	response	R	NA	NA	NA	NA
154.796065811	response	R	NA	NA	NA	NA
155.060110521	response	R	NA	NA	NA	NA
155.328110881	response	R	NA	NA	NA	NA
155.628080861	response	R	NA	NA	NA	NA
155.896071861	response	R	NA	NA	NA	NA
156.160072121	response	R	NA	NA	NA	NA
156.428099811	response	R	NA	NA	NA	NA
156.728073251	response	R	NA	NA	NA	NA
156.996108751	response	R	NA	NA	NA	NA
157.296131591	response	R	NA	NA	NA	NA
157.560109371	response	R	NA	NA	NA	NA
157.860106141	response	R	NA	NA	NA	NA
158.128110041	response	R	NA	NA	NA	NA
158.360112181	response	R	NA	NA	NA	NA
158.628110151	response	R	NA	NA	NA	NA
158.828032691	response	R	NA	NA	NA	NA
159.160072041	response	R	NA	NA	NA	NA
160.228040171	response	R	NA	NA	NA	NA
161.196034781	response	R	NA	NA	NA	NA
161.828110511	response	R	NA	NA	NA	NA
162.160117591	response	R	NA	NA	NA	NA
162.428126831	response	R	NA	NA	NA	NA
162.660107391	response	R	NA	NA	NA	NA
162.928121721	response	R	NA	NA	NA	NA
163.160116091	response	R	NA	NA	NA	NA
163.428102431	response	R	NA	NA	NA	NA
163.660116101	response	R	NA	NA	NA	NA
163.928107231	response	R	NA	NA	NA	NA
164.196056031	response	R	NA	NA	NA	NA
164.460116461	response	R	NA	NA	NA	NA
164.728082971	response	R	NA	NA	NA	NA
164.960125761	response	R	NA	NA	NA	NA
165.228044991	response	R	NA	NA	NA	NA
165.528073321	response	R	NA	NA	NA	NA
165.760109131	response	R	NA	NA	NA	NA
165.996039061	response	R	NA	NA	NA	NA
166.228108591	response	R	NA	NA	NA	NA
166.528078451	response	R	NA	NA	NA	NA
166.992119891	response	R	NA	NA	NA	NA
167.760117751	response	R	NA	NA	NA	NA
168.528036031	response	R	NA	NA	NA	NA
169.192108861	response	R	NA	NA	NA	NA
169.692062501	response	R	NA	NA	NA	NA
170.092120431	response	R	NA	NA	NA	NA
170.428064861	response	R	NA	NA	NA	NA
170.760096411	response	R	NA	NA	NA	NA
171.060121171	response	R	NA	NA	NA	NA
171.328032931	response	R	NA	NA	NA	NA
171.628040811	response	R	NA	NA	NA	NA
171.892057841	response	R	NA	NA	NA	NA
172.160058751	response	R	NA	NA	NA	NA
172.428037631	response	R	NA	NA	NA	NA
172.928058451	response	R	NA	NA	NA	NA
173.192085571	response	R	NA	NA	NA	NA
173.492122661	response	R	NA	NA	NA	NA
173.728007971	response	R	NA	NA	NA	NA
174.028055931	response	R	NA	NA	NA	NA
174.792118291	response	R	NA	NA	NA	NA
175.860056211	response	R	NA	NA	NA	NA
176.660035441	response	R	NA	NA	NA	NA
177.092060751	response	R	NA	NA	NA	NA
177.392003321	response	R	NA	NA	NA	NA
177.660057381	response	R	NA	NA	NA	NA
177.992045011	response	R	NA	NA	NA	NA
178.292061551	response	R	NA	NA	NA	NA
178.560041291	response	R	NA	NA	NA	NA
178.860071011	response	R	NA	NA	NA	NA
179.160055241	response	R	NA	NA	NA	NA
179.692032841	response	R	NA	NA	NA	NA
179.992041641	response	R	NA	NA	NA	NA
180.292054981	response	R	NA	NA	NA	NA
180.592060151	response	R	NA	NA	NA	NA
180.892044341	response	R	NA	NA	NA	NA
181.192063601	response	R	NA	NA	NA	NA
181.492066341	response	R	NA	NA	NA	NA
182.228086381	response	R	NA	NA	NA	NA
183.260092811	response	R	NA	NA	NA	NA
184.128068731	response	R	NA	NA	NA	NA
184.792066421	response	R	NA	NA	NA	NA
185.060070531	response	R	NA	NA	NA	NA
185.328066311	response	R	NA	NA	NA	NA
185.592053071	response	R	NA	NA	NA	NA
185.860059761	response	R	NA	NA	NA	NA
186.092099341	response	R	NA	NA	NA	NA
186.392060511	response	R	NA	NA	NA	NA
186.660075761	response	R	NA	NA	NA	NA
186.960096281	response	R	NA	NA	NA	NA
187.228116841	response	R	NA	NA	NA	NA
187.492053331	response	R	NA	NA	NA	NA
187.760071611	response	R	NA	NA	NA	NA
188.028074021	response	R	NA	NA	NA	NA
188.328099871	response	R	NA	NA	NA	NA
188.592094421	response	R	NA	NA	NA	NA
188.892062891	response	R	NA	NA	NA	NA
189.128091951	response	R	NA	NA	NA	NA
189.428103271	response	R	NA	NA	NA	NA
189.660066341	response	R	NA	NA	NA	NA
189.892075501	response	R	NA	NA	NA	NA
190.160103481	response	R	NA	NA	NA	NA
190.428107011	response	R	NA	NA	NA	NA
190.728110471	response	R	NA	NA	NA	NA
190.992092711	response	R	NA	NA	NA	NA
191.292092261	response	R	NA	NA	NA	NA
191.592042551	response	R	NA	NA	NA	NA
191.860079641	response	R	NA	NA	NA	NA
192.128108731	response	R	NA	NA	NA	NA
192.392113191	response	R	NA	NA	NA	NA
192.692054661	response	R	NA	NA	NA	NA
192.992080051	response	R	NA	NA	NA	NA
193.260088711	response	R	NA	NA	NA	NA
193.592108581	response	R	NA	NA	NA	NA
193.860070621	response	R	NA	NA	NA	NA
194.160078931	response	R	NA	NA	NA	NA
194.860109011	response	R	NA	NA	NA	NA
195.460104271	response	R	NA	NA	NA	NA
196.024040591	response	R	NA	NA	NA	NA
196.524067751	response	R	NA	NA	NA	NA
196.924077441	response	R	NA	NA	NA	NA
197.292091951	response	R	NA	NA	NA	NA
197.660127871	response	R	NA	NA	NA	NA
197.960109681	response	R	NA	NA	NA	NA
198.360081221	response	R	NA	NA	NA	NA
198.692178571	response	R	NA	NA	NA	NA
198.960107971	response	R	NA	NA	NA	NA
199.260126561	response	R	NA	NA	NA	NA
199.560116901	response	R	NA	NA	NA	NA
199.824080331	response	R	NA	NA	NA	NA
200.092107561	response	R	NA	NA	NA	NA
200.360115951	response	R	NA	NA	NA	NA
200.660116481	response	R	NA	NA	NA	NA
200.960103961	response	R	NA	NA	NA	NA
201.260072691	response	R	NA	NA	NA	NA
201.524115451	response	R	NA	NA	NA	NA
201.792114341	response	R	NA	NA	NA	NA
202.092104381	response	R	NA	NA	NA	NA
202.392080781	response	R	NA	NA	NA	NA
202.860124891	response	R	NA	NA	NA	NA
203.124087821	response	R	NA	NA	NA	NA
203.460122871	response	R	NA	NA	NA	NA
203.760101981	response	R	NA	NA	NA	NA
204.060237431	response	R	NA	NA	NA	NA
204.292117991	response	R	NA	NA	NA	NA
204.560123961	response	R	NA	NA	NA	NA
204.860086801	response	R	NA	NA	NA	NA
205.160118241	response	R	NA	NA	NA	NA
205.424114941	response	R	NA	NA	NA	NA
206.092138291	response	R	NA	NA	NA	NA
206.360078361	response	R	NA	NA	NA	NA
206.592127861	response	R	NA	NA	NA	NA
206.892126501	response	R	NA	NA	NA	NA
207.124062811	response	R	NA	NA	NA	NA
207.392086461	response	R	NA	NA	NA	NA
207.624090731	response	R	NA	NA	NA	NA
207.924049041	response	R	NA	NA	NA	NA
208.192100121	response	R	NA	NA	NA	NA
208.424136141	response	R	NA	NA	NA	NA
208.724080161	response	R	NA	NA	NA	NA
208.924093391	response	R	NA	NA	NA	NA
209.192082711	response	R	NA	NA	NA	NA
210.992122621	response	R	NA	NA	NA	NA
211.360104251	response	R	NA	NA	NA	NA
211.524135041	response	R	NA	NA	NA	NA
211.892080211	response	R	NA	NA	NA	NA
212.292084611	response	R	NA	NA	NA	NA
212.592095431	response	R	NA	NA	NA	NA
212.960106941	response	R	NA	NA	NA	NA
213.392125401	response	R	NA	NA	NA	NA
213.760098111	response	R	NA	NA	NA	NA
214.024094791	response	R	NA	NA	NA	NA
214.324102571	response	R	NA	NA	NA	NA
214.624104401	response	R	NA	NA	NA	NA
214.924125971	response	R	NA	NA	NA	NA
215.224081851	response	R	NA	NA	NA	NA
215.524126021	response	R	NA	NA	NA	NA
215.824122181	response	R	NA	NA	NA	NA
216.124107321	response	R	NA	NA	NA	NA
216.392182251	response	R	NA	NA	NA	NA
216.660081811	response	R	NA	NA	NA	NA
216.924092301	response	R	NA	NA	NA	NA
217.224084241	response	R	NA	NA	NA	NA
217.524079581	response	R	NA	NA	NA	NA
217.760083461	response	R	NA	NA	NA	NA
218.060076501	response	R	NA	NA	NA	NA
218.392110211	response	R	NA	NA	NA	NA
218.660162121	response	R	NA	NA	NA	NA
218.960112871	response	R	NA	NA	NA	NA
219.224063391	response	R	NA	NA	NA	NA
219.524049941	response	R	NA	NA	NA	NA
219.824109421	response	R	NA	NA	NA	NA
220.124149171	response	R	NA	NA	NA	NA
220.360128931	response	R	NA	NA	NA	NA
220.660071591	response	R	NA	NA	NA	NA
220.892143891	response	R	NA	NA	NA	NA
221.160105981	response	R	NA	NA	NA	NA
221.392102391	response	R	NA	NA	NA	NA
221.692122721	response	R	NA	NA	NA	NA
222.160104001	response	R	NA	NA	NA	NA
222.460108651	response	R	NA	NA	NA	NA
222.760116501	response	R	NA	NA	NA	NA
223.060112741	response	R	NA	NA	NA	NA
223.292113711	response	R	NA	NA	NA	NA
223.560081221	response	R	NA	NA	NA	NA
223.824099171	response	R	NA	NA	NA	NA
224.060114451	response	R	NA	NA	NA	NA
224.324057651	response	R	NA	NA	NA	NA
224.524079531	response	R	NA	NA	NA	NA
224.824103191	response	R	NA	NA	NA	NA
225.056104831	response	R	NA	NA	NA	NA
225.356100281	response	R	NA	NA	NA	NA
225.556119761	response	R	NA	NA	NA	NA
226.192113401	response	R	NA	NA	NA	NA
226.556147151	response	R	NA	NA	NA	NA
227.092125901	response	R	NA	NA	NA	NA
227.392138831	response	R	NA	NA	NA	NA
227.756119981	response	R	NA	NA	NA	NA
228.092131761	response	R	NA	NA	NA	NA
228.392122861	response	R	NA	NA	NA	NA
228.692155371	response	R	NA	NA	NA	NA
228.956120571	response	R	NA	NA	NA	NA
229.524133701	response	R	NA	NA	NA	NA
229.824137201	response	R	NA	NA	NA	NA
230.092125711	response	R	NA	NA	NA	NA
230.392104151	response	R	NA	NA	NA	NA
230.692159021	response	R	NA	NA	NA	NA
230.992106201	response	R	NA	NA	NA	NA
231.292080761	response	R	NA	NA	NA	NA
231.556098611	response	R	NA	NA	NA	NA
231.824102591	response	R	NA	NA	NA	NA
232.092104901	response	R	NA	NA	NA	NA
232.424123291	response	R	NA	NA	NA	NA
232.692153561	response	R	NA	NA	NA	NA
232.992120881	response	R	NA	NA	NA	NA
233.192118151	response	R	NA	NA	NA	NA
233.492108891	response	R	NA	NA	NA	NA
233.756112061	response	R	NA	NA	NA	NA
234.024082611	response	R	NA	NA	NA	NA
234.292121021	response	R	NA	NA	NA	NA
234.592123621	response	R	NA	NA	NA	NA
234.856094841	response	R	NA	NA	NA	NA
235.156121191	response	R	NA	NA	NA	NA
235.356156681	response	R	NA	NA	NA	NA
235.692139631	response	R	NA	NA	NA	NA
235.924066891	response	R	NA	NA	NA	NA
236.224126601	response	R	NA	NA	NA	NA
236.492146491	response	R	NA	NA	NA	NA
236.756160201	response	R	NA	NA	NA	NA
237.056228361	response	R	NA	NA	NA	NA
237.356120561	response	R	NA	NA	NA	NA
237.624229801	response	R	NA	NA	NA	NA
237.856168311	response	R	NA	NA	NA	NA
238.092117611	response	R	NA	NA	NA	NA
238.424108971	response	R	NA	NA	NA	NA
238.992110971	response	R	NA	NA	NA	NA
239.256122081	response	R	NA	NA	NA	NA
239.524102191	response	R	NA	NA	NA	NA
239.756108441	response	R	NA	NA	NA	NA
240.024158731	response	R	NA	NA	NA	NA
240.324146631	response	R	NA	NA	NA	NA
240.624160291	response	R	NA	NA	NA	NA
240.892124451	response	R	NA	NA	NA	NA
