id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.500	0.650	0.451
1	0.700	0.236	0.539	0.459
2	0.968	0.200	0.559	0.487
3	1.236	1.000	0.681	0.460
4	2.400	0.336	0.590	0.436
5	2.768	0.300	0.513	0.430
6	3.100	0.200	0.395	0.410
7	3.368	0.300	0.705	0.392
8	3.736	0.400	0.535	0.388
9	4.168	0.268	0.453	0.393
10	4.468	0.168	0.387	0.401
11	4.700	0.200	0.598	0.371
12	4.936	0.200	0.510	0.362
13	5.168	0.532	0.578	0.377
14	6.168	0.332	0.689	0.485
15	6.532	0.200	0.599	0.450
16	6.768	0.200	0.535	0.443
17	7.000	0.268	0.473	0.439
18	7.300	0.268	0.547	0.444
19	7.600	0.168	0.395	0.442
20	7.800	0.232	0.375	0.448
21	8.100	0.468	0.720	0.414
22	8.600	0.300	0.653	0.420
23	8.932	0.236	0.539	0.401
24	9.368	0.764	0.413	0.402
25	10.268	0.264	0.714	0.458
26	10.600	0.232	0.602	0.452
27	10.868	0.232	0.515	0.448
28	11.132	0.400	0.424	0.449
29	11.568	0.264	0.380	0.444
30	12.032	0.236	0.752	0.431
31	12.300	0.168	0.695	0.430
32	12.500	0.232	0.628	0.421
33	12.768	0.200	0.579	0.413
34	13.000	0.600	0.516	0.415
35	13.632	0.236	0.432	0.406
36	13.900	0.168	0.383	0.403
37	14.100	0.732	0.544	0.367
38	14.868	0.364	0.623	0.469
39	15.400	0.300	0.472	0.444
40	15.732	1.068	0.515	0.461
41	16.832	0.268	0.602	0.484
42	17.132	0.900	0.723	0.465
43	18.068	0.200	0.691	0.451
44	18.300	0.732	0.720	0.470
45	19.068	0.164	0.664	0.450
46	19.268	2.032	0.708	0.459
47	21.332	0.936	0.409	0.420
48	22.300	0.932	0.369	0.379
49	23.368	2.764	0.355	0.397
50	26.168	0.164	0.330	0.391
51	26.368	0.664	0.352	0.401
52	27.100	0.168	0.640	0.432
53	27.300	1.268	0.696	0.462
54	28.732	0.636	0.697	0.467
55	29.768	0.200	0.783	0.364
56	30.000	0.832	0.708	0.441
57	31.068	1.800	0.692	0.481
58	32.900	1.532	0.704	0.466
59	34.468	0.796	0.675	0.424
60	35.300	0.932	0.714	0.438
61	36.264	0.168	0.686	0.437
62	36.500	1.764	0.722	0.461
63	38.300	0.200	0.680	0.469
64	38.564	0.536	0.722	0.490
65	39.132	0.700	0.690	0.474
66	39.864	0.268	0.712	0.469
67	40.200	1.032	0.402	0.442
68	41.264	0.868	0.380	0.413
69	42.332	0.468	0.355	0.426
70	42.832	0.332	0.413	0.403
71	43.332	0.500	0.385	0.425
72	44.132	0.832	0.371	0.406
73	45.164	0.368	0.394	0.413
74	45.600	0.700	0.702	0.431
75	46.600	0.532	0.761	0.398
76	47.164	0.168	0.682	0.394
77	47.364	0.600	0.686	0.411
78	48.000	0.264	0.665	0.422
79	48.300	2.132	0.708	0.424
80	50.600	0.400	0.681	0.451
