time	x_norm	y_norm
0.000	0.645	0.458
0.036	0.647	0.456
0.068	0.650	0.454
0.247	0.653	0.449
0.260	0.654	0.450
0.279	0.651	0.443
0.336	0.617	0.458
0.368	0.623	0.469
0.436	0.625	0.469
0.468	0.627	0.468
0.500	0.629	0.469
0.536	0.588	0.458
0.600	0.577	0.462
0.636	0.576	0.459
0.668	0.573	0.457
0.700	0.533	0.401
0.936	0.542	0.508
0.968	0.547	0.504
1.000	0.557	0.496
1.036	0.563	0.490
1.068	0.565	0.483
1.100	0.567	0.481
1.136	0.566	0.473
1.168	0.567	0.464
1.236	0.673	0.465
1.268	0.677	0.464
1.300	0.680	0.457
1.336	0.680	0.454
1.368	0.683	0.463
1.400	0.687	0.467
1.436	0.687	0.467
1.468	0.689	0.469
1.500	0.692	0.472
1.536	0.692	0.471
1.568	0.694	0.475
1.600	0.695	0.477
1.636	0.694	0.475
1.668	0.692	0.472
1.700	0.689	0.468
1.736	0.694	0.470
1.768	0.693	0.466
1.800	0.692	0.458
1.836	0.692	0.455
1.868	0.694	0.459
1.900	0.693	0.456
1.936	0.693	0.451
1.968	0.668	0.443
2.000	0.671	0.447
2.036	0.672	0.446
2.068	0.668	0.442
2.100	0.666	0.442
2.136	0.663	0.434
2.168	0.664	0.435
2.200	0.665	0.441
2.236	0.672	0.437
2.400	0.600	0.426
2.436	0.602	0.433
2.500	0.604	0.436
2.536	0.606	0.441
2.568	0.606	0.439
2.600	0.574	0.434
2.636	0.573	0.431
2.668	0.574	0.438
2.700	0.575	0.440
2.736	0.578	0.442
2.768	0.538	0.424
2.800	0.509	0.428
2.836	0.509	0.431
2.868	0.508	0.429
2.900	0.510	0.432
2.936	0.510	0.434
2.968	0.510	0.432
3.000	0.512	0.430
3.036	0.514	0.433
3.068	0.512	0.429
3.100	0.386	0.398
3.136	0.391	0.405
3.168	0.396	0.411
3.200	0.396	0.409
3.236	0.397	0.412
3.268	0.397	0.415
3.300	0.396	0.415
3.368	0.699	0.382
3.400	0.697	0.378
3.436	0.703	0.389
3.468	0.705	0.393
3.500	0.706	0.396
3.536	0.709	0.399
3.568	0.709	0.398
3.600	0.707	0.392
3.636	0.709	0.398
3.668	0.710	0.398
3.736	0.542	0.374
3.768	0.547	0.376
3.800	0.549	0.380
3.836	0.551	0.382
3.868	0.553	0.388
3.900	0.554	0.389
3.936	0.555	0.391
3.968	0.516	0.381
4.000	0.519	0.388
4.036	0.521	0.389
4.068	0.519	0.388
4.100	0.520	0.395
4.136	0.522	0.402
4.168	0.447	0.382
4.200	0.451	0.385
4.236	0.452	0.389
4.268	0.453	0.390
4.300	0.455	0.392
4.336	0.454	0.397
4.368	0.454	0.400
4.400	0.455	0.402
4.436	0.455	0.405
4.468	0.402	0.388
4.500	0.381	0.392
4.536	0.384	0.399
4.568	0.384	0.404
4.600	0.384	0.408
4.636	0.385	0.408
4.668	0.486	0.382
4.700	0.595	0.361
4.736	0.597	0.368
4.768	0.599	0.371
4.800	0.599	0.374
4.836	0.599	0.374
4.868	0.602	0.376
4.900	0.599	0.374
4.936	0.511	0.363
4.968	0.511	0.364
5.000	0.510	0.363
5.036	0.510	0.362
5.068	0.510	0.365
5.100	0.509	0.364
5.136	0.511	0.363
5.168	0.575	0.366
5.200	0.578	0.370
5.236	0.585	0.381
5.268	0.583	0.378
5.300	0.583	0.378
5.332	0.583	0.379
5.368	0.583	0.381
5.400	0.583	0.379
5.432	0.584	0.384
5.468	0.582	0.384
5.500	0.584	0.380
5.532	0.582	0.376
5.568	0.580	0.378
5.600	0.582	0.379
5.632	0.580	0.374
5.668	0.581	0.380
5.700	0.581	0.376
5.732	0.632	0.438
5.768	0.718	0.471
5.800	0.717	0.473
5.832	0.719	0.474
5.868	0.720	0.476
5.900	0.721	0.477
5.932	0.773	0.477
5.968	0.775	0.481
6.000	0.775	0.479
6.032	0.771	0.476
6.168	0.664	0.494
6.200	0.672	0.489
6.232	0.678	0.497
6.268	0.687	0.492
6.300	0.690	0.487
6.332	0.694	0.488
6.368	0.697	0.487
6.400	0.696	0.483
6.432	0.698	0.477
6.468	0.697	0.479
6.500	0.698	0.471
6.532	0.599	0.446
6.568	0.599	0.446
6.600	0.601	0.449
6.632	0.603	0.450
6.668	0.601	0.450
6.700	0.599	0.448
6.732	0.599	0.446
6.768	0.533	0.439
6.800	0.536	0.440
6.832	0.535	0.439
6.868	0.536	0.443
6.900	0.535	0.444
6.932	0.537	0.442
6.968	0.538	0.446
7.000	0.480	0.434
7.032	0.465	0.429
7.100	0.464	0.438
7.132	0.465	0.438
7.168	0.466	0.439
7.200	0.466	0.441
7.232	0.466	0.440
7.268	0.507	0.447
7.300	0.551	0.449
7.332	0.552	0.448
7.368	0.551	0.445
7.400	0.551	0.445
7.432	0.550	0.445
7.468	0.551	0.443
7.500	0.550	0.444
7.532	0.550	0.445
7.568	0.518	0.413
7.600	0.433	0.430
7.632	0.373	0.431
7.732	0.383	0.449
7.768	0.386	0.454
7.800	0.390	0.455
7.832	0.392	0.456
7.868	0.395	0.452
7.900	0.394	0.450
7.932	0.358	0.446
7.968	0.357	0.443
8.000	0.357	0.441
8.032	0.358	0.441
8.068	0.483	0.420
8.100	0.727	0.386
8.132	0.730	0.396
8.168	0.735	0.404
8.200	0.741	0.410
8.232	0.744	0.414
8.268	0.753	0.420
8.300	0.742	0.416
8.332	0.702	0.412
8.368	0.701	0.416
8.400	0.700	0.418
8.432	0.703	0.423
8.468	0.704	0.420
8.500	0.706	0.424
8.532	0.710	0.428
8.568	0.708	0.427
8.600	0.652	0.415
8.632	0.650	0.419
8.668	0.651	0.420
8.700	0.652	0.421
8.732	0.653	0.427
8.768	0.652	0.426
8.800	0.653	0.420
8.832	0.651	0.423
8.868	0.656	0.422
8.900	0.656	0.420
8.932	0.543	0.392
8.968	0.539	0.396
9.000	0.541	0.405
9.032	0.540	0.404
9.068	0.539	0.400
9.100	0.540	0.408
9.132	0.541	0.406
9.168	0.529	0.401
9.200	0.480	0.393
9.232	0.480	0.394
9.268	0.479	0.397
9.300	0.478	0.398
9.332	0.478	0.399
9.368	0.399	0.380
9.400	0.399	0.385
9.432	0.400	0.390
9.468	0.400	0.397
9.500	0.401	0.396
9.532	0.403	0.398
9.568	0.403	0.398
9.600	0.405	0.399
9.632	0.406	0.400
9.668	0.414	0.396
9.700	0.419	0.393
9.732	0.423	0.398
9.768	0.421	0.397
9.800	0.422	0.398
9.832	0.423	0.402
9.868	0.423	0.405
9.900	0.422	0.404
9.932	0.421	0.404
9.968	0.422	0.409
10.000	0.422	0.408
10.032	0.424	0.408
10.068	0.421	0.404
10.100	0.423	0.403
10.132	0.422	0.402
10.168	0.530	0.415
10.268	0.670	0.449
10.300	0.672	0.448
10.332	0.673	0.449
10.368	0.726	0.457
10.400	0.728	0.452
10.432	0.733	0.462
10.468	0.735	0.467
10.500	0.735	0.463
10.532	0.736	0.465
10.568	0.740	0.472
10.600	0.608	0.444
10.632	0.604	0.449
10.668	0.601	0.448
10.700	0.604	0.458
10.732	0.607	0.456
10.768	0.612	0.461
10.800	0.613	0.463
10.832	0.572	0.448
10.868	0.514	0.444
10.900	0.515	0.444
10.932	0.516	0.452
10.968	0.518	0.452
11.000	0.517	0.454
11.032	0.516	0.452
11.068	0.516	0.448
11.100	0.506	0.437
11.132	0.388	0.426
11.168	0.388	0.441
11.232	0.408	0.456
11.268	0.412	0.460
11.300	0.417	0.461
11.332	0.423	0.460
11.400	0.441	0.454
11.432	0.442	0.456
11.468	0.442	0.452
11.500	0.443	0.452
11.532	0.444	0.451
11.568	0.373	0.435
11.632	0.378	0.444
11.668	0.379	0.443
11.700	0.379	0.443
11.732	0.382	0.445
11.768	0.382	0.446
11.800	0.381	0.447
11.832	0.387	0.448
11.868	0.629	0.428
11.900	0.632	0.434
11.932	0.634	0.438
11.968	0.638	0.442
12.000	0.641	0.438
12.032	0.751	0.426
12.068	0.757	0.430
12.100	0.756	0.430
12.132	0.759	0.429
12.168	0.762	0.432
12.200	0.762	0.437
12.232	0.760	0.429
12.268	0.719	0.422
12.300	0.693	0.424
12.332	0.694	0.427
12.368	0.696	0.427
12.400	0.696	0.430
12.432	0.695	0.431
12.468	0.698	0.434
12.500	0.627	0.420
12.532	0.627	0.419
12.568	0.629	0.424
12.600	0.630	0.420
12.632	0.629	0.424
12.668	0.628	0.426
12.700	0.629	0.428
12.732	0.628	0.423
12.768	0.576	0.407
12.800	0.578	0.412
12.832	0.580	0.413
12.868	0.580	0.415
12.900	0.582	0.416
12.932	0.582	0.418
12.968	0.574	0.408
13.000	0.526	0.387
13.032	0.505	0.405
13.132	0.530	0.426
13.168	0.536	0.426
13.200	0.541	0.430
13.232	0.539	0.431
13.268	0.539	0.426
13.300	0.526	0.421
13.332	0.502	0.411
13.368	0.503	0.408
13.400	0.503	0.408
13.432	0.506	0.413
13.468	0.506	0.414
13.500	0.505	0.409
13.532	0.506	0.413
13.568	0.506	0.413
13.600	0.506	0.415
13.632	0.433	0.398
13.700	0.435	0.408
13.732	0.436	0.411
13.768	0.436	0.409
13.800	0.439	0.409
13.832	0.436	0.405
13.868	0.409	0.404
13.900	0.382	0.402
13.932	0.382	0.407
13.968	0.383	0.406
14.000	0.383	0.399
14.032	0.383	0.404
14.068	0.381	0.403
14.100	0.527	0.361
14.132	0.562	0.356
14.200	0.563	0.358
14.232	0.564	0.363
14.268	0.566	0.363
14.300	0.558	0.368
14.368	0.539	0.364
14.400	0.538	0.364
14.432	0.537	0.366
14.468	0.538	0.366
14.500	0.536	0.365
14.532	0.539	0.369
14.568	0.542	0.371
14.600	0.541	0.373
14.632	0.542	0.376
14.668	0.542	0.370
14.700	0.540	0.371
14.732	0.542	0.374
14.768	0.542	0.373
14.800	0.541	0.373
14.832	0.540	0.373
14.868	0.598	0.471
14.900	0.605	0.478
14.932	0.605	0.474
14.968	0.607	0.473
15.000	0.606	0.476
15.032	0.636	0.461
15.068	0.638	0.466
15.100	0.636	0.464
15.132	0.637	0.463
15.168	0.636	0.461
15.200	0.637	0.461
15.232	0.636	0.461
15.268	0.573	0.454
15.300	0.570	0.457
15.368	0.574	0.460
15.400	0.489	0.428
15.468	0.468	0.439
15.500	0.465	0.441
15.532	0.467	0.442
15.568	0.468	0.446
15.600	0.467	0.444
15.632	0.468	0.449
15.668	0.469	0.448
15.700	0.469	0.449
15.732	0.522	0.446
15.768	0.523	0.451
15.800	0.526	0.454
15.832	0.524	0.454
15.868	0.506	0.426
16.068	0.481	0.486
16.100	0.488	0.487
16.132	0.496	0.480
16.168	0.504	0.478
16.200	0.505	0.473
16.232	0.506	0.467
16.268	0.506	0.463
16.300	0.508	0.462
16.332	0.509	0.460
16.368	0.507	0.455
16.400	0.506	0.454
16.432	0.508	0.454
16.468	0.511	0.457
16.500	0.512	0.459
16.532	0.511	0.458
16.568	0.515	0.459
16.600	0.514	0.460
16.632	0.515	0.461
16.668	0.517	0.469
16.700	0.515	0.466
16.732	0.515	0.466
16.768	0.516	0.464
16.800	0.525	0.471
16.832	0.610	0.496
16.868	0.608	0.493
16.900	0.608	0.489
16.932	0.610	0.493
16.968	0.608	0.482
17.000	0.606	0.483
17.032	0.607	0.478
17.068	0.607	0.479
17.100	0.603	0.472
17.132	0.704	0.461
17.168	0.706	0.458
17.200	0.705	0.453
17.232	0.705	0.458
17.268	0.701	0.451
17.468	0.695	0.490
17.500	0.708	0.495
17.600	0.725	0.480
17.632	0.727	0.473
17.668	0.729	0.475
17.700	0.731	0.474
17.732	0.731	0.467
17.768	0.732	0.460
17.800	0.730	0.455
17.832	0.728	0.455
17.868	0.726	0.449
17.900	0.730	0.453
17.932	0.730	0.452
17.968	0.733	0.457
18.000	0.732	0.459
18.032	0.733	0.454
18.068	0.675	0.400
18.268	0.709	0.502
18.300	0.716	0.502
18.332	0.720	0.498
18.368	0.728	0.494
18.400	0.731	0.493
18.432	0.729	0.485
18.468	0.731	0.480
18.500	0.728	0.475
18.532	0.730	0.476
18.568	0.727	0.470
18.600	0.728	0.469
18.632	0.725	0.465
18.668	0.727	0.466
18.700	0.728	0.467
18.732	0.728	0.467
18.768	0.715	0.459
18.800	0.708	0.454
18.832	0.708	0.453
18.868	0.708	0.449
18.900	0.708	0.448
18.932	0.705	0.448
18.968	0.706	0.453
19.000	0.706	0.450
19.032	0.704	0.450
19.068	0.655	0.397
19.200	0.665	0.475
19.232	0.670	0.478
19.268	0.677	0.483
19.300	0.683	0.479
19.332	0.689	0.476
19.368	0.693	0.469
19.400	0.693	0.459
19.432	0.695	0.460
19.468	0.694	0.455
19.500	0.696	0.454
19.532	0.695	0.452
19.568	0.695	0.454
19.600	0.697	0.452
19.632	0.700	0.452
19.668	0.703	0.456
19.700	0.705	0.457
19.732	0.707	0.455
19.768	0.704	0.452
19.800	0.709	0.453
19.832	0.709	0.457
19.868	0.710	0.457
19.900	0.714	0.455
19.932	0.713	0.456
19.968	0.715	0.459
20.000	0.714	0.454
20.032	0.712	0.453
20.068	0.714	0.453
20.100	0.714	0.455
20.132	0.715	0.452
20.168	0.724	0.455
20.200	0.726	0.456
20.232	0.726	0.458
20.268	0.725	0.457
20.300	0.724	0.459
20.332	0.723	0.460
20.368	0.724	0.463
20.400	0.721	0.451
20.432	0.720	0.447
20.468	0.722	0.451
20.500	0.721	0.453
20.532	0.720	0.451
20.568	0.721	0.447
20.600	0.720	0.446
20.632	0.719	0.445
20.668	0.722	0.449
20.700	0.721	0.451
20.732	0.720	0.452
20.900	0.706	0.456
20.932	0.699	0.452
20.968	0.698	0.454
21.000	0.702	0.459
21.032	0.703	0.466
21.068	0.701	0.462
21.100	0.700	0.463
21.132	0.703	0.462
21.168	0.702	0.466
21.200	0.705	0.466
21.232	0.703	0.461
21.268	0.703	0.461
21.300	0.698	0.456
21.332	0.422	0.406
21.368	0.403	0.407
21.400	0.402	0.407
21.432	0.403	0.412
21.468	0.403	0.417
21.500	0.402	0.417
21.532	0.405	0.418
21.568	0.407	0.420
21.600	0.407	0.422
21.632	0.405	0.421
21.668	0.411	0.427
21.700	0.410	0.429
21.732	0.411	0.429
21.768	0.411	0.430
21.800	0.410	0.426
21.832	0.413	0.431
21.868	0.414	0.428
21.900	0.413	0.433
21.932	0.415	0.431
21.968	0.415	0.424
22.000	0.411	0.424
22.032	0.410	0.423
22.068	0.413	0.418
22.100	0.411	0.416
22.132	0.409	0.418
22.168	0.406	0.414
22.200	0.404	0.409
22.232	0.403	0.405
22.268	0.402	0.403
22.300	0.369	0.393
22.368	0.367	0.384
22.400	0.367	0.382
22.432	0.369	0.385
22.468	0.366	0.383
22.500	0.366	0.379
22.532	0.367	0.381
22.568	0.368	0.385
22.600	0.370	0.384
22.632	0.371	0.385
22.668	0.372	0.392
22.700	0.372	0.388
22.732	0.372	0.387
22.768	0.371	0.382
22.800	0.371	0.383
22.832	0.368	0.382
22.868	0.371	0.380
22.900	0.370	0.381
22.932	0.372	0.381
22.968	0.371	0.380
23.000	0.370	0.377
23.032	0.369	0.377
23.068	0.369	0.378
23.100	0.369	0.379
23.132	0.372	0.377
23.168	0.370	0.377
23.200	0.368	0.378
23.232	0.345	0.347
23.368	0.326	0.424
23.400	0.331	0.422
23.432	0.338	0.418
23.468	0.342	0.416
23.500	0.346	0.417
23.532	0.347	0.411
23.568	0.352	0.410
23.600	0.353	0.412
23.632	0.352	0.412
23.668	0.355	0.414
23.700	0.356	0.416
23.732	0.358	0.413
23.768	0.359	0.418
23.800	0.360	0.418
23.832	0.360	0.414
23.868	0.364	0.418
23.900	0.363	0.413
23.932	0.363	0.414
23.968	0.362	0.411
24.000	0.364	0.407
24.032	0.364	0.411
24.068	0.362	0.408
24.100	0.361	0.402
24.132	0.339	0.366
24.268	0.313	0.401
24.332	0.327	0.414
24.368	0.333	0.413
24.400	0.336	0.406
24.432	0.340	0.400
24.468	0.342	0.399
24.500	0.342	0.396
24.532	0.341	0.391
24.568	0.339	0.386
24.600	0.340	0.385
24.632	0.339	0.384
24.668	0.341	0.385
24.700	0.341	0.388
24.732	0.345	0.389
24.768	0.342	0.388
24.800	0.347	0.397
24.832	0.347	0.394
24.868	0.349	0.396
24.900	0.348	0.396
24.932	0.351	0.400
24.968	0.351	0.397
25.000	0.353	0.398
25.032	0.351	0.399
25.068	0.352	0.399
25.100	0.355	0.399
25.132	0.355	0.395
25.168	0.357	0.397
25.200	0.356	0.396
25.232	0.357	0.396
25.268	0.357	0.393
25.300	0.357	0.392
25.332	0.356	0.394
