time,index,confidence,x_norm,y_norm,base_data
0,0,1,0.467390296432138,0.418186946802649,4271.125145429-0.0
0.031962390999979,0,1,0.467978121506365,0.415163362027176,4271.15710782-0.0
0.063992814999438,0,1,0.4892939159808,0.410686058325343,4271.189138244-0.0
0.099982829999135,0,1,0.489481632043711,0.408825991210115,4271.225128259-0.0
0.13193355599924,2,1,0.488259363603471,0.409638802812545,4271.257078985-0.0
0.163938228000006,3,1,0.488418669212694,0.413176489455765,4271.289083657-0.0
0.199956080999982,5,1,0.489570299923352,0.414813963284031,4271.32510151-0.0
0.231942551999964,6,1,0.490727526060704,0.416799651667853,4271.357087981-0.0
0.263929382999777,6,1,0.492003772764662,0.421983209632487,4271.389074812-0.0
0.299977806999777,8,0.971296133248956,0.504989563244606,0.423181332938276,4271.425123236-0.0
0.331894358999307,9,1,0.548846871597075,0.424930868951927,4271.457039788-0.0
0.363953261999995,10,1,0.549569908257015,0.426702728594879,4271.489098691-0.0
0.39993813899946,11,1,0.55033367346917,0.430381405366866,4271.525083568-0.0
0.431913901999906,12,1,0.549776164252633,0.432941676193995,4271.557059331-0.0
0.463934125999913,12,1,0.55207856470484,0.4312092901651,4271.589079555-0.0
0.604778029999579,17,0.970930157289757,0.528377190516726,0.438573817279517,4271.729923459-0.0
0.645711602999654,18,0.955269993462503,0.526220796131939,0.437250687942672,4271.770857032-0.0
0.678029014999993,19,1,0.523118027276494,0.435543196358882,4271.803174444-0.0
0.699885108999297,20,1,0.520907626891785,0.434489400978256,4271.825030538-0.0
0.731961558999501,21,1,0.520170664801089,0.434758137633502,4271.857106988-0.0
0.763944925999567,22,1,0.519503556832357,0.434419809750407,4271.889090355-0.0
0.799930960999518,23,1,0.519374176625875,0.433841948519635,4271.92507639-0.0
0.831956915999399,24,1,0.518549862207772,0.433442313063726,4271.957102345-0.0
0.863949758999297,25,1,0.536402169854593,0.437993799530755,4271.989095188-0.0
0.906223073999172,26,1,0.535164273660883,0.437210607711005,4272.031368503-0.0
0.932084520999524,27,1,0.534338369238817,0.438309513187107,4272.05722995-0.0
0.9639415369993,28,1,0.534700646381785,0.437760555754306,4272.089086966-0.0
1.13190635299998,33,1,0.578540154930703,0.439879536181754,4272.257051782-0.0
1.1699404409992,34,0.902009142647253,0.575656722989881,0.437842270672522,4272.29508587-0.0
1.23189221599932,36,0.977828511006118,0.570633000989293,0.434308336051057,4272.357037645-0.0
1.29988781499924,38,1,0.476095786296224,0.432665396968444,4272.425033244-0.0
1.33384383099929,39,0.983978625627341,0.474816472219706,0.434582472315112,4272.45898926-0.0
1.36394491499959,39,1,0.473999604367444,0.435401457641145,4272.489090344-0.0
1.39996642999995,41,1,0.473403868843842,0.434258658172865,4272.525111859-0.0
1.43195979199936,42,1,0.472955392930008,0.434695351149529,4272.557105221-0.0
1.46395883899913,43,1,0.472924711562248,0.434494866832937,4272.589104268-0.0
1.49996386399926,44,1,0.475012219781829,0.433233613873965,4272.625109293-0.0
1.53193754799941,45,1,0.487053792059823,0.432208675200418,4272.657082977-0.0
1.56595443599963,46,0.991649083092583,0.486812389685118,0.432048163494656,4272.691099865-0.0
