time	x_norm	y_norm
0.086	0.637	0.377
0.086	0.635	0.370
0.086	0.572	0.359
0.086	0.572	0.354
0.138	0.579	0.369
0.160	0.583	0.378
0.214	0.587	0.372
0.246	0.586	0.369
0.246	0.582	0.382
0.314	0.542	0.363
0.346	0.412	0.356
0.382	0.408	0.354
0.414	0.404	0.363
0.446	0.406	0.372
0.446	0.399	0.368
0.614	0.464	0.385
0.646	0.470	0.383
0.682	0.480	0.379
0.714	0.487	0.377
0.746	0.489	0.377
0.782	0.491	0.377
0.814	0.491	0.375
0.846	0.493	0.374
0.882	0.441	0.385
0.914	0.444	0.383
0.946	0.446	0.385
0.982	0.445	0.383
1.146	0.319	0.390
1.182	0.326	0.385
1.246	0.340	0.376
1.314	0.618	0.372
1.346	0.622	0.379
1.346	0.625	0.381
1.414	0.627	0.381
1.446	0.628	0.382
1.482	0.627	0.382
1.514	0.621	0.379
1.546	0.585	0.377
1.582	0.586	0.374
1.614	0.586	0.372
1.646	0.586	0.375
1.682	0.586	0.375
1.714	0.585	0.379
1.746	0.586	0.378
1.746	0.465	0.378
1.814	0.466	0.377
1.846	0.468	0.378
1.882	0.468	0.380
1.914	0.468	0.382
1.946	0.467	0.384
1.982	0.503	0.022
2.014	0.490	-0.142
2.014	0.491	-0.144
2.057	0.489	-0.141
2.114	0.520	0.070
2.146	0.531	0.352
2.182	0.532	0.359
2.214	0.532	0.369
2.246	0.530	0.372
2.246	0.530	0.377
2.314	0.531	0.378
2.346	0.531	0.376
2.382	0.532	0.378
2.414	0.530	0.375
2.446	0.531	0.376
2.446	0.529	0.379
2.514	0.530	0.377
2.546	0.530	0.374
2.582	0.532	0.377
2.614	0.531	0.376
2.646	0.532	0.377
2.682	0.532	0.377
2.714	0.542	0.379
2.746	0.612	0.388
2.782	0.614	0.391
2.814	0.613	0.389
2.846	0.613	0.393
2.882	0.612	0.392
2.914	0.613	0.391
2.946	0.613	0.389
2.982	0.577	0.383
3.014	0.527	0.384
3.054	0.527	0.384
3.054	0.527	0.386
3.114	0.526	0.388
3.146	0.526	0.388
3.182	0.495	0.387
3.214	0.427	0.394
3.246	0.427	0.397
3.246	0.427	0.396
3.314	0.428	0.399
3.346	0.429	0.400
3.382	0.429	0.401
3.414	0.428	0.399
3.446	0.297	0.395
3.482	0.299	0.394
3.514	0.301	0.402
3.546	0.303	0.404
3.614	0.615	0.347
3.646	0.617	0.350
3.682	0.623	0.354
3.714	0.624	0.357
3.746	0.625	0.362
3.746	0.625	0.359
3.814	0.624	0.360
3.846	0.623	0.363
3.882	0.589	0.353
3.914	0.486	0.345
3.946	0.487	0.346
3.982	0.484	0.347
4.014	0.486	0.349
4.014	0.486	0.347
4.052	0.484	0.346
4.114	0.484	0.349
4.146	0.485	0.345
4.178	0.481	0.346
4.214	0.440	0.350
4.246	0.440	0.350
4.278	0.443	0.353
4.314	0.444	0.353
4.346	0.438	0.353
4.378	0.349	0.356
4.414	0.350	0.355
4.446	0.351	0.359
4.478	0.351	0.364
4.514	0.351	0.366
4.546	0.351	0.366
4.578	0.524	0.304
4.614	0.522	0.308
4.646	0.524	0.313
4.678	0.525	0.317
4.714	0.525	0.317
4.746	0.524	0.316
4.778	0.522	0.316
4.814	0.421	0.314
4.846	0.422	0.311
4.878	0.420	0.315
4.914	0.421	0.314
4.946	0.421	0.313
4.978	0.422	0.315
5.014	0.422	0.314
5.048	0.452	0.327
5.078	0.485	0.343
5.114	0.487	0.343
5.146	0.488	0.348
5.178	0.489	0.345
5.214	0.488	0.344
5.246	0.487	0.341
5.278	0.486	0.342
5.314	0.487	0.337
5.346	0.487	0.337
5.378	0.487	0.334
