id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.632	0.525	-0.008
1	0.668	0.200	0.463	-0.009
2	0.968	0.264	0.566	0.504
3	1.268	0.464	0.627	0.530
4	1.768	0.300	0.557	0.537
5	2.100	0.432	0.588	0.528
6	2.632	0.668	0.662	0.528
7	3.500	0.268	0.549	0.508
8	4.000	2.000	0.508	0.013
9	6.168	0.364	0.542	0.025
10	6.568	0.264	0.567	0.023
11	6.900	0.232	0.938	-0.116
12	7.200	0.332	0.496	0.003
13	7.568	0.332	0.449	0.010
14	7.932	0.700	0.555	0.007
15	8.668	0.232	0.483	0.057
16	8.932	0.636	0.556	0.027
17	9.800	0.268	1.171	-0.131
18	10.132	0.200	0.690	0.094
19	10.400	0.332	0.567	0.491
20	10.768	0.900	0.500	0.529
21	11.732	0.500	0.524	0.032
22	12.400	0.432	0.505	0.010
23	13.032	0.800	1.054	-0.259
24	13.900	0.168	0.649	0.339
25	14.100	0.332	0.597	0.504
26	14.468	0.332	0.533	0.515
27	14.868	0.564	0.514	0.021
28	15.468	0.164	0.449	0.045
29	15.700	0.264	0.491	0.009
30	16.000	0.432	0.444	0.005
31	16.500	0.632	0.487	0.517
32	17.500	0.500	0.629	0.552
33	18.032	0.168	0.665	0.538
34	18.300	0.700	0.509	0.015
35	19.032	0.232	0.455	-0.008
36	19.300	1.364	0.521	0.005
37	20.832	0.300	0.533	0.508
38	21.164	0.468	0.543	0.533
39	21.732	0.368	1.019	-0.138
40	22.164	0.368	0.640	0.229
41	22.600	0.532	0.600	0.504
42	23.200	0.632	0.503	0.532
43	23.900	0.564	0.510	0.024
44	24.500	0.332	0.446	0.001
45	24.864	1.400	0.521	0.001
46	26.364	0.768	0.498	0.489
47	27.400	0.200	0.540	0.496
48	27.632	0.268	0.445	0.491
49	28.264	0.168	0.510	0.476
50	28.464	0.268	0.457	0.474
51	28.764	0.268	0.375	0.452
52	29.064	0.300	0.488	0.433
53	29.632	0.200	0.341	0.456
54	29.900	0.232	0.532	-0.012
55	30.164	0.200	0.452	0.001
56	30.432	0.232	0.513	0.422
57	30.700	0.500	0.450	0.452
58	31.264	0.200	0.320	0.451
59	31.500	0.664	0.509	0.027
60	32.232	0.468	0.587	0.485
61	33.200	0.332	0.291	0.502
62	33.600	0.200	0.622	0.465
63	33.864	0.168	0.556	0.470
64	34.064	0.336	0.461	0.468
65	34.432	0.632	0.359	0.453
66	35.100	0.200	0.465	0.467
67	35.364	0.400	0.522	-0.023
68	35.800	0.300	0.463	-0.009
69	36.132	0.900	0.506	0.003
70	37.064	0.168	0.459	0.011
71	37.264	0.600	0.557	0.481
72	37.900	0.164	0.638	0.500
73	38.100	0.164	0.560	0.508
74	38.300	0.364	0.449	0.532
75	38.700	0.232	0.484	0.518
76	38.964	0.168	0.377	0.508
77	39.200	0.164	0.324	0.503
78	39.464	0.168	0.645	0.472
79	39.664	0.536	0.555	0.474
80	40.264	0.236	0.471	0.472
81	40.532	0.368	0.352	0.460
82	40.964	0.268	0.494	0.431
83	41.300	0.300	0.512	-0.000
84	41.632	0.632	0.446	0.005
85	42.632	0.400	0.462	0.502
86	43.200	0.632	0.482	0.518
87	43.864	0.200	0.490	0.512
88	44.100	0.564	0.538	0.518
89	44.832	0.164	1.046	-0.209
90	45.164	0.268	0.496	0.502
91	45.632	0.232	0.531	-0.285
92	45.932	0.264	0.077	-0.190
93	46.696	1.368	0.654	-0.374
94	48.164	0.400	0.554	0.482
95	48.697	0.367	0.504	0.520
96	49.096	0.636	0.487	0.529
97	49.764	1.568	0.512	0.531
98	51.532	0.164	0.530	-0.225
99	51.732	0.232	0.603	-0.344
100	52.032	0.264	0.718	-0.533
101	52.332	0.864	0.741	-0.651
102	53.332	0.300	0.880	-0.783
103	53.764	1.532	0.861	-0.895
104	57.598	0.733	0.608	0.565
105	58.364	0.200	0.614	0.564
106	58.632	0.264	0.472	0.521
107	58.932	0.264	0.596	0.540
108	60.096	0.636	0.537	0.518
109	60.764	2.332	0.536	0.517
110	63.264	0.268	0.573	0.499
111	63.564	0.168	0.628	0.491
112	63.796	0.468	0.666	0.503
113	64.332	6.100	0.350	0.511
114	70.564	1.100	0.333	0.550
115	71.832	1.132	0.344	0.529
116	72.996	2.132	0.358	0.545
117	75.164	0.200	0.310	0.557
118	75.396	0.400	0.343	0.542
119	76.264	1.732	0.687	0.513
120	78.028	2.468	0.712	0.523
121	80.564	0.364	0.488	0.516
122	80.996	2.232	0.690	0.502
123	83.296	0.368	0.641	0.507
124	83.764	1.164	0.614	0.528
125	85.028	0.236	0.421	0.528
126	85.296	0.300	0.468	0.505
127	85.628	2.600	0.337	0.523
128	88.296	2.700	0.690	0.516
129	91.264	0.164	0.600	0.545
130	91.496	3.332	0.306	0.498
131	95.028	0.600	0.357	0.503
132	95.664	1.232	0.366	0.507
133	97.028	0.336	0.589	0.527
134	97.396	0.568	0.616	0.538
135	98.096	2.000	0.700	0.545
136	100.164	0.264	0.611	0.535
137	100.496	0.332	0.677	0.562
138	101.028	0.236	0.719	0.589
139	101.328	0.300	0.388	0.511
140	101.960	0.236	0.638	0.569
141	102.228	0.168	0.662	0.560
142	102.460	0.436	0.376	0.493
143	102.960	2.436	0.326	0.536
144	105.460	0.336	0.311	0.537
145	105.828	0.200	0.339	0.527
146	106.160	0.200	0.641	0.528
147	106.828	0.532	0.703	0.548
148	107.428	1.300	0.376	0.503
149	108.796	1.964	0.631	0.512
150	110.796	0.300	0.588	0.484
151	111.128	1.100	0.632	0.497
152	112.260	0.336	0.670	0.502
153	112.828	3.400	0.682	0.507
154	116.296	0.364	0.658	0.494
155	116.696	0.364	0.656	0.508
156	117.096	1.600	0.703	0.504
157	118.760	2.336	0.358	0.495
158	121.160	0.168	0.440	0.501
159	121.360	0.700	0.667	0.504
160	122.096	1.664	0.675	0.508
161	124.128	0.532	0.677	0.502
162	124.896	0.232	0.396	0.516
163	125.160	2.800	0.341	0.538
164	128.096	0.432	0.807	0.429
165	128.560	0.336	0.952	-0.069
166	129.196	3.332	0.331	0.510
167	132.592	1.100	0.678	0.512
168	133.860	0.232	0.636	0.520
169	134.128	1.100	0.679	0.509
170	135.292	0.400	0.326	0.489
171	135.760	0.300	0.127	0.120
172	136.228	0.264	0.392	0.420
173	136.792	0.368	0.063	-0.137
174	137.360	0.232	0.582	0.407
175	137.628	0.300	0.613	0.412
176	137.992	0.300	0.569	0.451
177	138.360	0.368	0.353	0.507
178	138.792	0.900	0.650	0.551
179	139.760	0.532	0.708	0.603
180	140.328	0.300	0.412	0.538
181	140.860	0.232	0.574	0.575
182	141.128	0.564	0.619	0.611
183	141.760	2.000	0.642	0.595
184	143.863	0.197	1.000	-0.176
185	144.260	0.268	0.566	0.547
186	144.592	1.168	0.341	0.517
187	145.792	0.500	0.534	0.543
188	146.328	0.300	0.579	0.550
189	146.660	0.600	0.624	0.558
190	147.360	0.232	0.868	-0.067
191	147.660	0.568	0.670	0.405
192	148.292	0.968	0.370	0.454
193	149.292	1.500	0.324	0.507
194	150.860	0.232	0.411	0.508
195	151.160	0.832	0.650	0.527
196	152.028	0.464	0.704	0.537
197	152.860	0.700	0.324	0.516
198	153.592	2.236	0.337	0.553
199	155.860	0.168	0.281	0.578
200	156.060	0.568	0.335	0.571
201	156.792	0.200	0.565	0.528
202	157.028	1.100	0.606	0.549
203	158.192	0.200	0.443	-0.077
204	158.460	0.400	0.657	0.437
205	158.892	1.468	0.701	0.568
206	160.560	0.200	0.998	1.029
207	160.960	0.200	0.639	0.430
208	161.260	0.332	0.892	-0.126
209	161.660	1.100	0.675	0.411
210	162.824	1.436	0.362	0.487
211	164.460	1.000	0.345	0.507
212	165.624	0.268	0.621	0.508
213	165.924	1.568	0.653	0.507
214	167.624	2.636	0.335	0.489
215	170.392	0.268	0.653	0.522
216	170.724	0.268	0.707	0.546
217	171.024	0.300	0.642	0.536
218	171.360	0.700	0.673	0.536
219	172.260	1.464	0.342	0.508
220	173.792	0.900	0.661	0.508
221	175.092	0.532	0.300	0.494
222	175.660	2.564	0.321	0.511
223	178.592	0.800	0.674	0.487
224	179.592	1.568	0.641	0.496
225	181.460	0.200	0.623	0.515
226	181.692	1.768	0.339	0.489
227	183.524	1.336	0.680	0.501
228	184.892	0.400	0.608	0.512
229	185.524	0.236	0.266	0.503
230	185.792	0.400	0.306	0.481
231	186.224	1.932	0.350	0.456
232	188.292	0.364	0.618	0.457
233	188.692	0.200	0.581	0.500
234	188.924	0.468	0.661	0.490
235	189.424	0.700	0.674	0.482
236	190.356	0.300	0.618	0.544
237	190.824	1.900	0.300	0.478
238	192.792	0.200	0.284	0.518
239	193.056	0.400	0.355	0.537
240	193.524	0.800	0.672	0.524
241	194.424	1.500	0.695	0.442
242	196.192	1.700	0.330	0.510
243	198.424	0.168	0.115	0.633
244	198.756	0.236	0.278	0.454
245	199.292	0.364	0.299	0.432
246	199.724	0.800	0.653	0.495
247	200.724	1.132	0.681	0.516
248	201.892	2.400	0.700	0.552
249	204.324	0.300	0.394	0.559
250	204.724	0.232	0.592	0.548
251	205.024	0.300	0.327	0.499
252	205.492	0.364	0.669	0.518
253	205.892	0.300	0.589	0.552
254	206.224	0.800	0.617	0.540
255	207.292	1.700	0.511	0.542
256	209.056	0.168	0.406	0.521
257	209.256	1.700	0.345	0.521
258	210.992	0.400	0.638	0.519
259	211.424	1.268	0.674	0.526
260	212.824	0.432	0.659	0.528
261	213.292	0.300	0.636	0.540
262	213.624	0.332	0.623	0.536
263	214.156	0.500	0.366	0.503
264	214.756	2.068	0.653	0.505
265	216.856	0.200	0.606	0.494
266	217.088	2.600	0.638	0.465
267	220.124	0.632	0.646	0.451
268	220.956	0.700	0.356	0.486
269	221.688	0.868	0.297	0.473
270	222.656	0.332	0.689	0.475
271	223.224	0.400	0.659	0.486
272	223.688	0.500	0.344	0.519
273	224.256	0.168	0.280	0.520
274	224.456	0.200	0.328	0.494
275	224.788	0.200	0.559	-0.241
276	225.124	0.232	0.669	-0.443
277	225.556	0.168	0.654	0.432
278	225.856	0.500	0.513	-0.270
279	226.524	0.232	0.566	-0.303
280	226.888	0.300	0.442	0.454
281	227.288	0.600	0.675	0.523
282	227.924	0.800	0.700	0.591
283	228.788	0.168	0.486	0.552
284	228.988	0.636	0.685	0.571
285	229.856	0.332	1.031	1.108
286	230.488	0.268	0.628	0.529
287	230.788	0.436	0.607	0.498
288	231.324	0.264	0.348	0.492
289	231.656	0.200	0.569	-0.148
290	231.988	0.168	0.589	-0.265
291	232.356	0.400	0.536	0.506
292	232.924	0.464	0.321	0.513
293	233.688	1.936	0.677	0.533
294	235.656	0.368	0.632	0.501
295	236.056	0.332	0.668	0.490
296	236.556	0.332	0.655	0.523
297	236.988	1.168	0.687	0.547
298	238.224	1.400	0.329	0.520
299	239.656	0.468	0.192	0.289
300	240.156	1.200	0.313	0.448
301	241.388	0.536	0.335	0.483
302	242.124	0.364	0.426	0.488
