time	event_type	event	left	right	bottom	top
-3.332014533	stimulus	1a	0.283	0.384	0.412	0.582
0.667985467	stimulus	1b	0.616	0.718	0.412	0.582
7.667985467	stimulus	2a	0.283	0.384	0.412	0.582
11.667985467	stimulus	2b	0.616	0.718	0.412	0.582
18.667985467	stimulus	1a	0.283	0.384	0.412	0.582
26.667985467	stimulus	1b	0.616	0.718	0.412	0.582
32.667985467	stimulus	2a	0.283	0.384	0.412	0.582
42.667985467	stimulus	2b	0.616	0.718	0.412	0.582
47.667985467	stimulus	1a	0.283	0.384	0.412	0.582
53.667985467	stimulus	1b	0.616	0.718	0.412	0.582
62.667985467	stimulus	2a	0.283	0.384	0.412	0.582
70.667985467	stimulus	2b	0.616	0.718	0.412	0.582
74.667985467	stimulus	1a	0.283	0.384	0.412	0.582
81.667985467	stimulus	1b	0.616	0.718	0.412	0.582
91.667985467	stimulus	2a	0.283	0.384	0.412	0.582
99.667985467	stimulus	2b	0.616	0.718	0.412	0.582
108.667985467	stimulus	1a	0.283	0.384	0.412	0.582
121.667985467	stimulus	1b	0.616	0.718	0.412	0.582
128.667985467	stimulus	2a	0.283	0.384	0.412	0.582
134.667985467	stimulus	2b	0.616	0.718	0.412	0.582
145.667985467	stimulus	1a	0.283	0.384	0.412	0.582
151.667985467	stimulus	1b	0.616	0.718	0.412	0.582
162.667985467	stimulus	2a	0.283	0.384	0.412	0.582
168.667985467	stimulus	2b	0.616	0.718	0.412	0.582
173.667985467	stimulus	1a	0.283	0.384	0.412	0.582
181.667985467	stimulus	1b	0.616	0.718	0.412	0.582
185.667985467	stimulus	2a	0.283	0.384	0.412	0.582
194.667985467	stimulus	2b	0.616	0.718	0.412	0.582
201.667985467	stimulus	1a	0.283	0.384	0.412	0.582
211.667985467	stimulus	1b	0.616	0.718	0.412	0.582
217.667985467	stimulus	2a	0.283	0.384	0.412	0.582
229.667985467	stimulus	2b	0.616	0.718	0.412	0.582
236.667985467	stimulus	1a	0.283	0.384	0.412	0.582
243.667985467	stimulus	1b	0.616	0.718	0.412	0.582
247.667985467	stimulus	2a	0.283	0.384	0.412	0.582
256.667985467	stimulus	2b	0.616	0.718	0.412	0.582
264.667985467	stimulus	1a	0.283	0.384	0.412	0.582
272.667985467	stimulus	1b	0.616	0.718	0.412	0.582
277.667985467	stimulus	2a	0.283	0.384	0.412	0.582
285.667985467	stimulus	2b	0.616	0.718	0.412	0.582
291.667985467	stimulus	1a	0.283	0.384	0.412	0.582
296.667985467	stimulus	1b	0.616	0.718	0.412	0.582
-3.332014533	virtual	S	NA	NA	NA	NA
-0.399941943	response	R	NA	NA	NA	NA
1.632051397	response	R	NA	NA	NA	NA
3.768018957	response	R	NA	NA	NA	NA
6.367971157	response	R	NA	NA	NA	NA
7.332007197	response	R	NA	NA	NA	NA
8.700026427	response	R	NA	NA	NA	NA
11.468061757	response	R	NA	NA	NA	NA
16.099999697	response	R	NA	NA	NA	NA
19.468028467	response	R	NA	NA	NA	NA
23.932029807	response	R	NA	NA	NA	NA
26.364059267	response	R	NA	NA	NA	NA
28.564027817	response	R	NA	NA	NA	NA
31.500018737	response	R	NA	NA	NA	NA
33.432086677	response	R	NA	NA	NA	NA
36.032059317	response	R	NA	NA	NA	NA
39.864016017	response	R	NA	NA	NA	NA
41.600043357	response	R	NA	NA	NA	NA
43.400054217	response	R	NA	NA	NA	NA
47.500047647	response	R	NA	NA	NA	NA
49.100090257	response	R	NA	NA	NA	NA
53.364051197	response	R	NA	NA	NA	NA
55.832097777	response	R	NA	NA	NA	NA
58.596011667	response	R	NA	NA	NA	NA
61.064101317	response	R	NA	NA	NA	NA
63.396043417	response	R	NA	NA	NA	NA
65.532093987	response	R	NA	NA	NA	NA
68.032101107	response	R	NA	NA	NA	NA
70.196067327	response	R	NA	NA	NA	NA
71.496113077	response	R	NA	NA	NA	NA
73.596096867	response	R	NA	NA	NA	NA
75.332116567	response	R	NA	NA	NA	NA
82.396109327	response	R	NA	NA	NA	NA
92.296107397	response	R	NA	NA	NA	NA
94.128109687	response	R	NA	NA	NA	NA
95.728111757	response	R	NA	NA	NA	NA
98.028105037	response	R	NA	NA	NA	NA
100.164101057	response	R	NA	NA	NA	NA
101.496111077	response	R	NA	NA	NA	NA
104.096149537	response	R	NA	NA	NA	NA
106.196109747	response	R	NA	NA	NA	NA
109.664103787	response	R	NA	NA	NA	NA
114.460113297	response	R	NA	NA	NA	NA
116.760117917	response	R	NA	NA	NA	NA
118.828064017	response	R	NA	NA	NA	NA
