time	x_norm	y_norm
0.000	0.571	0.679
0.064	0.545	0.618
0.100	0.542	0.604
0.132	0.535	0.598
0.164	0.532	0.595
0.232	0.518	0.566
0.264	0.518	0.557
0.300	0.516	0.558
0.332	0.513	0.551
0.364	0.511	0.549
0.400	0.479	0.546
0.432	0.477	0.539
0.464	0.475	0.538
0.500	0.472	0.541
0.532	0.471	0.545
0.564	0.472	0.549
0.600	0.472	0.542
0.632	0.474	0.537
0.664	0.474	0.535
0.700	0.476	0.538
0.732	0.476	0.538
0.764	0.476	0.537
0.800	0.476	0.536
0.832	0.477	0.537
0.864	0.478	0.537
0.900	0.480	0.533
0.932	0.481	0.533
0.964	0.481	0.532
1.000	0.480	0.537
1.032	0.479	0.539
1.064	0.481	0.539
1.100	0.483	0.542
1.132	0.483	0.544
1.164	0.480	0.547
1.200	0.478	0.546
1.232	0.477	0.548
1.264	0.479	0.542
1.300	0.480	0.537
1.332	0.479	0.537
1.364	0.479	0.536
1.400	0.479	0.538
1.432	0.480	0.538
1.464	0.481	0.537
1.500	0.482	0.534
1.532	0.482	0.533
1.564	0.483	0.528
1.600	0.490	0.522
1.632	0.539	0.510
1.664	0.541	0.507
1.700	0.540	0.509
1.732	0.541	0.506
1.764	0.542	0.506
1.800	0.541	0.507
1.832	0.540	0.508
1.864	0.542	0.507
1.964	0.624	0.501
2.000	0.623	0.504
2.032	0.623	0.505
2.064	0.625	0.506
2.100	0.625	0.504
2.132	0.626	0.505
2.164	0.626	0.502
2.200	0.625	0.506
2.232	0.624	0.506
2.264	0.625	0.507
2.300	0.626	0.507
2.332	0.627	0.504
2.364	0.568	0.515
2.432	0.554	0.511
2.464	0.552	0.513
2.500	0.551	0.516
2.532	0.551	0.517
2.564	0.551	0.516
2.600	0.551	0.515
2.632	0.532	0.517
2.664	0.478	0.516
2.700	0.475	0.507
2.732	0.473	0.511
2.764	0.472	0.511
2.800	0.473	0.512
2.832	0.473	0.511
2.864	0.472	0.513
2.900	0.344	0.506
2.932	0.346	0.499
2.964	0.345	0.499
3.000	0.346	0.499
3.032	0.346	0.497
3.064	0.345	0.499
3.100	0.342	0.500
3.132	0.340	0.502
3.164	0.341	0.505
3.200	0.341	0.503
3.232	0.339	0.504
3.264	0.338	0.506
3.300	0.336	0.507
3.332	0.335	0.508
3.364	0.335	0.510
3.400	0.335	0.509
3.432	0.334	0.512
3.464	0.333	0.513
3.532	0.671	0.499
3.564	0.675	0.497
3.600	0.673	0.502
3.632	0.673	0.504
3.664	0.671	0.506
3.700	0.671	0.504
3.732	0.672	0.507
3.764	0.671	0.507
3.800	0.673	0.508
3.832	0.672	0.508
3.864	0.671	0.505
3.900	0.671	0.507
3.932	0.672	0.504
3.964	0.670	0.507
4.000	0.667	0.511
4.032	0.667	0.511
4.064	0.667	0.513
4.100	0.667	0.512
4.132	0.666	0.510
4.164	0.664	0.508
4.200	0.664	0.510
4.232	0.664	0.510
4.264	0.664	0.510
4.300	0.665	0.510
4.332	0.658	0.510
4.364	0.558	0.517
4.400	0.551	0.515
4.432	0.547	0.516
4.464	0.545	0.518
4.500	0.545	0.520
4.532	0.547	0.519
4.564	0.548	0.520
4.600	0.549	0.519
4.632	0.549	0.520
4.664	0.550	0.520
4.700	0.648	0.516
4.764	0.661	0.507
4.800	0.662	0.502
4.832	0.660	0.503
4.864	0.659	0.505
4.900	0.661	0.507
4.932	0.661	0.505
4.964	0.659	0.503
5.000	0.658	0.502
5.032	0.658	0.502
5.064	0.658	0.502
5.100	0.660	0.505
5.132	0.659	0.506
5.164	0.659	0.508
5.200	0.658	0.508
5.232	0.658	0.507
5.264	0.674	0.546
5.300	0.683	0.725
5.464	0.565	0.617
5.500	0.555	0.535
5.564	0.544	0.513
5.600	0.539	0.505
5.632	0.512	0.511
5.664	0.333	0.558
5.700	0.327	0.555
5.732	0.321	0.555
5.764	0.316	0.564
5.800	0.313	0.573
5.832	0.312	0.584
5.864	0.314	0.589
5.900	0.317	0.593
5.932	0.314	0.596
5.964	0.314	0.600
6.000	0.318	0.602
6.032	0.320	0.600
6.064	0.322	0.597
6.100	0.321	0.594
6.132	0.340	0.587
6.164	0.407	0.563
6.200	0.408	0.563
6.232	0.405	0.557
6.264	0.399	0.557
6.300	0.398	0.560
6.332	0.399	0.551
6.364	0.400	0.548
6.400	0.399	0.547
6.432	0.398	0.548
6.464	0.402	0.550
6.500	0.405	0.552
6.532	0.412	0.550
6.564	0.412	0.545
6.600	0.413	0.541
6.632	0.413	0.542
6.664	0.413	0.543
6.700	0.410	0.538
6.732	0.408	0.540
6.764	0.404	0.535
6.800	0.404	0.534
6.832	0.405	0.534
6.864	0.409	0.534
6.900	0.410	0.533
6.932	0.413	0.531
6.964	0.414	0.530
7.000	0.406	0.527
7.032	0.387	0.515
7.064	0.386	0.511
7.100	0.385	0.514
7.132	0.385	0.517
7.164	0.387	0.512
7.200	0.386	0.507
7.232	0.382	0.504
7.264	0.377	0.502
7.300	0.375	0.502
7.332	0.374	0.503
7.364	0.372	0.500
7.400	0.370	0.501
7.432	0.368	0.498
7.464	0.368	0.498
7.500	0.369	0.496
7.532	0.376	0.496
7.564	0.378	0.497
7.600	0.379	0.497
7.664	0.438	0.531
7.700	0.440	0.527
7.732	0.439	0.527
7.764	0.438	0.530
7.800	0.437	0.528
7.832	0.438	0.528
7.864	0.437	0.528
7.900	0.436	0.527
7.932	0.436	0.526
7.964	0.435	0.521
8.000	0.435	0.522
8.032	0.434	0.521
8.064	0.436	0.521
8.100	0.437	0.520
8.132	0.438	0.522
8.164	0.436	0.520
8.200	0.433	0.522
8.232	0.432	0.523
8.264	0.433	0.523
8.300	0.435	0.519
8.332	0.436	0.518
