time	x_norm	y_norm
0.000	0.521	0.624
0.036	0.521	0.626
0.068	0.521	0.627
0.100	0.521	0.632
0.136	0.521	0.636
0.168	0.494	0.625
0.200	0.405	0.619
0.236	0.406	0.621
0.268	0.405	0.622
0.300	0.404	0.621
0.336	0.404	0.624
0.368	0.401	0.623
0.400	0.485	0.615
0.436	0.538	0.605
0.473	0.540	0.605
0.500	0.540	0.609
0.536	0.540	0.613
0.568	0.538	0.611
0.600	0.539	0.611
0.636	0.540	0.611
0.668	0.541	0.611
0.700	0.542	0.612
0.736	0.543	0.613
0.768	0.542	0.616
0.800	0.543	0.618
0.836	0.542	0.618
0.868	0.543	0.623
0.900	0.539	0.621
0.936	0.538	0.622
0.968	0.536	0.625
1.000	0.535	0.624
1.036	0.531	0.627
1.068	0.497	0.620
1.100	0.461	0.652
1.200	0.486	0.619
1.268	0.520	0.597
1.368	0.542	0.589
1.400	0.571	0.608
1.436	0.573	0.601
1.468	0.575	0.600
1.500	0.578	0.600
1.536	0.580	0.601
1.568	0.581	0.605
1.600	0.581	0.609
1.636	0.583	0.610
1.668	0.584	0.613
1.700	0.586	0.617
1.736	0.586	0.615
1.768	0.586	0.615
1.800	0.586	0.616
1.836	0.586	0.618
1.868	0.586	0.614
1.900	0.585	0.616
1.936	0.590	0.622
1.968	0.594	0.623
2.000	0.594	0.625
2.036	0.594	0.623
2.068	0.593	0.621
2.100	0.594	0.620
2.136	0.594	0.623
2.168	0.594	0.621
2.200	0.594	0.623
2.236	0.594	0.623
2.268	0.595	0.624
2.300	0.595	0.625
2.336	0.595	0.627
2.368	0.597	0.626
2.400	0.596	0.626
2.436	0.598	0.626
2.468	0.597	0.624
2.500	0.597	0.622
2.536	0.566	0.614
2.568	0.508	0.622
2.636	0.503	0.622
2.668	0.505	0.624
2.700	0.506	0.624
2.736	0.507	0.627
2.768	0.508	0.628
2.800	0.507	0.630
2.836	0.506	0.630
2.868	0.506	0.631
2.900	0.509	0.630
2.936	0.508	0.628
2.968	0.507	0.627
3.000	0.507	0.627
3.036	0.506	0.625
3.068	0.504	0.624
3.100	0.505	0.625
3.136	0.505	0.624
3.168	0.507	0.625
3.200	0.506	0.622
3.236	0.504	0.619
3.268	0.503	0.620
3.300	0.504	0.619
3.336	0.504	0.615
3.368	0.503	0.616
3.400	0.503	0.613
3.436	0.502	0.610
3.468	0.439	0.585
3.506	0.381	0.584
3.536	0.381	0.582
3.568	0.376	0.580
3.600	0.377	0.582
3.636	0.377	0.584
3.668	0.377	0.583
3.700	0.377	0.584
3.736	0.378	0.584
3.768	0.378	0.587
3.800	0.332	0.582
3.836	0.336	0.587
3.868	0.336	0.587
3.900	0.335	0.587
3.936	0.334	0.590
3.968	0.333	0.591
4.000	0.334	0.594
4.036	0.334	0.594
4.103	0.642	0.566
4.136	0.645	0.566
4.168	0.647	0.571
4.200	0.648	0.572
4.236	0.648	0.573
4.268	0.648	0.576
4.300	0.649	0.577
4.336	0.651	0.577
4.368	0.652	0.579
4.400	0.652	0.579
4.436	0.651	0.580
4.468	0.479	0.575
4.501	0.361	0.583
4.536	0.360	0.581
4.568	0.359	0.587
4.600	0.361	0.590
4.636	0.360	0.592
4.668	0.361	0.595
4.700	0.360	0.597
4.736	0.361	0.599
4.768	0.360	0.600
4.800	0.363	0.613
5.036	0.279	0.656
5.068	0.295	0.629
