id	start_time	duration	norm_pos_x	norm_pos_y
176	111.992	0.300	0.277	0.731
177	112.492	0.168	0.383	0.745
178	112.692	1.036	0.266	0.744
179	113.828	0.300	0.470	0.686
180	114.160	0.768	0.256	0.738
181	115.060	0.200	0.547	0.697
182	115.292	0.900	0.601	0.676
183	116.228	0.632	0.286	0.704
184	116.892	0.600	0.269	0.711
185	117.528	0.300	0.360	0.703
186	117.860	0.700	0.265	0.724
187	118.692	0.568	0.263	0.775
188	119.328	0.400	0.463	0.730
189	119.760	0.768	0.283	0.757
190	120.760	0.300	0.341	0.765
191	121.092	0.536	0.271	0.746
192	121.660	0.500	0.222	0.752
193	122.192	0.300	0.275	0.715
194	122.660	0.368	0.318	0.752
195	123.092	0.268	0.525	0.707
196	123.428	0.600	0.293	0.720
197	124.060	0.500	0.366	0.704
198	124.592	0.536	0.256	0.713
199	125.228	0.764	0.294	0.725
200	126.060	1.200	0.583	0.673
201	127.592	0.300	0.538	0.744
202	128.024	0.800	0.313	0.727
203	128.892	0.200	0.447	0.713
204	129.292	0.732	0.331	0.758
205	130.060	0.732	0.272	0.736
206	130.824	0.568	0.491	0.715
207	131.424	0.368	0.278	0.727
208	131.824	0.400	0.575	0.668
209	132.292	0.300	0.318	0.713
210	132.624	0.300	0.572	0.679
211	132.992	0.732	0.285	0.707
212	133.760	0.264	0.333	0.716
213	134.060	0.764	0.277	0.740
214	134.860	0.932	0.263	0.749
215	135.824	0.468	0.472	0.718
216	136.392	0.800	0.333	0.738
217	137.224	0.468	0.269	0.733
218	137.724	1.336	0.259	0.758
219	139.092	2.868	0.258	0.738
220	142.192	4.568	0.595	0.683
221	146.824	3.936	0.265	0.736
222	150.824	0.336	0.515	0.711
223	151.192	1.468	0.589	0.712
224	152.860	0.532	0.422	0.723
225	153.860	0.996	0.257	0.747
226	154.892	0.164	0.299	0.743
227	155.092	1.432	0.275	0.734
228	156.556	0.436	0.552	0.681
229	157.024	0.900	0.300	0.716
230	157.956	0.336	0.350	0.709
231	158.324	0.332	0.277	0.718
232	158.724	0.268	0.420	0.714
233	159.056	0.936	0.583	0.701
234	160.192	2.364	0.608	0.708
235	162.824	1.832	0.601	0.727
236	164.692	0.364	0.495	0.723
237	165.124	2.800	0.271	0.732
238	168.092	0.864	0.285	0.761
239	168.992	0.200	0.358	0.719
240	169.356	0.600	0.316	0.754
241	169.992	0.364	0.264	0.746
242	170.392	0.532	0.353	0.726
243	170.956	0.236	0.274	0.760
244	171.356	0.900	0.318	0.735
245	172.292	0.164	0.359	0.712
246	172.492	0.232	0.420	0.715
247	172.792	0.232	0.568	0.704
248	173.056	1.368	0.615	0.703
249	174.524	0.700	0.617	0.744
