time	event_type	event	left	right	bottom	top
35.732	stimulus	1a	0.283	0.384	0.412	0.582
42.732	stimulus	1b	0.616	0.718	0.412	0.582
46.732	stimulus	2a	0.283	0.384	0.412	0.582
52.732	stimulus	2b	0.616	0.718	0.412	0.582
59.732	stimulus	1a	0.283	0.384	0.412	0.582
67.732	stimulus	1b	0.616	0.718	0.412	0.582
71.732	stimulus	2a	0.283	0.384	0.412	0.582
76.732	stimulus	2b	0.616	0.718	0.412	0.582
84.732	stimulus	1a	0.283	0.384	0.412	0.582
90.732	stimulus	1b	0.616	0.718	0.412	0.582
96.732	stimulus	2a	0.283	0.384	0.412	0.582
104.732	stimulus	2b	0.616	0.718	0.412	0.582
109.732	stimulus	1a	0.283	0.384	0.412	0.582
114.732	stimulus	1b	0.616	0.718	0.412	0.582
120.732	stimulus	2a	0.283	0.384	0.412	0.582
125.732	stimulus	2b	0.616	0.718	0.412	0.582
133.732	stimulus	1a	0.283	0.384	0.412	0.582
141.732	stimulus	1b	0.616	0.718	0.412	0.582
146.732	stimulus	2a	0.283	0.384	0.412	0.582
158.732	stimulus	2b	0.616	0.718	0.412	0.582
165.732	stimulus	1a	0.283	0.384	0.412	0.582
175.732	stimulus	1b	0.616	0.718	0.412	0.582
180.732	stimulus	2a	0.283	0.384	0.412	0.582
190.732	stimulus	2b	0.616	0.718	0.412	0.582
195.732	stimulus	1a	0.283	0.384	0.412	0.582
202.732	stimulus	1b	0.616	0.718	0.412	0.582
208.732	stimulus	2a	0.283	0.384	0.412	0.582
213.732	stimulus	2b	0.616	0.718	0.412	0.582
221.732	stimulus	1a	0.283	0.384	0.412	0.582
228.732	stimulus	1b	0.616	0.718	0.412	0.582
238.732	stimulus	2a	0.283	0.384	0.412	0.582
245.732	stimulus	2b	0.616	0.718	0.412	0.582
250.732	stimulus	1a	0.283	0.384	0.412	0.582
256.732	stimulus	1b	0.616	0.718	0.412	0.582
263.732	stimulus	2a	0.283	0.384	0.412	0.582
270.732	stimulus	2b	0.616	0.718	0.412	0.582
279.732	stimulus	1a	0.283	0.384	0.412	0.582
285.732	stimulus	1b	0.616	0.718	0.412	0.582
296.732	stimulus	2a	0.283	0.384	0.412	0.582
302.732	stimulus	2b	0.616	0.718	0.412	0.582
307.732	stimulus	1a	0.283	0.384	0.412	0.582
314.732	stimulus	1b	0.616	0.718	0.412	0.582
318.732	stimulus	2a	0.283	0.384	0.412	0.582
323.732	stimulus	2b	0.616	0.718	0.412	0.582
330.732	stimulus	1a	0.283	0.384	0.412	0.582
335.732	stimulus	1b	0.616	0.718	0.412	0.582
35.732	virtual	S	NA	NA	NA	NA
40.396	response	R	NA	NA	NA	NA
48.064	response	R	NA	NA	NA	NA
54.228	response	R	NA	NA	NA	NA
63.564	response	R	NA	NA	NA	NA
68.828	response	R	NA	NA	NA	NA
74.428	response	R	NA	NA	NA	NA
77.660	response	R	NA	NA	NA	NA
87.628	response	R	NA	NA	NA	NA
92.296	response	R	NA	NA	NA	NA
95.496	response	R	NA	NA	NA	NA
98.660	response	R	NA	NA	NA	NA
102.192	response	R	NA	NA	NA	NA
105.660	response	R	NA	NA	NA	NA
111.092	response	R	NA	NA	NA	NA
114.360	response	R	NA	NA	NA	NA
115.728	response	R	NA	NA	NA	NA
122.028	response	R	NA	NA	NA	NA
124.360	response	R	NA	NA	NA	NA
126.660	response	R	NA	NA	NA	NA
130.260	response	R	NA	NA	NA	NA
134.560	response	R	NA	NA	NA	NA
138.024	response	R	NA	NA	NA	NA
144.024	response	R	NA	NA	NA	NA
147.424	response	R	NA	NA	NA	NA
159.492	response	R	NA	NA	NA	NA
166.556	response	R	NA	NA	NA	NA
170.724	response	R	NA	NA	NA	NA
176.756	response	R	NA	NA	NA	NA
181.392	response	R	NA	NA	NA	NA
189.624	response	R	NA	NA	NA	NA
191.356	response	R	NA	NA	NA	NA
196.524	response	R	NA	NA	NA	NA
199.424	response	R	NA	NA	NA	NA
203.388	response	R	NA	NA	NA	NA
206.856	response	R	NA	NA	NA	NA
209.356	response	R	NA	NA	NA	NA
214.456	response	R	NA	NA	NA	NA
217.956	response	R	NA	NA	NA	NA
222.656	response	R	NA	NA	NA	NA
229.088	response	R	NA	NA	NA	NA
234.988	response	R	NA	NA	NA	NA
239.288	response	R	NA	NA	NA	NA
246.452	response	R	NA	NA	NA	NA
251.420	response	R	NA	NA	NA	NA
257.452	response	R	NA	NA	NA	NA
262.620	response	R	NA	NA	NA	NA
271.220	response	R	NA	NA	NA	NA
276.220	response	R	NA	NA	NA	NA
280.420	response	R	NA	NA	NA	NA
286.352	response	R	NA	NA	NA	NA
292.184	response	R	NA	NA	NA	NA
297.852	response	R	NA	NA	NA	NA
303.352	response	R	NA	NA	NA	NA
308.252	response	R	NA	NA	NA	NA
313.184	response	R	NA	NA	NA	NA
315.452	response	R	NA	NA	NA	NA
319.384	response	R	NA	NA	NA	NA
324.316	response	R	NA	NA	NA	NA
328.584	response	R	NA	NA	NA	NA
331.348	response	R	NA	NA	NA	NA
335.748	virtual	E	NA	NA	NA	NA
