time	x_norm	y_norm
0.090	0.486	0.091
0.090	0.484	0.091
0.090	0.482	0.093
0.090	0.482	0.093
0.125	0.482	0.092
0.163	0.477	0.098
0.207	0.478	0.093
0.243	0.480	0.097
0.275	0.479	0.095
0.307	0.513	0.085
0.343	0.536	0.079
0.375	0.534	0.081
0.407	0.533	0.084
0.443	0.535	0.082
0.475	0.534	0.085
0.507	0.534	0.083
0.543	0.612	0.061
0.575	0.609	0.066
0.607	0.608	0.069
0.643	0.608	0.069
0.675	0.606	0.072
0.707	0.606	0.067
0.743	0.605	0.070
0.775	0.606	0.070
0.807	0.606	0.069
0.843	0.607	0.068
0.875	0.580	0.075
0.907	0.583	0.071
0.943	0.581	0.074
0.975	0.581	0.069
1.007	0.544	0.125
1.043	0.346	0.556
1.075	0.344	0.566
1.107	0.346	0.573
1.143	0.350	0.573
1.175	0.354	0.580
1.207	0.354	0.579
1.243	0.355	0.579
1.275	0.292	0.626
1.307	0.292	0.624
1.343	0.293	0.626
1.375	0.293	0.625
1.407	0.292	0.626
1.443	0.304	0.610
1.575	0.346	0.662
1.607	0.340	0.654
1.643	0.333	0.642
1.675	0.328	0.638
1.707	0.323	0.630
1.743	0.320	0.630
1.775	0.319	0.622
1.807	0.316	0.617
1.843	0.315	0.615
1.875	0.314	0.606
1.907	0.316	0.602
1.943	0.315	0.598
1.975	0.317	0.598
2.007	0.318	0.587
2.043	0.514	0.098
2.075	0.536	0.067
2.107	0.537	0.068
2.143	0.539	0.070
2.175	0.543	0.066
2.207	0.547	0.062
2.243	0.551	0.060
2.275	0.549	0.062
2.307	0.549	0.064
2.343	0.551	0.064
2.375	0.547	0.063
2.407	0.496	0.072
2.443	0.494	0.073
2.475	0.499	0.071
2.507	0.510	0.065
2.675	0.523	0.127
2.707	0.514	0.130
2.743	0.513	0.125
2.775	0.511	0.119
2.807	0.511	0.112
2.843	0.509	0.110
2.875	0.519	0.107
2.907	0.645	0.072
2.943	0.641	0.074
2.975	0.639	0.077
3.007	0.640	0.078
3.045	0.639	0.078
3.075	0.640	0.078
3.107	0.637	0.079
3.143	0.634	0.079
3.175	0.561	0.089
3.207	0.560	0.092
3.243	0.559	0.089
3.275	0.555	0.091
3.307	0.554	0.089
3.343	0.546	0.089
3.375	0.492	0.100
3.407	0.491	0.101
3.443	0.485	0.105
3.475	0.485	0.103
3.507	0.418	0.222
3.543	0.305	0.599
3.575	0.304	0.609
3.607	0.304	0.617
3.643	0.306	0.619
3.675	0.310	0.621
3.707	0.309	0.623
3.743	0.311	0.619
3.775	0.312	0.620
3.807	0.314	0.623
3.843	0.316	0.622
3.875	0.315	0.617
3.907	0.267	0.620
3.939	0.267	0.626
3.975	0.264	0.630
4.007	0.261	0.634
4.043	0.259	0.633
4.075	0.260	0.635
4.107	0.259	0.639
4.139	0.258	0.642
4.175	0.258	0.639
4.207	0.258	0.640
4.239	0.258	0.644
4.275	0.257	0.644
4.307	0.256	0.644
4.339	0.421	0.617
4.375	0.527	0.600
4.407	0.530	0.603
4.439	0.531	0.609
4.475	0.528	0.609
4.507	0.529	0.615
4.539	0.528	0.622
4.575	0.530	0.618
4.607	0.597	0.600
4.639	0.596	0.605
4.675	0.599	0.603
4.707	0.601	0.607
4.739	0.600	0.606
4.775	0.598	0.612
4.807	0.599	0.617
4.839	0.484	0.366
4.875	0.473	0.114
4.907	0.474	0.111
4.939	0.477	0.109
4.975	0.478	0.107
5.007	0.481	0.107
5.044	0.480	0.112
5.075	0.488	0.105
5.107	0.488	0.106
5.139	0.487	0.109
5.175	0.485	0.111
5.207	0.265	0.401
5.239	0.223	0.498
5.275	0.218	0.503
5.307	0.220	0.505
5.339	0.222	0.505
5.375	0.220	0.508
5.407	0.275	0.620
5.439	0.273	0.625
5.475	0.269	0.634
5.507	0.269	0.635
5.539	0.266	0.639
5.575	0.268	0.636
5.607	0.269	0.638
5.639	0.268	0.639
5.675	0.267	0.641
5.707	0.266	0.638
5.739	0.268	0.634
5.775	0.270	0.634
5.807	0.271	0.631
5.839	0.271	0.628
5.875	0.271	0.628
5.907	0.270	0.623
5.939	0.270	0.628
5.975	0.274	0.618
6.007	0.338	0.575
6.107	0.379	0.641
6.139	0.370	0.629
6.175	0.362	0.624
6.207	0.355	0.620
6.239	0.350	0.620
6.275	0.346	0.615
6.307	0.346	0.612
6.339	0.296	0.641
6.375	0.298	0.634
6.407	0.289	0.631
6.439	0.288	0.634
6.475	0.287	0.629
6.507	0.287	0.631
6.539	0.285	0.635
6.575	0.285	0.634
6.607	0.283	0.638
6.639	0.283	0.639
6.675	0.285	0.635
6.739	0.447	0.610
6.775	0.447	0.613
6.807	0.447	0.611
6.839	0.449	0.614
6.875	0.449	0.612
6.907	0.448	0.612
6.939	0.449	0.611
6.975	0.451	0.607
7.007	0.459	0.601
7.041	0.599	0.580
7.075	0.595	0.587
7.107	0.594	0.585
7.139	0.594	0.592
7.175	0.594	0.589
7.207	0.592	0.592
7.239	0.595	0.593
7.275	0.594	0.598
7.307	0.593	0.598
7.339	0.589	0.602
7.375	0.409	0.616
7.407	0.408	0.617
7.439	0.407	0.619
7.475	0.406	0.621
7.507	0.405	0.619
7.539	0.403	0.625
7.575	0.406	0.623
7.607	0.404	0.625
7.639	0.434	0.590
7.739	0.394	0.581
7.775	0.373	0.654
7.807	0.362	0.649
7.839	0.358	0.643
7.875	0.355	0.640
7.907	0.349	0.639
7.939	0.347	0.635
7.975	0.345	0.635
8.007	0.344	0.628
8.042	0.346	0.623
8.075	0.345	0.621
8.107	0.345	0.623
8.139	0.265	0.641
8.171	0.266	0.642
8.207	0.268	0.647
8.239	0.265	0.641
8.271	0.264	0.646
8.307	0.266	0.644
8.339	0.265	0.643
8.371	0.265	0.638
8.407	0.318	0.625
8.439	0.316	0.625
8.471	0.315	0.622
8.507	0.315	0.623
8.539	0.312	0.627
8.571	0.313	0.629
8.607	0.313	0.630
8.639	0.499	0.594
8.671	0.499	0.601
8.707	0.500	0.610
8.739	0.500	0.614
8.771	0.502	0.620
8.807	0.502	0.616
8.839	0.503	0.618
8.871	0.503	0.617
8.907	0.582	0.610
8.939	0.581	0.609
8.971	0.577	0.612
9.007	0.582	0.612
9.040	0.579	0.614
9.071	0.580	0.616
9.107	0.543	0.630
9.139	0.338	0.634
9.171	0.338	0.640
9.207	0.338	0.647
9.239	0.337	0.645
9.271	0.336	0.644
9.307	0.337	0.646
