id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.236	0.578	0.513
1	0.268	0.668	0.523	0.530
2	0.968	0.232	0.583	0.511
3	1.236	0.332	0.646	0.520
4	1.600	1.100	0.549	0.536
5	2.768	0.268	0.759	0.512
6	3.068	0.400	0.731	0.525
7	3.536	0.500	0.482	0.482
8	4.068	0.232	0.721	0.459
9	4.336	0.400	0.759	0.533
10	4.936	0.700	0.743	0.534
11	5.700	5.600	0.480	0.511
12	11.500	0.568	0.493	0.544
13	12.132	0.368	0.743	0.502
14	12.568	0.300	0.456	0.515
15	12.900	0.432	0.526	0.574
16	13.632	0.636	0.780	0.544
17	14.300	0.768	0.569	0.576
18	15.168	1.032	0.758	0.551
19	16.368	0.164	0.590	0.600
20	16.568	0.300	0.491	0.567
21	16.900	0.368	0.482	0.570
22	17.332	1.268	0.746	0.530
23	18.632	0.200	0.785	0.545
24	18.868	0.400	0.772	0.576
25	19.332	0.536	0.499	0.529
26	19.932	0.436	0.743	0.509
27	20.432	0.700	0.500	0.492
28	21.168	0.700	0.733	0.495
29	22.068	1.032	0.747	0.543
30	23.132	0.200	0.601	0.563
31	23.368	0.632	0.483	0.593
32	24.032	0.500	0.557	0.573
33	24.768	3.300	0.758	0.586
34	28.268	2.032	0.761	0.604
35	30.332	0.700	0.756	0.580
36	31.100	0.600	0.483	0.563
37	31.732	1.068	0.698	0.550
38	32.900	1.732	0.475	0.540
39	34.668	3.232	0.465	0.577
40	37.932	1.336	0.473	0.573
41	39.300	0.332	0.720	0.539
42	39.700	0.668	0.450	0.556
43	40.532	0.232	0.753	0.538
44	40.832	0.332	0.494	0.548
45	41.200	2.332	0.750	0.532
46	43.564	0.900	0.718	0.537
47	44.664	0.468	0.751	0.538
48	45.200	0.364	0.477	0.538
49	45.732	0.768	0.729	0.543
50	46.564	0.368	0.520	0.552
51	47.032	2.732	0.720	0.561
52	49.800	0.232	0.755	0.554
53	50.064	3.300	0.722	0.541
54	53.532	0.268	0.732	0.577
55	53.864	0.368	0.494	0.512
56	54.300	2.200	0.723	0.541
57	56.664	2.736	0.727	0.573
58	59.500	0.464	0.449	0.567
59	60.000	1.264	0.467	0.542
60	61.300	1.064	0.462	0.522
61	62.400	0.264	0.534	0.551
62	62.700	0.900	0.456	0.577
