time	x_norm	y_norm
0.011	0.627	0.605
0.011	0.627	0.608
0.056	0.629	0.611
0.111	0.628	0.612
0.147	0.628	0.617
0.179	0.624	0.610
0.211	0.627	0.609
0.247	0.622	0.607
0.279	0.625	0.605
0.311	0.622	0.606
0.347	0.621	0.600
0.379	0.622	0.598
0.411	0.620	0.596
0.447	0.547	0.585
0.479	0.535	0.561
0.647	0.533	0.649
0.679	0.538	0.646
0.711	0.542	0.642
0.747	0.551	0.640
0.779	0.557	0.634
0.811	0.557	0.630
0.847	0.559	0.627
0.879	0.559	0.624
0.911	0.558	0.624
0.947	0.556	0.622
0.979	0.539	0.582
1.147	0.542	0.656
1.211	0.557	0.644
1.247	0.564	0.641
1.279	0.568	0.632
1.311	0.569	0.626
1.347	0.571	0.621
1.379	0.572	0.615
1.411	0.573	0.609
1.447	0.574	0.603
1.479	0.575	0.602
1.511	0.574	0.601
1.547	0.577	0.600
1.579	0.575	0.600
1.611	0.574	0.593
1.647	0.577	0.597
1.679	0.577	0.594
1.711	0.576	0.594
1.747	0.578	0.595
1.779	0.579	0.595
1.811	0.578	0.595
1.847	0.579	0.593
1.879	0.578	0.588
1.911	0.577	0.587
1.947	0.578	0.586
1.979	0.578	0.578
2.016	0.624	0.591
2.047	0.622	0.584
2.079	0.621	0.579
2.111	0.624	0.584
2.147	0.623	0.586
2.179	0.623	0.584
2.211	0.622	0.586
2.247	0.621	0.582
2.279	0.620	0.583
2.311	0.621	0.586
2.347	0.621	0.586
2.379	0.620	0.582
2.411	0.619	0.582
2.447	0.573	0.573
2.479	0.576	0.577
2.511	0.575	0.580
2.547	0.575	0.575
2.579	0.574	0.577
2.611	0.572	0.573
2.647	0.574	0.572
2.679	0.575	0.570
2.711	0.574	0.570
2.747	0.576	0.572
2.779	0.595	0.574
2.811	0.623	0.575
2.847	0.624	0.575
2.879	0.622	0.573
2.911	0.623	0.572
2.947	0.623	0.574
2.979	0.593	0.515
3.111	0.555	0.614
3.143	0.570	0.602
3.179	0.574	0.602
3.211	0.585	0.603
3.243	0.588	0.597
3.279	0.592	0.598
3.311	0.592	0.589
3.343	0.592	0.586
3.379	0.592	0.585
3.411	0.596	0.587
3.443	0.589	0.578
3.479	0.482	0.578
3.511	0.483	0.575
3.543	0.484	0.580
3.579	0.490	0.587
3.611	0.490	0.584
3.643	0.489	0.587
3.679	0.491	0.585
3.711	0.493	0.584
3.743	0.495	0.588
3.779	0.501	0.588
3.811	0.562	0.596
3.843	0.562	0.598
3.879	0.565	0.603
3.911	0.568	0.605
3.943	0.568	0.606
3.979	0.566	0.611
4.014	0.565	0.606
4.043	0.566	0.606
4.079	0.565	0.602
4.111	0.600	0.604
4.179	0.617	0.611
4.211	0.620	0.610
4.243	0.619	0.601
4.279	0.618	0.598
4.311	0.618	0.599
4.343	0.616	0.595
4.379	0.617	0.591
4.411	0.617	0.587
4.443	0.615	0.586
4.479	0.615	0.583
4.511	0.612	0.581
4.543	0.613	0.583
4.579	0.614	0.584
4.611	0.611	0.574
4.643	0.612	0.577
4.679	0.610	0.572
4.711	0.608	0.574
4.743	0.607	0.569
4.779	0.607	0.567
4.811	0.610	0.569
4.843	0.416	0.514
4.879	0.405	0.523
4.943	0.404	0.530
4.979	0.405	0.536
5.011	0.404	0.537
5.043	0.434	0.503
5.143	0.642	0.593
5.211	0.667	0.593
5.279	0.675	0.599
5.311	0.674	0.588
5.343	0.675	0.591
5.379	0.678	0.590
5.411	0.675	0.591
5.443	0.674	0.587
5.479	0.675	0.586
5.511	0.673	0.579
5.543	0.622	0.531
5.679	0.626	0.635
5.711	0.634	0.637
5.743	0.644	0.638
5.779	0.651	0.626
5.811	0.659	0.626
5.843	0.666	0.632
5.879	0.665	0.623
5.911	0.668	0.625
5.943	0.668	0.621
5.979	0.665	0.612
6.021	0.662	0.603
6.043	0.666	0.604
6.079	0.666	0.604
6.111	0.666	0.601
6.143	0.668	0.602
6.179	0.666	0.595
6.211	0.666	0.598
6.243	0.657	0.592
6.411	0.630	0.643
6.579	0.665	0.626
6.611	0.664	0.614
6.643	0.664	0.614
6.679	0.640	0.577
6.843	0.655	0.644
6.879	0.659	0.645
6.911	0.667	0.645
6.979	0.679	0.630
7.013	0.683	0.621
7.043	0.685	0.613
7.079	0.687	0.613
7.111	0.687	0.605
7.143	0.686	0.607
7.179	0.683	0.601
7.211	0.687	0.604
7.243	0.687	0.605
7.275	0.687	0.606
7.311	0.686	0.607
7.343	0.684	0.601
7.411	0.667	0.588
7.443	0.664	0.582
7.475	0.664	0.583
7.511	0.663	0.582
7.543	0.663	0.581
7.575	0.664	0.585
7.611	0.665	0.584
7.643	0.666	0.584
7.675	0.666	0.583
7.711	0.666	0.586
7.743	0.668	0.581
7.775	0.668	0.581
7.811	0.667	0.591
7.843	0.667	0.585
7.875	0.665	0.589
7.911	0.668	0.588
7.943	0.667	0.581
7.975	0.669	0.584
8.011	0.666	0.589
8.043	0.666	0.587
8.075	0.668	0.579
8.111	0.659	0.577
8.143	0.360	0.492
8.175	0.359	0.500
8.211	0.357	0.507
8.243	0.358	0.509
8.275	0.355	0.520
8.311	0.357	0.527
8.343	0.356	0.532
8.375	0.357	0.535
8.411	0.355	0.536
8.443	0.356	0.539
8.475	0.357	0.537
8.511	0.356	0.536
8.543	0.356	0.535
8.575	0.356	0.534
8.611	0.358	0.537
8.643	0.357	0.540
8.675	0.356	0.535
8.711	0.355	0.535
8.743	0.356	0.528
8.775	0.357	0.530
8.811	0.356	0.529
8.843	0.356	0.531
8.875	0.357	0.529
8.911	0.357	0.521
8.943	0.356	0.516
8.975	0.497	0.558
9.011	0.550	0.563
9.043	0.553	0.562
9.075	0.554	0.566
9.111	0.556	0.573
9.143	0.557	0.575
9.175	0.554	0.570
9.243	0.648	0.592
9.275	0.651	0.596
9.311	0.652	0.594
9.343	0.653	0.597
9.375	0.651	0.598
9.411	0.651	0.597
9.443	0.652	0.601
9.475	0.650	0.603
9.511	0.650	0.594
9.543	0.676	0.598
9.575	0.678	0.601
9.611	0.678	0.602
9.643	0.684	0.602
9.675	0.684	0.598
9.711	0.686	0.603
9.743	0.688	0.599
9.775	0.691	0.602
9.811	0.691	0.606
9.843	0.688	0.601
9.875	0.690	0.596
9.911	0.689	0.602
9.943	0.688	0.602
9.975	0.688	0.601
10.011	0.688	0.598
10.043	0.689	0.602
10.075	0.686	0.595
10.111	0.686	0.596
10.143	0.686	0.592
10.175	0.687	0.590
10.211	0.684	0.593
10.243	0.681	0.587
10.275	0.682	0.587
10.311	0.682	0.585
10.343	0.681	0.582
10.375	0.680	0.571
10.411	0.681	0.564
10.443	0.680	0.555
10.475	0.684	0.558
10.511	0.682	0.564
10.543	0.681	0.556
10.575	0.679	0.557
10.611	0.680	0.560
10.643	0.679	0.562
10.675	0.680	0.567
10.711	0.679	0.569
10.743	0.677	0.568
10.775	0.677	0.568
10.811	0.675	0.564
10.843	0.668	0.558
10.875	0.346	0.457
10.911	0.343	0.456
10.943	0.343	0.463
10.975	0.345	0.461
11.011	0.342	0.463
11.043	0.344	0.468
11.075	0.345	0.474
11.111	0.347	0.473
11.143	0.348	0.481
11.175	0.351	0.484
11.211	0.350	0.486
11.243	0.353	0.494
11.275	0.353	0.498
11.311	0.354	0.500
11.343	0.355	0.502
11.375	0.354	0.504
11.411	0.352	0.502
11.443	0.354	0.509
11.475	0.354	0.508
11.507	0.352	0.508
11.543	0.355	0.511
11.575	0.355	0.513
11.607	0.353	0.509
11.643	0.353	0.511
11.675	0.352	0.509
11.707	0.354	0.512
11.743	0.354	0.507
11.775	0.354	0.508
11.807	0.358	0.509
11.843	0.355	0.506
11.875	0.354	0.504
11.907	0.354	0.501
11.943	0.332	0.499
11.975	0.333	0.504
12.007	0.337	0.507
12.043	0.337	0.507
12.075	0.336	0.507
12.107	0.332	0.502
12.143	0.289	0.445
12.275	0.310	0.557
12.307	0.314	0.557
12.343	0.319	0.552
12.375	0.322	0.547
12.407	0.325	0.542
12.443	0.320	0.535
12.475	0.289	0.436
12.643	0.309	0.578
12.675	0.313	0.576
12.707	0.320	0.572
12.743	0.324	0.572
12.775	0.327	0.568
12.807	0.328	0.561
12.843	0.330	0.560
12.875	0.329	0.555
12.907	0.328	0.555
12.943	0.329	0.552
12.975	0.330	0.557
13.010	0.334	0.559
13.043	0.336	0.560
13.075	0.338	0.560
13.107	0.334	0.555
13.143	0.335	0.562
13.175	0.339	0.559
13.207	0.339	0.559
13.243	0.340	0.555
13.275	0.340	0.558
13.307	0.341	0.559
13.343	0.343	0.557
13.375	0.342	0.558
13.407	0.343	0.560
13.443	0.343	0.563
13.475	0.344	0.560
13.507	0.344	0.561
13.543	0.339	0.559
13.575	0.341	0.561
13.607	0.341	0.564
13.643	0.341	0.563
13.675	0.342	0.560
13.707	0.344	0.564
13.743	0.346	0.565
13.775	0.348	0.568
13.807	0.347	0.567
13.843	0.347	0.564
13.875	0.348	0.562
13.907	0.347	0.565
13.943	0.347	0.567
13.975	0.346	0.575
14.007	0.345	0.570
14.043	0.346	0.573
14.075	0.343	0.568
14.107	0.344	0.567
14.143	0.346	0.568
14.175	0.347	0.568
14.207	0.350	0.568
14.243	0.347	0.566
14.275	0.347	0.565
14.307	0.341	0.561
14.343	0.346	0.562
14.375	0.351	0.558
14.407	0.353	0.555
14.443	0.353	0.557
14.475	0.354	0.556
14.507	0.353	0.553
14.543	0.354	0.560
14.575	0.353	0.557
14.607	0.354	0.557
14.643	0.355	0.558
14.675	0.355	0.556
14.707	0.356	0.561
14.743	0.355	0.561
14.775	0.356	0.563
14.807	0.356	0.562
14.843	0.356	0.559
14.875	0.357	0.561
14.907	0.356	0.561
14.943	0.356	0.562
14.975	0.357	0.563
15.007	0.356	0.559
15.043	0.356	0.557
15.075	0.354	0.555
15.107	0.354	0.555
15.143	0.352	0.550
15.175	0.352	0.551
15.207	0.350	0.549
15.243	0.344	0.548
15.275	0.347	0.552
15.307	0.349	0.552
15.343	0.345	0.554
15.375	0.346	0.550
15.407	0.348	0.550
15.443	0.346	0.549
15.475	0.346	0.554
15.507	0.348	0.554
15.543	0.346	0.556
15.575	0.348	0.556
15.607	0.347	0.558
15.643	0.347	0.559
15.675	0.348	0.561
15.707	0.347	0.560
15.739	0.345	0.559
15.775	0.348	0.561
15.807	0.346	0.563
15.839	0.345	0.560
15.875	0.346	0.562
15.907	0.347	0.559
15.939	0.344	0.556
15.975	0.347	0.559
16.007	0.347	0.553
16.039	0.348	0.558
16.075	0.347	0.557
16.107	0.348	0.558
16.139	0.349	0.560
16.175	0.347	0.557
16.207	0.347	0.554
16.239	0.350	0.553
16.275	0.349	0.556
16.307	0.346	0.556
16.339	0.346	0.555
16.375	0.347	0.553
16.407	0.346	0.552
16.439	0.343	0.549
16.475	0.348	0.554
16.507	0.348	0.553
16.539	0.348	0.554
16.575	0.348	0.552
16.607	0.350	0.554
16.639	0.349	0.554
16.675	0.349	0.555
16.707	0.348	0.553
