time	event_type	event	left	right	bottom	top
3.364049987	stimulus	1a	0.283	0.384	0.412	0.582
11.364049987	stimulus	1b	0.616	0.718	0.412	0.582
23.364049987	stimulus	2a	0.283	0.384	0.412	0.582
29.364049987	stimulus	2b	0.616	0.718	0.412	0.582
34.364049987	stimulus	1a	0.283	0.384	0.412	0.582
44.364049987	stimulus	1b	0.616	0.718	0.412	0.582
49.364049987	stimulus	2a	0.283	0.384	0.412	0.582
59.364049987	stimulus	2b	0.616	0.718	0.412	0.582
64.364049987	stimulus	1a	0.283	0.384	0.412	0.582
74.364049987	stimulus	1b	0.616	0.718	0.412	0.582
84.364049987	stimulus	2a	0.283	0.384	0.412	0.582
91.364049987	stimulus	2b	0.616	0.718	0.412	0.582
100.364049987	stimulus	1a	0.283	0.384	0.412	0.582
108.364049987	stimulus	1b	0.616	0.718	0.412	0.582
118.364049987	stimulus	2a	0.283	0.384	0.412	0.582
125.364049987	stimulus	2b	0.616	0.718	0.412	0.582
136.364049987	stimulus	1a	0.283	0.384	0.412	0.582
146.364049987	stimulus	1b	0.616	0.718	0.412	0.582
153.364049987	stimulus	2a	0.283	0.384	0.412	0.582
160.364049987	stimulus	2b	0.616	0.718	0.412	0.582
166.364049987	stimulus	1a	0.283	0.384	0.412	0.582
172.364049987	stimulus	1b	0.616	0.718	0.412	0.582
179.364049987	stimulus	2a	0.283	0.384	0.412	0.582
184.364049987	stimulus	2b	0.616	0.718	0.412	0.582
190.364049987	stimulus	1a	0.283	0.384	0.412	0.582
197.364049987	stimulus	1b	0.616	0.718	0.412	0.582
201.364049987	stimulus	2a	0.283	0.384	0.412	0.582
209.364049987	stimulus	2b	0.616	0.718	0.412	0.582
213.364049987	stimulus	1a	0.283	0.384	0.412	0.582
220.364049987	stimulus	1b	0.616	0.718	0.412	0.582
228.364049987	stimulus	2a	0.283	0.384	0.412	0.582
233.364049987	stimulus	2b	0.616	0.718	0.412	0.582
241.364049987	stimulus	1a	0.283	0.384	0.412	0.582
249.364049987	stimulus	1b	0.616	0.718	0.412	0.582
254.364049987	stimulus	2a	0.283	0.384	0.412	0.582
262.364049987	stimulus	2b	0.616	0.718	0.412	0.582
267.364049987	stimulus	1a	0.283	0.384	0.412	0.582
273.364049987	stimulus	1b	0.616	0.718	0.412	0.582
280.364049987	stimulus	2a	0.283	0.384	0.412	0.582
286.364049987	stimulus	2b	0.616	0.718	0.412	0.582
295.364049987	stimulus	1a	0.283	0.384	0.412	0.582
303.364049987	stimulus	1b	0.616	0.718	0.412	0.582
3.364049987	virtual	S	NA	NA	NA	NA
5.364020087	response	R	NA	NA	NA	NA
6.900000087	response	R	NA	NA	NA	NA
8.500039487	response	R	NA	NA	NA	NA
10.064057487	response	R	NA	NA	NA	NA
11.632026487	response	R	NA	NA	NA	NA
13.796029687	response	R	NA	NA	NA	NA
15.264005687	response	R	NA	NA	NA	NA
16.832006987	response	R	NA	NA	NA	NA
18.131993087	response	R	NA	NA	NA	NA
19.332014387	response	R	NA	NA	NA	NA
20.664014787	response	R	NA	NA	NA	NA
22.164023887	response	R	NA	NA	NA	NA
23.464012687	response	R	NA	NA	NA	NA
24.996027287	response	R	NA	NA	NA	NA
29.964085787	response	R	NA	NA	NA	NA
39.764041087	response	R	NA	NA	NA	NA
42.464086887	response	R	NA	NA	NA	NA
44.328020887	response	R	NA	NA	NA	NA
47.396079587	response	R	NA	NA	NA	NA
48.995973887	response	R	NA	NA	NA	NA
51.764024587	response	R	NA	NA	NA	NA
60.264087087	response	R	NA	NA	NA	NA
65.196090687	response	R	NA	NA	NA	NA
66.460098987	response	R	NA	NA	NA	NA
67.596092387	response	R	NA	NA	NA	NA
68.728052187	response	R	NA	NA	NA	NA
69.860099687	response	R	NA	NA	NA	NA
71.059950887	response	R	NA	NA	NA	NA
72.228097387	response	R	NA	NA	NA	NA
73.360094087	response	R	NA	NA	NA	NA
74.596097487	response	R	NA	NA	NA	NA
75.896096687	response	R	NA	NA	NA	NA
76.960113487	response	R	NA	NA	NA	NA
78.128097387	response	R	NA	NA	NA	NA
79.096096787	response	R	NA	NA	NA	NA
80.128087887	response	R	NA	NA	NA	NA
81.296067887	response	R	NA	NA	NA	NA
82.360112187	response	R	NA	NA	NA	NA
83.496094987	response	R	NA	NA	NA	NA
84.728102987	response	R	NA	NA	NA	NA
101.160036587	response	R	NA	NA	NA	NA
102.328083687	response	R	NA	NA	NA	NA
104.428075387	response	R	NA	NA	NA	NA
104.528081587	response	R	NA	NA	NA	NA
105.628070887	response	R	NA	NA	NA	NA
106.660081387	response	R	NA	NA	NA	NA
107.760083687	response	R	NA	NA	NA	NA
108.959999387	response	R	NA	NA	NA	NA
109.992087187	response	R	NA	NA	NA	NA
111.028059087	response	R	NA	NA	NA	NA
111.992041487	response	R	NA	NA	NA	NA
113.060048287	response	R	NA	NA	NA	NA
114.092101687	response	R	NA	NA	NA	NA
115.160056687	response	R	NA	NA	NA	NA
116.228057087	response	R	NA	NA	NA	NA
117.160073287	response	R	NA	NA	NA	NA
118.160064087	response	R	NA	NA	NA	NA
137.160087087	response	R	NA	NA	NA	NA
138.292078487	response	R	NA	NA	NA	NA
139.324095987	response	R	NA	NA	NA	NA
140.392099687	response	R	NA	NA	NA	NA
141.492088587	response	R	NA	NA	NA	NA
142.560087587	response	R	NA	NA	NA	NA
143.624093287	response	R	NA	NA	NA	NA
144.592088587	response	R	NA	NA	NA	NA
145.724094887	response	R	NA	NA	NA	NA
146.724073887	response	R	NA	NA	NA	NA
147.760109787	response	R	NA	NA	NA	NA
148.724102287	response	R	NA	NA	NA	NA
149.860143987	response	R	NA	NA	NA	NA
150.824097687	response	R	NA	NA	NA	NA
151.892065087	response	R	NA	NA	NA	NA
152.956093687	response	R	NA	NA	NA	NA
161.592098887	response	R	NA	NA	NA	NA
167.192094487	response	R	NA	NA	NA	NA
168.192093787	response	R	NA	NA	NA	NA
169.156153287	response	R	NA	NA	NA	NA
170.224139187	response	R	NA	NA	NA	NA
171.292140187	response	R	NA	NA	NA	NA
172.256108587	response	R	NA	NA	NA	NA
173.392151787	response	R	NA	NA	NA	NA
174.424110887	response	R	NA	NA	NA	NA
175.524100987	response	R	NA	NA	NA	NA
176.592144987	response	R	NA	NA	NA	NA
177.856090387	response	R	NA	NA	NA	NA
178.924144287	response	R	NA	NA	NA	NA
191.124147887	response	R	NA	NA	NA	NA
192.188095587	response	R	NA	NA	NA	NA
193.356145287	response	R	NA	NA	NA	NA
194.488145887	response	R	NA	NA	NA	NA
195.556152587	response	R	NA	NA	NA	NA
196.688156187	response	R	NA	NA	NA	NA
197.788109487	response	R	NA	NA	NA	NA
198.888158787	response	R	NA	NA	NA	NA
200.156162787	response	R	NA	NA	NA	NA
201.256115187	response	R	NA	NA	NA	NA
214.088174187	response	R	NA	NA	NA	NA
215.188151987	response	R	NA	NA	NA	NA
216.456079787	response	R	NA	NA	NA	NA
217.920166387	response	R	NA	NA	NA	NA
219.056122187	response	R	NA	NA	NA	NA
220.088043487	response	R	NA	NA	NA	NA
221.188132787	response	R	NA	NA	NA	NA
222.220125187	response	R	NA	NA	NA	NA
223.256100987	response	R	NA	NA	NA	NA
224.288140987	response	R	NA	NA	NA	NA
225.420099087	response	R	NA	NA	NA	NA
226.420115787	response	R	NA	NA	NA	NA
227.420151187	response	R	NA	NA	NA	NA
228.356154787	response	R	NA	NA	NA	NA
243.020126187	response	R	NA	NA	NA	NA
243.052120087	response	R	NA	NA	NA	NA
243.952148287	response	R	NA	NA	NA	NA
244.920091787	response	R	NA	NA	NA	NA
245.888132287	response	R	NA	NA	NA	NA
246.852116487	response	R	NA	NA	NA	NA
247.752111187	response	R	NA	NA	NA	NA
248.588116387	response	R	NA	NA	NA	NA
249.488139187	response	R	NA	NA	NA	NA
250.488100387	response	R	NA	NA	NA	NA
251.388157887	response	R	NA	NA	NA	NA
252.288117787	response	R	NA	NA	NA	NA
253.152154587	response	R	NA	NA	NA	NA
254.052100387	response	R	NA	NA	NA	NA
268.052135287	response	R	NA	NA	NA	NA
269.020149787	response	R	NA	NA	NA	NA
270.020114287	response	R	NA	NA	NA	NA
270.952122287	response	R	NA	NA	NA	NA
271.852169287	response	R	NA	NA	NA	NA
272.820145987	response	R	NA	NA	NA	NA
273.752156287	response	R	NA	NA	NA	NA
274.620154787	response	R	NA	NA	NA	NA
275.520133687	response	R	NA	NA	NA	NA
276.420151887	response	R	NA	NA	NA	NA
277.420143487	response	R	NA	NA	NA	NA
278.384134987	response	R	NA	NA	NA	NA
279.352150487	response	R	NA	NA	NA	NA
280.384170987	response	R	NA	NA	NA	NA
296.052157787	response	R	NA	NA	NA	NA
297.052190687	response	R	NA	NA	NA	NA
298.052154987	response	R	NA	NA	NA	NA
299.016140787	response	R	NA	NA	NA	NA
300.052187687	response	R	NA	NA	NA	NA
301.052209987	response	R	NA	NA	NA	NA
302.052198087	response	R	NA	NA	NA	NA
303.152196087	response	R	NA	NA	NA	NA
303.352200087	virtual	E	NA	NA	NA	NA
