id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.732	0.515	0.601
1	0.764	1.068	0.447	0.599
2	1.864	0.436	0.568	0.594
3	2.332	0.300	0.460	0.595
4	2.664	0.400	0.572	0.580
5	3.100	0.600	0.452	0.587
6	3.732	0.332	0.602	0.529
7	4.100	0.400	0.385	0.530
8	4.532	0.332	0.474	0.513
9	4.900	0.464	0.620	0.507
10	5.400	0.264	0.415	0.519
11	5.700	0.532	0.377	0.500
12	6.264	0.636	0.660	0.512
13	6.932	0.132	0.495	0.539
14	7.100	0.400	0.477	0.541
15	7.532	0.200	0.594	0.545
16	7.764	0.736	0.421	0.542
17	8.532	0.364	0.648	0.530
18	8.932	2.432	0.469	0.531
19	11.396	0.500	0.654	0.514
20	11.932	0.900	0.703	0.511
21	12.864	0.132	0.551	0.511
22	13.364	0.768	0.431	0.496
23	14.164	4.368	0.369	0.501
24	18.596	0.536	0.421	0.519
25	19.264	0.200	0.641	0.518
26	19.496	4.436	0.377	0.527
27	23.964	0.332	0.477	0.528
28	24.332	0.100	0.673	0.532
29	24.464	0.768	0.683	0.523
30	25.264	0.168	0.505	0.320
31	25.464	0.132	0.361	0.396
32	25.664	0.268	0.184	-0.146
33	25.964	0.132	0.350	0.455
34	26.132	0.132	0.363	0.481
35	26.296	0.336	0.661	0.497
36	26.664	0.568	0.435	0.517
37	27.264	0.200	0.683	0.503
38	27.632	0.132	0.583	0.537
39	27.796	0.436	0.425	0.439
40	28.264	0.268	0.695	0.410
41	28.564	0.168	0.590	0.497
42	28.764	0.268	0.409	0.514
43	29.064	0.332	0.650	0.481
44	29.432	0.232	0.440	0.502
45	29.696	2.400	0.679	0.487
46	32.132	0.300	0.540	0.501
47	32.464	2.032	0.679	0.505
48	34.532	0.232	0.491	0.539
49	34.796	1.200	0.363	0.534
50	36.032	0.132	0.661	0.529
51	36.196	0.636	0.663	0.508
52	36.864	0.432	0.386	0.518
53	37.328	2.400	0.664	0.508
54	39.764	0.164	0.412	0.507
55	40.096	0.268	0.565	0.514
56	40.396	0.600	0.669	0.509
57	41.028	0.368	0.382	0.538
58	41.528	0.536	0.661	0.502
59	42.096	0.632	0.460	0.531
60	42.764	0.232	0.643	0.436
61	43.028	0.268	0.423	0.504
62	43.328	0.300	0.671	0.503
63	43.664	0.364	0.435	0.546
64	44.096	1.000	0.663	0.498
65	45.128	0.500	0.712	0.542
66	45.664	0.264	0.673	0.524
67	45.964	0.532	0.425	0.547
68	46.528	0.136	0.513	0.516
69	46.696	0.100	0.665	0.515
70	46.828	0.300	0.687	0.515
71	47.164	0.200	0.582	0.490
72	47.396	0.268	0.389	0.490
73	47.696	0.200	0.375	0.272
74	47.928	0.200	0.373	0.505
75	48.164	0.464	0.661	0.528
76	48.664	0.147	0.401	0.520
77	48.964	0.364	0.575	0.548
78	49.364	0.564	0.392	0.562
79	49.964	0.200	0.384	0.435
80	50.200	0.496	0.635	0.493
81	50.896	0.468	0.353	0.549
82	51.464	0.264	0.661	0.480
83	51.764	0.664	0.396	0.475
84	52.464	0.200	0.631	0.487
85	52.828	0.768	0.682	0.510
86	53.728	0.300	0.406	0.508
87	54.096	1.432	0.682	0.509
88	55.564	0.132	0.592	0.496
89	55.728	0.436	0.475	0.518
90	56.196	1.232	0.654	0.506
91	57.464	1.664	0.656	0.531
92	59.164	0.332	0.541	0.532
93	59.528	0.400	0.668	0.513
94	59.964	0.432	0.692	0.480
95	60.428	0.300	0.596	0.320
96	60.764	0.532	0.695	0.546
97	61.328	0.768	0.396	0.529
98	62.164	2.064	0.675	0.511
99	64.264	0.100	0.412	0.551
100	64.396	1.400	0.382	0.515
101	65.860	0.368	0.652	0.496
102	66.260	0.768	0.351	0.515
103	67.096	0.432	0.659	0.478
104	67.560	0.436	0.380	0.507
105	68.042	0.518	0.657	0.491
106	68.596	0.300	0.369	0.506
107	68.928	0.232	0.646	0.501
108	69.260	0.368	0.398	0.554
109	69.696	0.764	0.642	0.495
110	70.496	0.932	0.386	0.539
111	71.460	1.200	0.672	0.513
112	72.763	0.765	0.376	0.521
113	73.660	0.436	0.611	0.506
114	74.128	0.600	0.395	0.559
115	74.760	0.236	0.655	0.518
116	75.028	0.600	0.705	0.502
117	75.696	0.600	0.430	0.501
118	76.328	0.432	0.682	0.489
119	76.828	0.200	0.433	0.508
120	77.103	0.493	0.655	0.499
121	77.639	0.257	0.394	0.534
122	77.928	2.868	0.659	0.527
123	80.860	0.268	0.443	0.569
124	81.160	0.800	0.660	0.523
125	81.996	0.132	0.512	0.533
126	82.160	0.368	0.395	0.534
127	82.560	0.336	0.503	0.521
128	82.928	0.632	0.653	0.517
129	83.596	0.364	0.483	0.560
130	83.996	0.564	0.676	0.502
131	84.596	0.600	0.393	0.528
132	85.228	0.232	0.569	0.502
133	85.496	0.500	0.656	0.511
134	86.028	0.700	0.497	0.558
135	86.760	5.336	0.658	0.514
136	92.128	0.600	0.701	0.513
137	92.760	0.136	0.641	0.512
138	92.928	0.368	0.477	0.545
139	93.328	0.732	0.671	0.537
140	94.096	1.232	0.606	0.518
141	95.360	0.468	0.678	0.510
142	95.860	0.268	0.453	0.528
143	96.160	0.700	0.665	0.508
144	96.892	0.436	0.518	0.532
145	97.392	0.336	0.409	0.549
146	97.760	0.568	0.624	0.522
147	98.360	1.132	0.397	0.523
148	99.560	0.768	0.653	0.509
149	100.360	0.400	0.435	0.522
150	100.792	0.568	0.370	0.509
