id	start_time	duration	norm_pos_x	norm_pos_y
0	0.000	0.264	0.007	-0.172
1	0.332	0.332	0.459	0.452
2	0.964	0.300	0.659	0.501
3	1.300	0.164	0.573	0.484
4	1.532	0.232	0.403	0.520
5	1.864	0.268	0.053	0.971
6	2.200	0.432	0.485	0.472
7	2.664	0.168	0.533	0.485
8	3.132	0.368	1.000	0.919
9	3.564	0.236	0.687	0.468
10	3.832	0.500	0.605	0.447
11	4.364	0.632	0.553	0.487
12	5.032	1.600	0.428	0.480
13	6.896	1.100	0.716	0.449
14	8.064	0.800	0.425	0.467
15	9.164	1.400	0.734	0.472
16	10.632	2.032	0.414	0.477
17	12.696	0.400	0.452	0.502
18	13.164	3.000	0.747	0.477
19	16.232	1.864	0.439	0.476
20	18.164	2.300	0.743	0.480
21	20.532	1.832	0.388	0.487
22	22.532	2.400	0.433	0.486
23	24.996	0.968	0.738	0.441
24	26.032	0.564	0.407	0.460
25	26.632	0.164	0.464	0.496
26	26.864	0.168	0.666	0.483
27	27.064	0.800	0.736	0.508
28	27.932	0.464	0.514	0.518
29	28.432	0.732	0.430	0.532
30	29.232	1.064	0.731	0.508
31	30.396	0.568	0.412	0.487
32	31.164	0.200	0.711	0.500
33	31.464	0.568	0.422	0.515
34	32.164	0.964	0.535	0.505
35	33.196	1.000	0.739	0.528
36	34.228	0.468	0.729	0.447
37	34.764	0.300	0.748	0.393
38	35.196	0.832	0.415	0.392
39	36.064	0.600	0.408	0.425
40	36.696	0.168	0.432	0.474
41	37.496	0.268	0.438	0.516
42	38.664	0.532	0.720	0.509
43	39.328	0.236	0.395	0.554
44	39.628	0.400	0.714	0.514
45	40.128	0.200	0.412	0.513
46	40.464	1.264	0.387	0.540
47	41.764	0.400	0.429	0.563
48	42.196	2.300	0.418	0.551
49	44.528	0.768	0.437	0.539
50	45.364	2.000	0.728	0.506
51	47.396	0.732	0.419	0.520
52	48.228	1.668	0.733	0.498
53	50.064	3.332	0.736	0.504
54	53.428	2.068	0.732	0.509
55	55.564	1.000	0.430	0.502
56	56.764	0.732	0.704	0.503
57	57.564	0.464	0.392	0.491
58	58.128	0.200	0.710	0.483
59	58.364	0.532	0.766	0.483
60	59.296	1.100	0.441	0.507
61	60.428	0.336	0.407	0.545
62	60.828	0.800	0.740	0.458
63	61.660	0.268	0.437	0.415
64	61.996	0.164	0.698	0.348
65	62.260	0.168	0.852	0.363
66	62.496	0.164	0.722	0.365
67	62.728	0.700	0.426	0.405
68	63.460	0.436	0.523	0.440
69	63.928	0.400	0.455	0.475
70	64.360	0.236	0.587	0.503
71	64.628	0.732	0.675	0.505
72	65.396	0.332	0.743	0.508
73	65.796	0.364	0.400	0.524
74	66.196	1.164	0.726	0.493
75	67.560	0.900	0.445	0.488
76	68.496	1.164	0.423	0.515
77	69.696	0.500	0.505	0.536
78	70.228	0.368	0.594	0.501
79	70.696	1.364	0.745	0.509
80	72.096	1.132	0.525	0.541
81	73.260	0.236	0.595	0.541
82	73.528	0.168	0.606	0.554
83	73.728	0.300	0.581	0.536
84	74.096	0.300	0.732	0.509
85	74.460	0.268	0.437	0.515
86	74.760	0.200	0.739	0.496
87	74.996	1.664	0.419	0.515
88	76.728	1.268	0.748	0.483
89	78.196	3.132	0.437	0.518
90	81.360	1.168	0.472	0.531
91	82.628	0.500	0.436	0.585
92	83.160	0.336	0.641	0.557
93	83.628	1.932	0.719	0.527
94	85.728	0.568	0.463	0.524
95	86.360	0.436	0.644	0.527
96	86.828	1.032	0.725	0.497
97	87.996	0.564	0.715	0.517
98	88.728	0.300	0.611	0.509
99	89.060	4.968	0.715	0.521
100	94.060	0.468	0.421	0.526
101	94.560	0.332	0.711	0.504
102	94.928	0.500	0.720	0.502
103	95.460	0.400	0.413	0.492
104	95.892	0.936	0.744	0.499
105	96.960	2.068	0.460	0.535
106	99.060	0.432	0.507	0.537
107	99.828	1.232	0.721	0.543
108	101.128	0.200	0.561	0.516
109	101.460	1.068	0.614	0.523
110	102.560	0.932	0.695	0.553
111	103.528	0.164	0.708	0.539
112	103.828	0.832	0.426	0.534
113	104.692	0.168	0.495	0.543
114	104.892	0.300	0.548	0.541
115	105.228	0.600	0.597	0.535
116	105.860	0.168	0.667	0.533
117	106.060	0.432	0.662	0.549
118	106.660	0.932	0.600	0.561
119	107.628	0.700	0.669	0.569
120	108.360	0.732	0.578	0.571
121	109.128	2.464	0.438	0.540
122	111.628	0.532	0.721	0.511
123	112.228	0.200	0.398	0.524
124	112.460	0.200	0.455	0.536
125	112.792	0.168	0.524	0.567
126	112.992	0.300	0.570	0.530
127	113.328	0.700	0.730	0.534
128	114.128	1.432	0.429	0.531
129	115.628	1.132	0.714	0.546
130	116.792	0.236	0.662	0.554
131	117.228	0.600	0.454	0.587
132	117.860	0.232	0.683	0.552
133	118.124	0.468	0.747	0.611
134	119.124	0.500	0.606	0.491
135	119.660	0.200	0.528	0.530
136	119.892	0.200	0.457	0.541
137	120.124	0.836	0.717	0.508
138	121.124	0.836	0.464	0.531
139	121.992	0.900	0.701	0.523
140	122.960	0.364	0.465	0.524
141	123.492	0.832	0.548	0.560
142	124.360	0.300	0.613	0.552
143	124.692	0.332	0.664	0.553
144	125.060	0.732	0.535	0.547
145	125.824	0.268	0.452	0.542
146	126.160	0.164	0.401	0.543
147	126.360	0.532	0.451	0.556
148	126.924	0.200	0.519	0.555
149	127.192	0.732	0.707	0.544
150	127.992	0.600	0.417	0.540
151	128.624	0.168	0.497	0.565
152	128.824	0.436	0.519	0.555
153	129.292	1.532	0.450	0.524
154	131.024	0.600	0.457	0.556
155	131.792	0.600	0.707	0.522
156	132.460	1.164	0.439	0.558
157	133.660	0.500	0.516	0.561
158	134.224	0.636	0.706	0.518
159	134.892	0.468	0.417	0.540
160	135.524	0.168	0.496	0.606
161	135.724	0.268	0.450	0.558
162	136.024	0.300	0.665	0.545
163	136.460	1.200	0.541	0.555
164	137.692	1.532	0.552	0.561
165	139.260	1.964	0.548	0.563
166	141.260	0.600	0.444	0.546
167	142.024	0.436	0.487	0.549
168	142.492	0.968	0.546	0.536
169	143.624	1.300	0.405	0.547
170	144.960	0.532	0.732	0.515
171	145.560	1.532	0.399	0.564
172	147.124	0.200	0.446	0.551
173	147.392	0.664	0.727	0.520
174	148.124	1.000	0.422	0.541
175	149.156	0.236	0.584	0.540
176	149.492	1.132	0.724	0.533
177	150.856	0.800	0.422	0.550
178	151.824	0.700	0.699	0.540
179	152.556	2.368	0.432	0.535
180	155.056	0.868	0.441	0.570
181	155.956	1.400	0.442	0.537
182	157.392	0.900	0.439	0.565
183	158.324	0.268	0.507	0.522
184	158.624	0.700	0.707	0.503
185	159.424	0.168	0.585	0.513
186	159.624	0.232	0.501	0.522
187	159.892	0.200	0.512	0.559
188	160.124	1.100	0.495	0.537
189	161.256	2.468	0.540	0.552
190	163.756	0.200	0.470	0.543
191	163.992	0.232	0.677	0.520
192	164.256	0.600	0.708	0.521
193	164.892	0.364	0.728	0.529
194	165.424	0.232	0.466	0.495
195	165.692	1.164	0.550	0.537
196	166.892	0.400	0.442	0.556
197	167.324	0.632	0.600	0.534
198	167.992	0.532	0.515	0.681
199	168.556	2.436	0.524	0.555
200	171.024	1.368	0.458	0.561
201	172.424	0.400	0.555	0.536
202	172.992	1.364	0.719	0.545
203	174.492	1.032	0.411	0.548
204	175.724	0.600	0.427	0.552
205	176.356	2.668	0.414	0.562
206	179.056	0.400	0.421	0.565
207	179.488	5.768	0.414	0.563
208	185.288	3.436	0.431	0.564
209	188.756	0.368	0.500	0.539
210	189.188	0.500	0.714	0.520
211	189.756	0.432	0.423	0.531
212	190.224	0.364	0.703	0.542
213	190.656	0.332	0.384	0.531
214	191.024	0.164	0.443	0.520
215	191.388	0.368	0.670	0.538
216	191.824	0.164	0.394	0.526
217	192.024	2.500	0.434	0.550
218	194.588	1.100	0.704	0.529
219	195.856	0.300	0.734	0.552
220	196.224	5.100	0.420	0.553
221	201.356	0.832	0.434	0.558
222	202.224	1.996	0.428	0.534
223	204.388	3.068	0.443	0.549
224	207.488	0.732	0.395	0.562
225	208.256	3.400	0.416	0.547
226	211.688	2.200	0.431	0.518
227	213.920	0.268	0.451	0.563
228	214.220	6.236	0.442	0.529
229	220.488	0.200	0.504	0.526
230	220.720	0.200	0.637	0.514
231	220.956	0.464	0.706	0.519
232	221.520	0.600	0.418	0.499
